CS; cor_ts; p; sig
CyclomaticComplexity ; -0.89 ; 0 ;   *
NPathComplexity ; -0.85 ; 0 ;   *
ExcessiveMethodLength ; -0.85 ; 0 ;   *
ExcessiveClassLength ; -0.71 ; 1e-05 ;   *
ExcessiveParameterList ; 0 ;  ; 
ExcessivePublicCount ; -0.72 ; 1e-05 ;   *
TooManyFields ; -0.41 ; 0.02621 ;   *
TooManyMethods ; -0.81 ; 0 ;   *
TooManyPublicMethods ; -0.89 ; 0 ;   *
ExcessiveClassComplexity ; -0.92 ; 0 ;   *
NumberOfChildren ; -0.87 ; 0 ;   *
DepthOfInheritance ; 0 ;  ; 
CouplingBetweenObjects ; 0.82 ; 0 ;   *
DevelopmentCodeFragment ; -0.2 ; 0.30003 ; 
UnusedPrivateField ; 0.81 ; 0 ;   *
UnusedLocalVariable ; -0.92 ; 0 ;   *
UnusedPrivateMethod ; -0.74 ; 0 ;   *
UnusedFormalParameter ; -0.87 ; 0 ;   *
embed.JS ; -0.89 ; 0 ;   *
inline.JS ; -0.87 ; 0 ;   *
embed.CSS ; -0.49 ; 0.00648 ;   *
inline.CSS ; -0.6 ; 0.00063 ;   *
css.in.JS ; 0.73 ; 1e-05 ;   *
css.in.JS..jquery ; 0.02 ; 0.90651 ; 
max.lines ; -0.83 ; 0 ;   *
max.lines.per.function ; 0.03 ; 0.89583 ; 
max.params ; 0.75 ; 0 ;   *
complexity ; 0.79 ; 0 ;   *
max.depth ; 0.23 ; 0.22262 ; 
max.nested.callbacks ; 0.81 ; 0 ;   *
