CS; cor_ts; p; sig
CyclomaticComplexity ; 0.24 ; 0.37772 ; 
NPathComplexity ; 0.27 ; 0.30782 ; 
ExcessiveMethodLength ; 0.25 ; 0.35337 ; 
ExcessiveClassLength ; 0.25 ; 0.36031 ; 
ExcessiveParameterList ; -0.39 ; 0.13268 ; 
ExcessivePublicCount ; -0.14 ; 0.61725 ; 
TooManyFields ; 0.03 ; 0.89844 ; 
TooManyMethods ; 0.03 ; 0.89931 ; 
TooManyPublicMethods ; 0.18 ; 0.49818 ; 
ExcessiveClassComplexity ; 0.3 ; 0.25212 ; 
NumberOfChildren ; 0.14 ; 0.6132 ; 
DepthOfInheritance ; 0 ;  ; 
CouplingBetweenObjects ; 0.23 ; 0.38572 ; 
DevelopmentCodeFragment ; 0.16 ; 0.54599 ; 
UnusedPrivateField ; 0 ;  ; 
UnusedLocalVariable ; -0.74 ; 0.00106 ;   *
UnusedPrivateMethod ; 0 ;  ; 
UnusedFormalParameter ; 0.05 ; 0.85946 ; 
embed.JS ; -0.64 ; 0.00734 ;   *
inline.JS ; -0.27 ; 0.31351 ; 
embed.CSS ; -0.3 ; 0.26488 ; 
inline.CSS ; -0.55 ; 0.02818 ;   *
css.in.JS ; -0.68 ; 0.00385 ;   *
css.in.JS..jquery ; 0.09 ; 0.74381 ; 
max.lines ; -0.33 ; 0.21626 ; 
max.lines.per.function ; 0.61 ; 0.01147 ;   *
max.params ; 0.29 ; 0.27588 ; 
complexity ; 0.58 ; 0.01787 ;   *
max.depth ; 0.21 ; 0.43079 ; 
max.nested.callbacks ; 0.58 ; 0.01933 ;   *
