CS; cor_ts; p; sig
CyclomaticComplexity ; 0.49 ; 0 ;   *
NPathComplexity ; 0.5 ; 0 ;   *
ExcessiveMethodLength ; 0.48 ; 0 ;   *
ExcessiveClassLength ; 0.15 ; 0.14652 ; 
ExcessiveParameterList ; 0.56 ; 0 ;   *
ExcessivePublicCount ; 0.32 ; 0.00223 ;   *
TooManyFields ; 0.29 ; 0.00486 ;   *
TooManyMethods ; 0.2 ; 0.05852 ; 
TooManyPublicMethods ; 0.17 ; 0.11859 ; 
ExcessiveClassComplexity ; 0.21 ; 0.04725 ;   *
NumberOfChildren ; 0.09 ; 0.39525 ; 
DepthOfInheritance ; 0 ;  ; 
CouplingBetweenObjects ; -0.14 ; 0.17813 ; 
DevelopmentCodeFragment ; 0.43 ; 2e-05 ;   *
UnusedPrivateField ; -0.16 ; 0.14343 ; 
UnusedLocalVariable ; -0.12 ; 0.25035 ; 
UnusedPrivateMethod ; 0.45 ; 1e-05 ;   *
UnusedFormalParameter ; -0.31 ; 0.00318 ;   *
embed.JS ; -0.46 ; 1e-05 ;   *
inline.JS ; -0.42 ; 4e-05 ;   *
embed.CSS ; -0.3 ; 0.0044 ;   *
inline.CSS ; -0.09 ; 0.39349 ; 
css.in.JS ; 0.2 ; 0.06349 ; 
css.in.JS..jquery ; 0.29 ; 0.0055 ;   *
max.lines ; -0.21 ; 0.04511 ;   *
max.lines.per.function ; 0.06 ; 0.54323 ; 
max.params ; 0.32 ; 0.00208 ;   *
complexity ; 0.32 ; 0.0022 ;   *
max.depth ; 0.36 ; 5e-04 ;   *
max.nested.callbacks ; 0.25 ; 0.01635 ;   *
