CS; cor_ts; p; sig
CyclomaticComplexity ; 0.63 ; 0.03581 ;   *
NPathComplexity ; 0.67 ; 0.02321 ;   *
ExcessiveMethodLength ; 0.64 ; 0.03464 ;   *
ExcessiveClassLength ; 0.66 ; 0.0259 ;   *
ExcessiveParameterList ; 0.07 ; 0.84633 ; 
ExcessivePublicCount ; 0.39 ; 0.24042 ; 
TooManyFields ; 0.58 ; 0.06285 ; 
TooManyMethods ; 0.64 ; 0.03255 ;   *
TooManyPublicMethods ; 0.65 ; 0.03117 ;   *
ExcessiveClassComplexity ; 0.66 ; 0.02808 ;   *
NumberOfChildren ; 1 ;  all cs=1 ; 
DepthOfInheritance ; 0 ;  ; 
CouplingBetweenObjects ; 0.83 ; 0.00167 ;   *
DevelopmentCodeFragment ; 0.45 ; 0.16763 ; 
UnusedPrivateField ; -0.04 ; 0.89993 ; 
UnusedLocalVariable ; 0.81 ; 0.00233 ;   *
UnusedPrivateMethod ; 0.07 ; 0.84633 ; 
UnusedFormalParameter ; 0.55 ; 0.08258 ; 
embed.JS ; 0.42 ; 0.1956 ; 
inline.JS ; 0.52 ; 0.09745 ; 
embed.CSS ; 0.44 ; 0.17956 ; 
inline.CSS ; 0.43 ; 0.18812 ; 
css.in.JS ; -0.03 ; 0.92423 ; 
css.in.JS..jquery ; 0.32 ; 0.33828 ; 
max.lines ; 0.52 ; 0.1001 ; 
max.lines.per.function ; 0.52 ; 0.0978 ; 
max.params ; -0.48 ; 0.13331 ; 
complexity ; -0.61 ; 0.04467 ;   *
max.depth ; -0.27 ; 0.42264 ; 
max.nested.callbacks ; -0.65 ; 0.03051 ;   *
