CS; cor_ts; p; sig
CyclomaticComplexity ; 0.07 ; 0.79907 ; 
NPathComplexity ; 0.11 ; 0.71271 ; 
ExcessiveMethodLength ; 0.19 ; 0.51442 ; 
ExcessiveClassLength ; -0.1 ; 0.72398 ; 
ExcessiveParameterList ; 0.23 ; 0.4389 ; 
ExcessivePublicCount ; -0.27 ; 0.34331 ; 
TooManyFields ; 1 ;  all cs=1 ; 
TooManyMethods ; -0.32 ; 0.26716 ; 
TooManyPublicMethods ; 0.13 ; 0.65846 ; 
ExcessiveClassComplexity ; 0.14 ; 0.63902 ; 
NumberOfChildren ; -0.21 ; 0.4671 ; 
DepthOfInheritance ; 0 ;  ; 
CouplingBetweenObjects ; -0.21 ; 0.4671 ; 
DevelopmentCodeFragment ; 0.26 ; 0.36195 ; 
UnusedPrivateField ; 0.22 ; 0.44347 ; 
UnusedLocalVariable ; -0.14 ; 0.64281 ; 
UnusedPrivateMethod ; 0.17 ; 0.55602 ; 
UnusedFormalParameter ; -0.19 ; 0.5055 ; 
embed.JS ; -0.2 ; 0.49595 ; 
inline.JS ; -0.44 ; 0.11582 ; 
embed.CSS ; -0.54 ; 0.04644 ;   *
inline.CSS ; -0.43 ; 0.12019 ; 
css.in.JS ; -0.53 ; 0.05046 ; 
css.in.JS..jquery ; -0.56 ; 0.03671 ;   *
max.lines ; -0.34 ; 0.23359 ; 
max.lines.per.function ; -0.21 ; 0.46315 ; 
max.params ; -0.45 ; 0.10532 ; 
complexity ; -0.48 ; 0.08344 ; 
max.depth ; -0.47 ; 0.08649 ; 
max.nested.callbacks ; -0.23 ; 0.42814 ; 
