CS; cor_ts; p; sig
CyclomaticComplexity ; 0.55 ; 0 ;   *
NPathComplexity ; 0.58 ; 0 ;   *
ExcessiveMethodLength ; 0.5 ; 0 ;   *
ExcessiveClassLength ; 0.23 ; 0.01168 ;   *
ExcessiveParameterList ; 0.61 ; 0 ;   *
ExcessivePublicCount ; 0.37 ; 4e-05 ;   *
TooManyFields ; 0.23 ; 0.01159 ;   *
TooManyMethods ; 0.16 ; 0.08249 ; 
TooManyPublicMethods ; 0.13 ; 0.15049 ; 
ExcessiveClassComplexity ; 0.32 ; 0.00035 ;   *
NumberOfChildren ; 0.09 ; 0.31897 ; 
DepthOfInheritance ; 0 ;  ; 
CouplingBetweenObjects ; -0.15 ; 0.09583 ; 
DevelopmentCodeFragment ; 0.39 ; 1e-05 ;   *
UnusedPrivateField ; -0.19 ; 0.03656 ;   *
UnusedLocalVariable ; -0.15 ; 0.11038 ; 
UnusedPrivateMethod ; 0.46 ; 0 ;   *
UnusedFormalParameter ; -0.41 ; 0 ;   *
embed.JS ; -0.48 ; 0 ;   *
inline.JS ; -0.39 ; 1e-05 ;   *
embed.CSS ; 0.44 ; 0 ;   *
inline.CSS ; 0.57 ; 0 ;   *
css.in.JS ; 0.35 ; 9e-05 ;   *
css.in.JS..jquery ; 0.46 ; 0 ;   *
max.lines ; 0.33 ; 0.00025 ;   *
max.lines.per.function ; 0.35 ; 7e-05 ;   *
max.params ; 0.52 ; 0 ;   *
complexity ; 0.49 ; 0 ;   *
max.depth ; 0.62 ; 0 ;   *
max.nested.callbacks ; 0.51 ; 0 ;   *
