CS; p; issig
CyclomaticComplexity ; 0.341889994158831 ; 
NPathComplexity ; 0.082206793693233 ; 
ExcessiveMethodLength ; 0.0221524670802615 ; *
ExcessiveClassLength ; 0.629822014176102 ; 
ExcessiveParameterList ; 0.000374924024650754 ; *
ExcessivePublicCount ; all 0 ; 0
TooManyFields ; 2.32462668162859e-06 ; *
TooManyMethods ; 0.424587383640319 ; 
TooManyPublicMethods ; 0.000168719990673574 ; *
ExcessiveClassComplexity ; 0.185442852619556 ; 
NumberOfChildren ; 0.000180853491342977 ; *
DepthOfInheritance ; all 0 ; 0
CouplingBetweenObjects ; 0.00147680139770093 ; *
DevelopmentCodeFragment ; all 0 ; 0
UnusedPrivateField ; all 0 ; 0
UnusedLocalVariable ; 0.00206749977342936 ; *
UnusedPrivateMethod ; 0.934940935812906 ; 
UnusedFormalParameter ; 2.56421899135946e-05 ; *
embed.JS ; 0.374364901178511 ; 
inline.JS ; all 0 ; 0
embed.CSS ; 0.00474435982554693 ; *
inline.CSS ; 8.61159117617681e-05 ; *
css.in.JS ; 0.217332563925723 ; 
css.in.JS..jquery ; 0.0625854304047789 ; 
max.lines ; 0.239539910427492 ; 
max.lines.per.function ; 0.723305446934305 ; 
max.params ; 0.26882805350882 ; 
complexity ; 0.308530247246595 ; 
max.depth ; 0.280187103632975 ; 
max.nested.callbacks ; 0.282663003525039 ; 
