CS; p; issig
CyclomaticComplexity ; 0.883995430600953 ; 
NPathComplexity ; 0.724334607409396 ; 
ExcessiveMethodLength ; 0.83733524282195 ; 
ExcessiveClassLength ; 0.692671935634529 ; 
ExcessiveParameterList ; 0.245850984006241 ; 
ExcessivePublicCount ; 0.890711805123191 ; 
TooManyFields ; 0.883505132220171 ; 
TooManyMethods ; 0.671881639210125 ; 
TooManyPublicMethods ; 0.93464113475257 ; 
ExcessiveClassComplexity ; 0.797706589488851 ; 
NumberOfChildren ; 0.057644789860135 ; 
DepthOfInheritance ; 0.910274732975284 ; 
CouplingBetweenObjects ; 0.284766605989962 ; 
DevelopmentCodeFragment ; 0.358636304957484 ; 
UnusedPrivateField ; 0.0476415729054578 ; *
UnusedLocalVariable ; 0.175277794622337 ; 
UnusedPrivateMethod ; 0.212769792598776 ; 
UnusedFormalParameter ; 0.771184454375486 ; 
embed.JS ; 0.748192047630171 ; 
inline.JS ; 0.855407804307841 ; 
embed.CSS ; 0.0194649607150363 ; *
inline.CSS ; 0.722848325027907 ; 
css.in.JS ; 0.357711293546982 ; 
css.in.JS..jquery ; 0.949400253942305 ; 
max.lines ; 0.773762703756679 ; 
max.lines.per.function ; 0.918126646983666 ; 
max.params ; 0.0153032316790196 ; *
complexity ; 0.0317167972652515 ; *
max.depth ; 0.217316557508169 ; 
max.nested.callbacks ; 0.045281530645958 ; *
