1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _
2;CyclomaticComplexity ;0.288220685393264; ;0.223705828190076; ;0.749482280763611; ;0.000726515502898011; *;0.909801247816281; ;0.676293666433714; ;0.0651148284126562; ;0.890305047491952; ;0.243844151829405; ;0.283588383197691; 
3;NPathComplexity ;0.47774281528363; ;0.174197472885311; ;0.596273424026205; ;0.00264498396692684; *;0.937225307351288; ;0.544662264594733; ;0.0136294027035918; *;0.96249967974362; ;0.94770671074818; ;0.968118473275928; 
4;ExcessiveMethodLength ;0.0290046133615225; *;0.499161289119791; ;0.400983990227489; ;0.00198291153482195; *;0.942124125546414; ;0.0252555176799264; *;0.0209469638618555; *;0.881213482114114; ;0.103595448422426; ;0.0103836723890284; *
5;ExcessiveClassLength ;0.00025352948022875; *;0.917425978887802; ;0.701258667420267; ;8.92268163958156e-05; *;0.494215321412748; ;0.0433254441139033; *;0.603110353457813; ;0.518406528463095; ;0.41334646122955; ;0.933628447007941; 
6;ExcessiveParameterList ;0.468054118450637; ;0.146021590681735; ;0.755808850275773; ;0.17878906360735; ;0.115275816646525; ;1; 0;0.0169874551100041; *;0.233537581777387; ;0.0938965239528756; ;0.83687847783192; 
7;ExcessivePublicCount ;0.0673644717674131; ;0.891250932398999; ;0.818410952779207; ;0.111100985465868; ;0.664057921077014; ;0.76968065993941; ;0.0340969124831578; *;0.3258757182955; ;0.650380387603951; ;1; 0
8;TooManyFields ;0.90587590009032; ;0.166140398628936; ;1;  all cs=1;0.00266272530856839; *;0.625944646474836; ;0.0543871324616008; ;0.631831896987758; ;0.6607578983595; ;0.783122352089339; ;0.601537923700259; 
9;TooManyMethods ;0.184308408257822; ;0.337893894355511; ;0.797138596733188; ;0.11053442939844; ;0.542721638124199; ;0.0207883108930589; *;0.0238258113495791; *;0.541313382869487; ;0.18446846672341; ;0.319326989371364; 
10;TooManyPublicMethods ;7.16348116064294e-05; *;0.272942732175075; ;0.777765787934966; ;0.031689986155424; *;0.840347445823433; ;0.80122035226304; ;0.132694582528237; ;0.841527835882112; ;0.508502059142112; ;0.718940758847364; 
11;ExcessiveClassComplexity ;0.000348353507160126; *;0.144383552637717; ;0.98908468743966; ;0.000109059550801968; *;0.975383142006245; ;0.0797884521487466; ;0.067492205246739; ;0.804609758682406; ;0.231996911677925; ;0.230086575793502; 
