1;CS;phpmyadmin;dokuwiki;opencart;phpbb;prestashop;vanilla;dolibarr;roundcubemail;openemr;kanboard
2;CyclomaticComplexity ;0.837459946295681;0.473091598632251;0.652719142518336;2.86285428438085e-06;0.709287959999446;0.0329883595067845;0.0965916282906143;0.891408502245727;0.795720533792253;0.243835718288555
3;NPathComplexity ;0.832022705518353;0.411551404121146;0.294858096715577;0.000238203273580272;0.741819283682438;0.415646997868478;0.0556414253998547;0.997900757761164;0.879382887280913;0.969370808892192
4;ExcessiveMethodLength ;0.29632065771643;0.391471042831672;0.185237957495827;5.11019520286542e-05;0.763338862714973;0.0286564639937849;0.0482063186991119;0.876877881380339;0.22682866029518;0.0639895504472072
5;ExcessiveClassLength ;0.0154841064296423;0.322645023564487;0.825665578388837;5.81245367834649e-12;0.512287748975497;0.0974393366512476;0.878244219120389;0.563233199585757;0.56444808368741;0.736430878465672
6;ExcessiveParameterList ;0.67996553874404;0.0698828269086599;0.720678567583711;0.314405618219002;0.330333994806036;1;0.0125718684280413;0.378644984089138;0.139789511559999;0.904363392824038
7;ExcessivePublicCount ;0.427827823334792;0.527903657775794;0.599449375751072;0.219218264126511;0.534830602664075;0.742014247125958;0.160412878057307;0.283836466541387;0.679310781798806;1
8;TooManyFields ;0.836731364018115;0.0554196353815821;1;0.000750019697220489;0.667739853607465;0.309958672491979;0.880937862701569;0.321627607850098;0.677736586454798;0.827897956103375
9;TooManyMethods ;0.563329956938507;0.521419290014893;0.562016274597844;0.204698785097256;0.26019465424148;0.0352045123728231;0.148657010638557;0.57808024833867;0.602855983930875;0.337223387724086
10;TooManyPublicMethods ;0.0043468965663619;0.514981875076246;0.506920288632724;0.0411366464926649;0.705199605429227;0.42160578919562;0.359252416762646;0.804340535351092;0.582796111390618;0.344883327084687
11;ExcessiveClassComplexity ;0.0276632466544008;0.242694187191131;0.878523922742934;6.11409190311471e-11;0.688807089447794;0.197889412492074;0.154118771871702;0.753258278108043;0.15647206884838;0.504810850412557
12;NumberOfChildren ;0.00215164148884247;0.00583574966197124;0.388672670973374;0.471532237948892;0.0780584368649316;0.336295547699262;0.22030518540089;1;0.141961626024839;0.845371031122202
13;DepthOfInheritance ;1;1;1;1;0.158482563146996;1;1;1;0.460332665964427;1
14;CouplingBetweenObjects ;0.0361162825175409;0.543137616831793;0.215312821578954;0.50860624734229;0.35761846977223;0.862644395634301;0.731252929716272;0.995574968912687;0.118266739665567;0.722241675197724
15;DevelopmentCodeFragment ;0.000159104327809941;0.27048207867936;0.649728004200616;0.400995983109789;0.636483690548918;0.545866192572279;0.736101022701219;0.239095915814809;0.434910524306319;1
16;UnusedPrivateField ;0.95627848793856;1;0.334514647941271;1;0.197695734392576;0.164888064956836;0.0540632186786034;0.407382740020677;0.0328740037811055;1
17;UnusedLocalVariable ;0.783230331833623;0.489314338916544;0.176718406715907;0.23773461893089;0.786873168766747;0.409050471930444;0.042541139933859;0.981499794946626;0.0776568323981718;0.996744095663065
18;UnusedPrivateMethod ;0.910540401004973;1;0.42218735011949;0.882755258325486;0.409435347058331;0.187146363435451;0.287003119152663;0.378644984089138;0.507391078435299;0.707865259271228
19;UnusedFormalParameter ;0.758877039882659;0.355541630736106;0.283503024713504;4.27354255287855e-08;0.969944102652023;0.0218982332562469;0.0498090359758509;0.340295280022634;0.452894938791915;0.827870668053422
20;embed.JS ;0.61303297241934;0.394617873723019;0.25061072244341;0.91154982247745;0.843763947970199;0.258573483176935;0.817216447925009;0.416021925762003;0.0294944135427158;0.0552737899133532
21;inline.JS ;0.66451046570357;0.880914270021381;0.482060695393739;0.828769693777468;0.559266247618819;0.134847207358576;0.336964113911145;0.406750002787813;0.0334488353764106;1
22;embed.CSS ;0.972398372455355;0.963304707371307;0.563630620182083;4.24729396946679e-10;0.0589225573306659;0.0108976721024708;0.685627558742281;0.46039997286241;0.0840225404299976;0.253028914118408
23;inline.CSS ;0.813643254157787;0.84198409615179;0.355167698552654;0.75018598439395;0.500961436163638;0.0469378275645618;0.325394427259102;0.377981163021476;0.0195992420578815;0.242580890129702
24;css.in.JS ;0.644480171062576;0.390793884533275;0.849172956169083;0.0782117304811286;0.775439057122895;0.44775872116638;0.837668990615492;0.412729151396847;0.438534619123679;0.746313853058669
25;css.in.JS..jquery ;0.887960131862826;0.921332073845958;0.802481898845926;0.330002315207246;0.890343267502381;0.381352326480366;0.0112230581455065;0.381401337682089;0.0215181746552825;0.487141184471025
26;max.lines ;0.578255638895887;0.957653146527877;0.153893495342606;3.73781708708493e-07;0.861989213031373;0.0362224821680232;0.351670868222589;0.963860412486425;0.626593589085978;0.58581994611425
27;max.lines.per.function ;0.836037878772045;0.27439997233661;0.321890194662436;7.92036162696191e-05;0.953648680423928;0.229495330534579;0.75346087199545;0.964196898709831;0.0838305253058636;0.748118477648826
28;max.params ;0.810526396951127;0.0913052142656297;0.310165168322984;0.192076705645995;0.0510765070993763;0.677817275375601;0.089592896323786;0.870023112106124;0.804048885366025;0.649425463620268
29;complexity ;0.815296275028759;0.0971388791391474;0.34823157136029;0.381633237204507;0.0942987709622103;0.841046123236009;0.0592603719496635;0.914252072104963;0.21791524644105;0.689566185718136
30;max.depth ;0.785371076416325;0.917306432645247;0.41997334137038;0.292669465047937;0.40861472939605;0.141930725628573;0.126062513804618;0.337030802736343;0.442100495417112;0.675900106279534
31;max.nested.callbacks ;0.834294216998126;0.426054707705881;0.287794880966983;0.334156076193089;0.217500112281362;0.30140418331161;0.933141616774256;0.61009011182349;0.00711021838393446;0.455432643447741
