1;CS;phpmyadmin;dokuwiki;opencart;phpbb;prestashop;vanilla;dolibarr;roundcubemail;openemr;kanboard
2;CyclomaticComplexity ;0.825949190939569;0.274168266862147;0.310707178554566;0.217915619803439;0.955002988699608;4.34055434762517e-05;0.690373571233172;0.810394185560956;0.955582430048569;0.0240682224286272
3;NPathComplexity ;0.88303202758323;0.250345537839034;0.396860504195511;0.16946374788873;0.959993543744202;0.08021146806188;0.873225153070998;0.856611251950742;0.908015568812533;0.102653522475859
4;ExcessiveMethodLength ;0.772871990682004;0.248483512428028;0.908982746068321;0.246645737967301;0.948098369466151;0.00433854378014012;0.837419302625088;0.748919322705472;0.194425886208883;8.39242767900556e-05
5;ExcessiveClassLength ;0.167532294250342;0.158672403847725;0.0157200651035349;0.296098188828678;0.853936327989171;0.0423925284305519;0.90934531617117;0.518801458235839;0.454636156812983;1
6;ExcessiveParameterList ;0.441416271213578;1;1;0.147827692502957;0.874714066162354;1;0.0572081874533214;1;0.0370587750168135;0.0316732770586529
7;ExcessivePublicCount ;0.820080795325468;0.461880572749879;0.152199783250869;0.142894240478261;0.872873269686617;0.750076325465425;0.622112923663925;1;0.784839322171928;1
8;TooManyFields ;0.964737202084259;0.0931027065385925;1;0.238585536520661;0.897419264563043;0.640624147928845;0.465495916325512;1;0.737684141038535;1
9;TooManyMethods ;0.982367123620956;0.300856905808825;0.162342948898897;0.0571498282648599;0.748938623327113;0.232002800709754;0.704269735376564;0.498861004950719;0.828447407079514;1
10;TooManyPublicMethods ;0.398107792242579;0.447074378489116;0.432939301515013;0.837923299775751;0.965323547644844;0.124904101164563;0.609551497498385;0.668678722448596;0.291584783925247;4.93416745320289e-05
11;ExcessiveClassComplexity ;0.330586801704472;0.455829244835314;0.426054294486904;0.265025339027682;0.937654492071345;0.583561846718896;0.524838090696963;0.630580730665573;0.045861895672824;0.0890436686634383
12;NumberOfChildren ;0.470289734462119;1;1;1;0.538614590221299;0.0123810454177996;0.326395817900758;1;0.245506301756325;0.0835351242293576
13;DepthOfInheritance ;1;1;1;1;1;1;1;1;1;1
14;CouplingBetweenObjects ;0.0255302998921783;1;1;0.49041697521619;0.869015435788618;0.923705660201356;0.801680403415852;1;0.0495475988473081;0.0022687721983205
15;DevelopmentCodeFragment ;0.024037374031851;0.286432315553409;0.0658590829464455;1;0.841766912600714;0.56465237632283;1;1;0.654940290190246;1
16;UnusedPrivateField ;0.990528475853472;1;0.541005141459859;1;0.460557645706227;1;0.880908926297289;1;1;1
17;UnusedLocalVariable ;0.998969931802875;0.683946894583274;0.464381556376044;0.572014677890403;0.98327930489169;0.0011563426767136;0.497923962375861;0.722825020061714;0.0186414266577374;1.81229753567653e-05
18;UnusedPrivateMethod ;0.533742162529658;1;1;1;0.647180441466639;0.771900320529558;0.913659946831852;1;0.0663347209512831;1
19;UnusedFormalParameter ;0.957852742330982;0.245613640720255;0.265762667520919;0.892092444004878;0.980702939930676;0.000376585536889953;0.158545027071967;0.314565002686348;0.166748265012427;0.000436755577189679
20;embed.JS ;0.209072897588149;0.988417927482346;0.850091409362944;0.289865227190628;0.979722018928301;0.40198834450146;0.899673637275575;0.124540410932652;0.0101827737224769;1
21;inline.JS ;0.445365194143792;0.740192214692707;0.413402302780161;0.310374090559332;0.688653901070729;0.48291294796666;0.780870313745497;0.0895977800418954;0.0145931106707777;1
22;embed.CSS ;0.638004845958187;1;0.598367200015564;0.0726875962113925;0.435540494050105;0.000556083306228754;0.56721621525209;1;0.0128461696473711;0.73608208369703
23;inline.CSS ;0.633701377460356;0.822951910589518;0.392247669735061;0.552491238737862;0.924616944929334;0.260990414634245;0.791271632046491;0.09552452418071;0.00724175248608232;0.280885756974807
24;css.in.JS ;0.258281379061277;0.988148048148699;0.661445172480845;0.595235878435353;0.962382574004874;0.756218641020093;0.0914806505887545;0.471546808793987;0.496937543177664;0.133868161702818
25;css.in.JS..jquery ;0.925666243401729;0.935643758412448;0.633763620187535;0.191509744402664;0.980546278837121;0.0999562286992653;4.50944035044424e-05;0.155675519825725;0.0602317760665807;0.927321369136623
26;max.lines ;0.600408894641092;0.726381831270769;0.86862981312135;0.849014904228655;0.989482601925009;1.17833830559624e-05;0.475849452316572;0.609217670235531;0.738007404832824;0.679450150058535
27;max.lines.per.function ;0.943353534839205;0.654086808708117;0.485987480055203;0.267662516390872;0.981766060310985;0.377594258912354;0.617446453488212;0.550542720054848;0.359574141481516;0.948626510857898
28;max.params ;0.952478879138195;0.353095892562301;0.722252083730082;0.165368699311251;0.238503168744368;0.777545388496658;0.0730599044452434;0.281568149536451;0.581053345053839;0.930066377390953
29;complexity ;0.950700490988804;0.458394132096533;0.882487076493054;0.1601632947737;0.274893924300707;0.98427704343107;0.0249596914728343;0.497726271486117;0.0614897137326022;0.908384157118493
30;max.depth ;0.95129561679295;0.871897275547395;0.634761095803546;1;0.889704933847037;0.0119528868514275;0.00131196065432445;0.253270322147614;0.0412045982463426;0.908779504314347
31;max.nested.callbacks ;0.944582711248313;1;0.311450727653865;0.213590318783419;0.360288215213694;0.0113448217579606;0.606609917087752;0.349420276943139;0.00245397235808415;0.892311574381933
