1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _
2;CS; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig
3;CyclomaticComplexity ; 0.0216876772526137 ; *; 0.100651193367683 ; ; 0.0351088027972239 ; ; 0.344039804631697 ; *; 0.00589853120771841 ; ; 0.00365565818211222 ; ; 0.00163198139217487 ; ; 0.000548072616037711 ; ; 0.204564779855133 ; *; 0.0451142492919234 ; 
4;NPathComplexity ; 0.0130541081089897 ; ; 0.12170980532103 ; ; 0.0055814145543538 ; ; 0.311970408767954 ; *; 0.0140697841867837 ; ; 0.0294764476297593 ; ; 0.0253511329825731 ; ; 0.00261462603960543 ; ; 0.0742135141809211 ; ; 0.288482232405991 ; *
5;ExcessiveMethodLength ; 0.0354157938075754 ; *; 0.0404664409447507 ; ; 0.0206927441088975 ; ; 0.299888506389803 ; *; 0.00631130050084988 ; ; 0.237111662346193 ; *; 0.026612866070165 ; ; 0.000370102478237793 ; ; 0.0138153962909904 ; ; 0.0577712410351226 ; 
6;ExcessiveClassLength ; 0.103102158245409 ; *; 0.000439400712023785 ; ; 0.00434504033112119 ; ; 0.354615494343361 ; *; 0.0012127193614587 ; ; 0.0987388399311658 ; *; 0.000358466588551198 ; ; 0.00688438330662283 ; ; 0.0346701744639205 ; ; 0 ; unique <=2
7;ExcessiveParameterList ; 0.00298006874985011 ; ; 0 ; unique <=2; 0.0151536674848478 ; ; 0.114187734101041 ; ; 0.0387512492179863 ; ; 0 ; ; 0.00812499237668571 ; ; 0 ; unique <=2; 0.00459011666459664 ; ; 0.568263286892966 ; *
8;ExcessivePublicCount ; 0.0257525150758546 ; *; 0.00624558949810481 ; ; 0.0129313586595756 ; ; 0.0694223124272051 ; ; 9.83717883276116e-05 ; ; 8.53755301236696e-05 ; ; 0.00328397960625494 ; ; 0 ; unique <=2; 0.0177315060963133 ; ; 0 ; 
9;TooManyFields ; 0.0318734578378605 ; *; 0.0765873052899171 ; ; 1 ; ; 0.210945415744964 ; *; 6.05768400906865e-05 ; ; 0.052612424468604 ; ; 0.000109953934702187 ; ; 0.00197751353012994 ; ; 0.0569559511416171 ; ; 0 ; unique <=2
10;TooManyMethods ; 0.000509034413462389 ; ; 0.00103958402835722 ; ; 0.0162737713656236 ; ; 0.0885240315194252 ; ; 0.000532374378104261 ; ; 0.216387653729133 ; *; 0.00209116098060826 ; ; 0.00750123447625962 ; ; 0.151756400684728 ; ; 0 ; unique <=2
11;TooManyPublicMethods ; 0.0302416030170304 ; *; 0.104425530904898 ; ; 0.012197970533421 ; ; 0.141201536371658 ; *; 0.00332797308712195 ; ; 0.00231044886844194 ; ; 0.00101253838194112 ; ; 8.93466101320057e-05 ; ; 0.159757898833267 ; ; 0.627436786410221 ; *
12;ExcessiveClassComplexity ; 0.142777774008051 ; *; 0.097479208146006 ; ; 0.00882896963977841 ; ; 0.357900649273291 ; *; 0.0120298422946841 ; ; 0.0212001486011871 ; ; 1.74131631197069e-05 ; ; 2.40292111310511e-07 ; ; 0.0792867697564557 ; ; 0.0676334832360575 ; *
13;NumberOfChildren ; 0.0758759853958343 ; *; 0 ; unique <=2; 0 ; unique <=2; 0.0304228038428641 ; ; 0.11519949967963 ; *; 0.000312236147262429 ; ; 0.0115972853530767 ; ; 1 ; ; 0.00223531514242715 ; ; 0.289564401121253 ; *
14;DepthOfInheritance ; 0 ; ; 0 ; ; 0 ; ; 0 ; ; 0.00735533584510056 ; ; 0 ; ; 0 ; ; 0 ; ; 0 ; unique <=2; 0 ; 
15;CouplingBetweenObjects ; 0.148908647035645 ; *; 0 ; unique <=2; 0 ; unique <=2; 0.0279743362890235 ; ; 0.0328811183343879 ; ; 0.000353406545298328 ; ; 0.0379279267067504 ; ; 0.0076158554213653 ; ; 0.0319773121853185 ; ; 0.0676615311757689 ; *
16;DevelopmentCodeFragment ; 0.154164275363001 ; *; 0.163421213596003 ; *; 0.0143929367345876 ; ; 0.0798159683544762 ; ; 0.0408420452925895 ; ; 0.0101628422866737 ; ; 0.0503129614472698 ; ; 0 ; unique <=2; 0.193700687550964 ; *; 0 ; 
17;UnusedPrivateField ; 0.0143959544045348 ; ; 0 ; ; 0.0154214767453679 ; ; 0 ; ; 0.121304019418329 ; *; 0.00989661401137198 ; ; 0.00119697971389454 ; ; 0 ; unique <=2; 0.230249966756687 ; *; 0 ; 
18;UnusedLocalVariable ; 0.00126677258248851 ; ; 0.0781684603467376 ; ; 0.0116918482276813 ; ; 0.0532037099403306 ; ; 0.083916111631943 ; *; 0.0170160722731372 ; ; 0.0152302010233166 ; ; 0.0458947806960609 ; ; 0.00456680112395136 ; ; 0.284041861855426 ; *
19;UnusedPrivateMethod ; 0.00694547436003068 ; ; 0 ; ; 0.043719441830403 ; ; 0 ; unique <=2; 0.0462759688860385 ; ; 0.0646329083385283 ; *; 0.00579578379221641 ; ; 0 ; unique <=2; 0.120492921131009 ; ; 0 ; unique <=2
20;UnusedFormalParameter ; 0.0219603045598105 ; *; 0.0960494992562792 ; ; 0.00761513362284053 ; ; 0.33378415353131 ; *; 0.0217391042410245 ; ; 0.00137403843437827 ; ; 0.0221795765609637 ; ; 0.00426784222874108 ; ; 0.126747499672792 ; ; 0.0707491216195544 ; *
21;embed.JS ; 4.78813787665005e-05 ; ; 0.105596098834534 ; ; 0.0373192448843106 ; ; 0.00232291961437508 ; ; 0.00532209322490117 ; ; 0.0690925100782509 ; *; 0.00851013994141008 ; ; 0.19450188003481 ; *; 0.000163637733341906 ; ; 0.0833406547297622 ; *
22;inline.JS ; 3.73967005933329e-05 ; ; 0.00259259393883335 ; ; 0.0187291614324454 ; ; 0.0185040929817332 ; ; 0.00163370019320884 ; ; 0.0624917148507846 ; *; 0.00246672359552196 ; ; 0.152568868318647 ; *; 0.0013076423525399 ; ; 0 ; 
23;embed.CSS ; 0.0106185098639266 ; ; 0 ; unique <=2; 0.00677753932683239 ; ; 0.342818280860389 ; *; 0.115317503734197 ; *; 0.0304208128323581 ; ; 0.00975898208084257 ; ; 0.170538371579937 ; *; 0.0111186349631057 ; ; 0.400383563544581 ; *
24;inline.CSS ; 0.0301114895960776 ; *; 0.023620341404619 ; ; 0.0262416887139145 ; ; 0.0192437273565348 ; ; 0.0109407122192348 ; ; 0.131994028339959 ; *; 0.00664046899844548 ; ; 0.16074687422797 ; *; 0.0508368165053675 ; ; 0.509371173290565 ; *
25;css.in.JS ; 0.000819793096971198 ; ; 0.0974086684480356 ; ; 0.00527368388337506 ; ; 0.164855670151976 ; *; 0.02743473304093 ; ; 0.0148761878265809 ; ; 0.00223448608894218 ; ; 0.0893003166750016 ; ; 0.0267604523585737 ; ; 0.0552177824851624 ; 
26;css.in.JS..jquery ; 0.0169063081454123 ; ; 3.89385750008604e-05 ; ; 0.00524473741568224 ; ; 0.0436837976301356 ; ; 0.00564708327040945 ; ; 0.0585245851096313 ; ; 0.012229280162377 ; ; 0.164025656468289 ; *; 0.293981017883442 ; *; 0.148268056717511 ; *
27;max.lines ; 0.118766251909872 ; *; 0.00110298800368175 ; ; 0.0101509230897765 ; ; 0.346265215440111 ; *; 2.41984693252042e-05 ; ; 0.073998188678122 ; *; 0.000257508882091057 ; ; 0.0283518083756421 ; ; 0.108548543237319 ; ; 0.102216086648272 ; *
28;max.lines.per.function ; 0.00313735843618718 ; ; 0.165270404102772 ; *; 0.0296772054541261 ; ; 0.249598263468145 ; *; 0.0039587983050903 ; ; 0.176564637951452 ; *; 0.0125015222478282 ; ; 0.040252066089244 ; ; 0.0725199594244977 ; ; 0.0680863183991482 ; *
29;max.params ; 0.0274423408222837 ; *; 0.130253633745599 ; *; 0.0212014483005102 ; ; 0.0673367572048644 ; ; 0.142321485741436 ; *; 0.000220272043146342 ; ; 0.0333830897281273 ; ; 0.0773987561060003 ; ; 0.000252439191656817 ; ; 0.0757982744828698 ; *
30;complexity ; 0.0277222701778595 ; *; 0.17148439731631 ; *; 0.0208079035392575 ; ; 0.0355290995243334 ; ; 0.110989633067993 ; *; 9.48564031181661e-05 ; ; 0.0176522853799432 ; ; 0.0677859175705772 ; ; 0.00814771523642551 ; ; 0.0506678707279269 ; 
31;max.depth ; 0.0221531303655511 ; *; 0.00513235974183888 ; ; 0.0181801838414799 ; ; 0 ; unique <=2; 0.0640857396098931 ; *; 2.13029645475056e-05 ; ; 0.00878269392165199 ; ; 0.156085643206156 ; *; 0.0642229359617747 ; ; 0.0728091174158572 ; *
32;max.nested.callbacks ; 0.027668536859733 ; *; 0 ; unique <=2; 0.0164231338379278 ; ; 0.0409797737897295 ; ; 0.117557530723739 ; *; 0.0411525841705799 ; ; 0.000906678214316776 ; ; 0.15857803814726 ; *; 0.00360692858379526 ; ; 0.0712575890729933 ; *
