CS; r^2; p; issig
CyclomaticComplexity ; 0.00163198139217487 ; 0.739857572190478 ; 
NPathComplexity ; 0.0253511329825731 ; 0.187984828659944 ; 
ExcessiveMethodLength ; 0.026612866070165 ; 0.17721989887629 ; 
ExcessiveClassLength ; 0.000358466588551198 ; 0.876373298816035 ; 
ExcessiveParameterList ; 0.00812499237668571 ; 0.458033844340402 ; 
ExcessivePublicCount ; 0.00328397960625494 ; 0.637489962049416 ; 
TooManyFields ; 0.000109953934702187 ; 0.931344038667149 ; 
TooManyMethods ; 0.00209116098060826 ; 0.706986881320943 ; 
TooManyPublicMethods ; 0.00101253838194112 ; 0.79370601429193 ; 
ExcessiveClassComplexity ; 1.74131631197069e-05 ; 0.972650237601479 ; 
NumberOfChildren ; 0.0115972853530767 ; 0.37488179449558 ; 
DepthOfInheritance ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.0379279267067504 ; 0.106186213805727 ; 
DevelopmentCodeFragment ; 0.0503129614472698 ; 0.0619369264589924 ; 
UnusedPrivateField ; 0.00119697971389454 ; 0.776153113661342 ; 
UnusedLocalVariable ; 0.0152302010233166 ; 0.30875690439151 ; 
UnusedPrivateMethod ; 0.00579578379221641 ; 0.531058515965041 ; 
UnusedFormalParameter ; 0.0221795765609637 ; 0.218524211499605 ; 
embed.JS ; 0.00851013994141008 ; 0.447525455459472 ; 
inline.JS ; 0.00246672359552196 ; 0.683048515197422 ; 
embed.CSS ; 0.00975898208084257 ; 0.415858700419224 ; 
inline.CSS ; 0.00664046899844548 ; 0.502458117967778 ; 
css.in.JS ; 0.00223448608894218 ; 0.697580668482196 ; 
css.in.JS..jquery ; 0.012229280162377 ; 0.36210067188662 ; 
max.lines ; 0.000257508882091057 ; 0.895102502377619 ; 
max.lines.per.function ; 0.0125015222478282 ; 0.356778260010355 ; 
max.params ; 0.0333830897281273 ; 0.130047276496801 ; 
complexity ; 0.0176522853799432 ; 0.272878924324163 ; 
max.depth ; 0.00878269392165199 ; 0.44031163021227 ; 
max.nested.callbacks ; 0.000906678214316776 ; 0.804561933483366 ; 
