CS; r^2; p; issig
CyclomaticComplexity ; 0.0216876772526137 ; 0.0491556562195676 ; *
NPathComplexity ; 0.0130541081089897 ; 0.127782657567173 ; 
ExcessiveMethodLength ; 0.0354157938075754 ; 0.011643624609533 ; *
ExcessiveClassLength ; 0.103102158245409 ; 1.17336617212742e-05 ; *
ExcessiveParameterList ; 0.00298006874985011 ; 0.467968030565458 ; 
ExcessivePublicCount ; 0.0257525150758546 ; 0.0318803952176984 ; *
TooManyFields ; 0.0318734578378605 ; 0.0167981752991401 ; *
TooManyMethods ; 0.000509034413462389 ; 0.764345262237631 ; 
TooManyPublicMethods ; 0.0302416030170304 ; 0.019906465827136 ; *
ExcessiveClassComplexity ; 0.142777774008051 ; 1.84186011857147e-07 ; *
NumberOfChildren ; 0.0758759853958343 ; 0.000189972570813491 ; *
DepthOfInheritance ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.148908647035645 ; 9.56881602714748e-08 ; *
DevelopmentCodeFragment ; 0.154164275363001 ; 5.44167430583116e-08 ; *
UnusedPrivateField ; 0.0143959544045348 ; 0.109642152465836 ; 
UnusedLocalVariable ; 0.00126677258248851 ; 0.636213887288833 ; 
UnusedPrivateMethod ; 0.00694547436003068 ; 0.267375895820296 ; 
UnusedFormalParameter ; 0.0219603045598105 ; 0.0477369517224544 ; *
embed.JS ; 4.78813787665005e-05 ; 0.926752900507543 ; 
inline.JS ; 3.73967005933329e-05 ; 0.935247516258344 ; 
embed.CSS ; 0.0106185098639266 ; 0.169857473944137 ; 
inline.CSS ; 0.0301114895960776 ; 0.0201783500372649 ; *
css.in.JS ; 0.000819793096971198 ; 0.703600451990426 ; 
css.in.JS..jquery ; 0.0169063081454123 ; 0.0827778505579656 ; 
max.lines ; 0.118766251909872 ; 2.31263394865097e-06 ; *
max.lines.per.function ; 0.00313735843618718 ; 0.456437356451688 ; 
max.params ; 0.0274423408222837 ; 0.0266811498073693 ; *
complexity ; 0.0277222701778595 ; 0.0259081872606489 ; *
max.depth ; 0.0221531303655511 ; 0.0467594150982296 ; *
max.nested.callbacks ; 0.027668536859733 ; 0.0260547516258283 ; *
