CS; r^2; p; issig
CyclomaticComplexity ; 0.00365565818211222 ; 0.637838143512011 ; 
NPathComplexity ; 0.0294764476297593 ; 0.178479992998382 ; 
ExcessiveMethodLength ; 0.237111662346193 ; 5.18963869601979e-05 ; *
ExcessiveClassLength ; 0.0987388399311658 ; 0.0121403412338551 ; *
ExcessiveParameterList ; 0 ; 0 ; 
ExcessivePublicCount ; 8.53755301236696e-05 ; 0.942703593941768 ; 
TooManyFields ; 0.052612424468604 ; 0.0705543115095619 ; 
TooManyMethods ; 0.216387653729133 ; 0.000122399748253409 ; *
TooManyPublicMethods ; 0.00231044886844194 ; 0.708331830990185 ; 
ExcessiveClassComplexity ; 0.0212001486011871 ; 0.254860236389518 ; 
NumberOfChildren ; 0.000312236147262429 ; 0.890671134562965 ; 
DepthOfInheritance ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.000353406545298328 ; 0.883733352476231 ; 
DevelopmentCodeFragment ; 0.0101628422866737 ; 0.431782879391565 ; 
UnusedPrivateField ; 0.00989661401137198 ; 0.437910230393294 ; 
UnusedLocalVariable ; 0.0170160722731372 ; 0.308198649598732 ; 
UnusedPrivateMethod ; 0.0646329083385283 ; 0.0443626593108343 ; *
UnusedFormalParameter ; 0.00137403843437827 ; 0.773020865774082 ; 
embed.JS ; 0.0690925100782509 ; 0.0374048772085435 ; *
inline.JS ; 0.0624917148507846 ; 0.0481611790118131 ; *
embed.CSS ; 0.0304208128323581 ; 0.171573849542969 ; 
inline.CSS ; 0.131994028339959 ; 0.00342629303626875 ; *
css.in.JS ; 0.0148761878265809 ; 0.340961924844797 ; 
css.in.JS..jquery ; 0.0585245851096313 ; 0.0561078644520635 ; 
max.lines ; 0.073998188678122 ; 0.0310248000264874 ; *
max.lines.per.function ; 0.176564637951452 ; 0.000606695324247019 ; *
max.params ; 0.000220272043146342 ; 0.908089544063805 ; 
complexity ; 9.48564031181661e-05 ; 0.939611597792655 ; 
max.depth ; 2.13029645475056e-05 ; 0.971361239538209 ; 
max.nested.callbacks ; 0.0411525841705799 ; 0.110814178306595 ; 
