1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _;;total sig;;107;;;;
2;CS; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig;;;;;;;;
3;CyclomaticComplexity ;0.097084419; * ;0.175843244;  ;0.480904812; * ;0.410075531; * ;0.146735157;  ;0.10891409;  ;0.075676945;  ;0.125377925;  ;0.366706861;  ;0.170207641;  ;; *    *  *             ;***;3; #    #  #             ;•••; |    |  |             ;|||
4;NPathComplexity ;0.137285881; * ;0.175843244;  ;0.181858408;  ;0.410075531; * ;0.100082884;  ;0.13358914; * ;0.136527758; * ;0.119800562;  ;0.221089059;  ;0.179419454; * ;; *      *    *  *      * ;*****;5; #      #    #  #      # ;•••••; |      |    |  |      | ;|||||
5;ExcessiveMethodLength ;0.119078348; * ;0.097766178;  ;0.319437673;  ;0.410075531; * ;0.100082884;  ;0.112821644;  ;0.145218026;  ;0.12804225;  ;0.258116063;  ;0.160931741;  ;; *      *             ;**;2; #      #             ;••; |      |             ;||
6;ExcessiveClassLength ;0.100014612; * ;0.361142336; * ;0.276560759;  ;0.271934452; * ;0.099252379;  ;0.116589524;  ;0.078103579;  ;0.12804225;  ;0.28611234;  ;0;;; *  *    *           ;***;3; #  #    #           ;•••; |  |    |           ;|||
7;ExcessiveParameterList ;0.110128918; * ;0;;0.346893055; * ;0.43423712; * ;0.097577592;  ;0;  ;0.083492668;  ;0;;0.280595693;  ;0.07493413;  ;; *  *  *           ;***;3; #  #  #           ;•••; |  |  |           ;|||
8;ExcessivePublicCount ;0.104500689; * ;0.086988089;  ;0.241618454;  ;0.315964194; * ;0.186739197; * ;0.076763654;  ;0.048493815;  ;0;;0.257856017;  ;0;  ;; *      *  *         ;***;3; #      #  #         ;•••; |      |  |         ;|||
9;TooManyFields ;0.060870244; * ;0.363636817; * ;1;  ;0.356535718;  ;0.24451184; * ;0.160563582;  ;0.135939987;  ;0.198455947;  ;0.296464086;  ;0;;; *  *      *         ;***;3; #  #      #         ;•••; |  |      |         ;|||
10;TooManyMethods ;0.026599366;  ;0.318914001;  ;0.241618454;  ;0.301107605; * ;0.131944576;  ;0.115557461;  ;0.139068776;  ;0.198455947;  ;0.553665717; * ;0;;;       *          * ;**;2;       #          # ;••;       |          | ;||
11;TooManyPublicMethods ;0.072364039; * ;0.126473837;  ;0.404628276; * ;0.485007166; * ;0.072878337;  ;0.148761204;  ;0.130882812; * ;0.198455947;  ;0.366278738;  ;0.03488885;  ;; *    *  *      *       ;****;4; #    #  #      #       ;••••; |    |  |      |       ;||||
12;ExcessiveClassComplexity ;0.110300748; * ;0.143936891;  ;0.356859891;  ;0.242578457; * ;0.079487293;  ;0.091619337; * ;0.337624094; * ;0.198455947;  ;0.410790345;  ;0.068451042;  ;; *      *    *  *       ;****;4; #      #    #  #       ;••••; |      |    |  |       ;||||
13;NumberOfChildren ;0.110606609; * ;0;;0;;0.213045824;  ;0.110294329;  ;0.097273274;  ;0.139856468; * ;1;  ;0.537342552; * ;0.114379585;  ;; *        *    *   ;***;3; #        #    #   ;•••; |        |    |   ;|||
14;DepthOfInheritance ;0;  ;0;  ;0;  ;0;  ;0.03153791;  ;0;  ;0;  ;0;  ;0;;0;  ;;                  ;;0;                  ;;                  ;
15;CouplingBetweenObjects ;0.093657832; * ;0;;0;;0.298270817; * ;0.115210319;  ;0.237346529; * ;0.125148299;  ;0.198455947;  ;0.43421687;  ;0.071263938;  ;; *  *    *         ;***;3; #  #    #         ;•••; |  |    |         ;|||
16;DevelopmentCodeFragment ;0.096354137; * ;0.300604324;  ;0.349153943;  ;0.326596607; * ;0.06683031;  ;0.199326769; * ;0.204510469; * ;0;;0.557379945; * ;0;  ;; *      *    *  *  *   ;*****;5; #      #    #  #  #   ;•••••; |      |    |  |  |   ;|||||
17;UnusedPrivateField ;0.104832739; * ;0;  ;0.411061973;  ;0;  ;0.171805582; * ;0.229406333; * ;0.19973216; * ;0;;0.348535372; * ;0;  ;; *        *  *  *  *   ;*****;5; #        #  #  #  #   ;•••••; |        |  |  |  |   ;|||||
18;UnusedLocalVariable ;0.082437932; * ;0.227664302;  ;0.338715587;  ;0.326596607;  ;0.162297613;  ;0.13217323;  ;0.149786429; * ;0.198455947;  ;0.145042848;  ;0.068451042;  ;; *            *       ;**;2; #            #       ;••; |            |       ;||
19;UnusedPrivateMethod ;0.070998804; * ;0;  ;0.467529907; * ;0;;0.087784072;  ;0.195230948; * ;0.195599012; * ;0;;0.344187726; * ;0;;; *    *    *  *  * ;*****;5; #    #    #  #  # ;•••••; |    |    |  |  | ;|||||
20;UnusedFormalParameter ;0.131855201; * ;0.190229528;  ;0.338715587;  ;0.263761943;  ;0.055087204;  ;0.091619337; * ;0.148028924; * ;0.196005174;  ;0.355502231; * ;0.04541367;  ;; *          *  *    *   ;****;4; #          #  #    #   ;••••; |          |  |    |   ;||||
21;embed.JS ;0.068655558;  ;0.27775973; * ;0.267742044;  ;0.178560441;  ;0.059633978;  ;0.115249008;  ;0.146583465; * ;0.15104456;  ;0.269359242;  ;0.176863996; * ;;   *          *      * ;***;3;   #          #      # ;•••;   |          |      | ;|||
22;inline.JS ;0.052258402;  ;0.240621413;  ;0.491630717; * ;0.485032108; * ;0.050807591;  ;0.19745489; * ;0.232968029; * ;0.310745177; * ;0.269359242;  ;0;  ;;     *  *    *  *  *     ;*****;5;     #  #    #  #  #     ;•••••;     |  |    |  |  |     ;|||||
23;embed.CSS ;0.048744377;  ;0;;0.209758175;  ;0.374242836; * ;0.108863621;  ;0.13141012;  ;0.06864626;  ;0.235233607;  ;0.303508527;  ;0.246039998; * ;;     *            * ;**;2;     #            # ;••;     |            | ;||
