CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.480904812024565 ; 0.00333333333333333 ; * ; 0.495951454458548 ; 0.103333333333333 ; 
NPathComplexity ; 0.181858407839357 ; 0.653333333333333 ;  ; 0.0962582248402766 ; 0.97 ; 
ExcessiveMethodLength ; 0.319437673477782 ; 0.163333333333333 ;  ; 0.427935205353311 ; 0.06 ; 
ExcessiveClassLength ; 0.27656075851788 ; 0.25 ;  ; 0.342834119857222 ; 0.0866666666666667 ; 
ExcessiveParameterList ; 0.346893055119729 ; 0.0166666666666667 ; * ; 0.151548148498918 ; 0.69 ; 
ExcessivePublicCount ; 0.241618453607077 ; 0.383333333333333 ;  ; 0.291602752516448 ; 0.203333333333333 ; 
TooManyFields ; 1 ;  all cs=1 ;  ; 0 ; 0 ; 
TooManyMethods ; 0.241618453607077 ; 0.383333333333333 ;  ; 0.291602752516448 ; 0.203333333333333 ; 
TooManyPublicMethods ; 0.404628276030736 ; 0.0366666666666667 ; * ; 0.322166641708949 ; 0.186666666666667 ; 
ExcessiveClassComplexity ; 0.356859890835086 ; 0.106666666666667 ;  ; 0.429293478361527 ; 0.0266666666666667 ; *
NumberOfChildren ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DevelopmentCodeFragment ; 0.34915394335396 ; 0.116666666666667 ;  ; 0.452079107950144 ; 0.03 ; *
UnusedPrivateField ; 0.411061972520306 ; 0.0533333333333333 ;  ; 0.305042004871852 ; 0.153333333333333 ; 
UnusedLocalVariable ; 0.338715586871307 ; 0.126666666666667 ;  ; 0.29393850564644 ; 0.176666666666667 ; 
UnusedPrivateMethod ; 0.46752990736736 ; 0.02 ; * ; 0.332162962660146 ; 0.123333333333333 ; 
UnusedFormalParameter ; 0.338715586871307 ; 0.126666666666667 ;  ; 0.252136706802962 ; 0.323333333333333 ; 
embed.JS ; 0.267742044448928 ; 0.0633333333333333 ;  ; 0.0879514163894028 ; 0.906666666666667 ; 
inline.JS ; 0.491630717137381 ; 0 ; * ; 0.391821158674566 ; 0.03 ; *
embed.CSS ; 0.209758174975541 ; 0.463333333333333 ;  ; 0.216346377802478 ; 0.47 ; 
inline.CSS ; 0.326501926673262 ; 0.126666666666667 ;  ; 0.391821158674564 ; 0.0533333333333333 ; 
css.in.JS ; 0.374002135550212 ; 0.0766666666666667 ;  ; 0.360913093228511 ; 0.0833333333333333 ; 
css.in.JS..jquery ; 0.361903297870807 ; 0.12 ;  ; 0.342945826836133 ; 0.106666666666667 ; 
max.lines ; 0.444134410191719 ; 0 ; * ; 0.500967779647712 ; 0.01 ; *
max.lines.per.function ; 0.242590545809374 ; 0.333333333333333 ;  ; 0.212292343049827 ; 0.436666666666667 ; 
max.params ; 0.491630717137381 ; 0 ; * ; 0.412117314647874 ; 0.01 ; *
complexity ; 0.438149789342355 ; 0.0233333333333333 ; * ; 0.443094645028415 ; 0.02 ; *
max.depth ; 0.286333117646058 ; 0.183333333333333 ;  ; 0.286333117646058 ; 0.156666666666667 ; 
max.nested.callbacks ; 0.470487333880611 ; 0.0166666666666667 ; * ; 0.155173154280365 ; 0.686666666666667 ; 
