CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.146735157201054 ; 0.123333333333333 ;  ; 0.0984360019603266 ; 0.336666666666667 ; 
NPathComplexity ; 0.10008288443317 ; 0.343333333333333 ;  ; 0.158563969875284 ; 0.0466666666666667 ; *
ExcessiveMethodLength ; 0.10008288443317 ; 0.383333333333333 ;  ; 0.0923531053357461 ; 0.383333333333333 ; 
ExcessiveClassLength ; 0.0992523791302566 ; 0.536666666666667 ;  ; 0.1253612829011 ; 0.05 ; *
ExcessiveParameterList ; 0.0975775922710642 ; 0.54 ;  ; 0.107248856392459 ; 0.18 ; 
ExcessivePublicCount ; 0.186739197464582 ; 0.0366666666666667 ; * ; 0.137435097495166 ; 0.05 ; *
TooManyFields ; 0.244511839519683 ; 0.00333333333333333 ; * ; 0.280199923603164 ; 0.00333333333333333 ; *
TooManyMethods ; 0.131944576415461 ; 0.23 ;  ; 0.0617147710514004 ; 0.723333333333333 ; 
TooManyPublicMethods ; 0.0728783374679509 ; 0.316666666666667 ;  ; 0.225455107269114 ; 0.01 ; *
ExcessiveClassComplexity ; 0.0794872934060262 ; 0.456666666666667 ;  ; 0.156135359468899 ; 0.0433333333333333 ; *
NumberOfChildren ; 0.110294329451798 ; 0.133333333333333 ;  ; 0.156220259797343 ; 0.0466666666666667 ; *
DepthOfInheritance ; 0.0315379102023939 ; 0.456666666666667 ;  ; 0.0325042692950351 ; 0.333333333333333 ; 
CouplingBetweenObjects ; 0.11521031853435 ; 0.336666666666667 ;  ; 0.0918892710263621 ; 0.426666666666667 ; 
DevelopmentCodeFragment ; 0.0668303095348885 ; 0.736666666666667 ;  ; 0.130096051132775 ; 0.153333333333333 ; 
UnusedPrivateField ; 0.171805581992233 ; 0.00333333333333333 ; * ; 0.0596378348941384 ; 0.693333333333333 ; 
UnusedLocalVariable ; 0.162297612799391 ; 0.0566666666666667 ;  ; 0.137676096895444 ; 0.13 ; 
UnusedPrivateMethod ; 0.0877840722491584 ; 0.366666666666667 ;  ; 0.129879842889436 ; 0.116666666666667 ; 
UnusedFormalParameter ; 0.0550872037494179 ; 0.896666666666667 ;  ; 0.0784149592102131 ; 0.536666666666667 ; 
embed.JS ; 0.0596339781290558 ; 0.76 ;  ; 0.0161378872087278 ; 0.976666666666667 ; 
inline.JS ; 0.0508075908593188 ; 0.796666666666667 ;  ; 0.0401961912470362 ; 0.893333333333333 ; 
embed.CSS ; 0.108863620532229 ; 0.32 ;  ; 0.111047029622399 ; 0.196666666666667 ; 
inline.CSS ; 0.0697035823067502 ; 0.566666666666667 ;  ; 0.0359990627620795 ; 0.896666666666667 ; 
css.in.JS ; 0.104316323844576 ; 0.406666666666667 ;  ; 0.0762665426448387 ; 0.49 ; 
css.in.JS..jquery ; 0.103853485247025 ; 0.423333333333333 ;  ; 0.0938905552583454 ; 0.43 ; 
max.lines ; 0.0537727235136984 ; 0.603333333333333 ;  ; 0.0947785776627038 ; 0.33 ; 
max.lines.per.function ; 0.0661037893766869 ; 0.486666666666667 ;  ; 0.0138123204201338 ; 0.99 ; 
max.params ; 0.0408336197991302 ; 0.843333333333333 ;  ; 0.0400537806340884 ; 0.873333333333333 ; 
complexity ; 0.0354223673151019 ; 0.773333333333333 ;  ; 0.0321134347485586 ; 0.92 ; 
max.depth ; 0.0910167955555283 ; 0.293333333333333 ;  ; 0.0556881990679818 ; 0.71 ; 
max.nested.callbacks ; 0.0408336197991302 ; 0.843333333333333 ;  ; 0.0400537806340884 ; 0.866666666666667 ; 
