CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.125377924914208 ; 0.543333333333333 ;  ; 0.185152647844587 ; 0.143333333333333 ; 
NPathComplexity ; 0.119800562383174 ; 0.59 ;  ; 0.185152647844587 ; 0.256666666666667 ; 
ExcessiveMethodLength ; 0.128042249998003 ; 0.453333333333333 ;  ; 0.174837054018045 ; 0.303333333333333 ; 
ExcessiveClassLength ; 0.128042249998003 ; 0.4 ;  ; 0.101307300056708 ; 0.663333333333333 ; 
ExcessiveParameterList ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
ExcessivePublicCount ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
TooManyFields ; 0.198455946890717 ; 0.1 ;  ; 0.168124166509253 ; 0.26 ; 
TooManyMethods ; 0.198455946890717 ; 0.1 ;  ; 0.168124166509253 ; 0.26 ; 
TooManyPublicMethods ; 0.198455946890717 ; 0.133333333333333 ;  ; 0.168124166509253 ; 0.27 ; 
ExcessiveClassComplexity ; 0.198455946890717 ; 0.1 ;  ; 0.2471476156524 ; 0.0766666666666667 ; 
NumberOfChildren ; 1 ;  all cs=1 ;  ; 0 ; 0 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.198455946890717 ; 0.133333333333333 ;  ; 0.168124166509253 ; 0.27 ; 
DevelopmentCodeFragment ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
UnusedPrivateField ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
UnusedLocalVariable ; 0.198455946890717 ; 0.1 ;  ; 0.2471476156524 ; 0.0766666666666667 ; 
UnusedPrivateMethod ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
UnusedFormalParameter ; 0.196005174343159 ; 0.0733333333333333 ;  ; 0.165661349072563 ; 0.31 ; 
embed.JS ; 0.151044560261568 ; 0.296666666666667 ;  ; 0.13545672538608 ; 0.503333333333333 ; 
inline.JS ; 0.310745176844609 ; 0.03 ; * ; 0.232976303813102 ; 0.06 ; 
embed.CSS ; 0.235233607131271 ; 0.0766666666666667 ;  ; 0.13545672538608 ; 0.36 ; 
inline.CSS ; 0.310745176844609 ; 0.0233333333333333 ; * ; 0.335174893344678 ; 0.00666666666666667 ; *
css.in.JS ; 0.109706982312572 ; 0.37 ;  ; 0.0963705944623246 ; 0.65 ; 
css.in.JS..jquery ; 0.321254808918469 ; 0.03 ; * ; 0.158125889670689 ; 0.273333333333333 ; 
max.lines ; 0.197506770430152 ; 0.12 ;  ; 0.209867557605568 ; 0.15 ; 
max.lines.per.function ; 0.283328481585279 ; 0.06 ;  ; 0.13086743749575 ; 0.456666666666667 ; 
max.params ; 0.17055328316651 ; 0.136666666666667 ;  ; 0.106811094097649 ; 0.606666666666667 ; 
complexity ; 0.183391024142332 ; 0.16 ;  ; 0.285416125078579 ; 0.0266666666666667 ; *
max.depth ; 0.310745176844609 ; 0.01 ; * ; 0.323105964020025 ; 0.00666666666666667 ; *
max.nested.callbacks ; 0.0993273918729703 ; 0.01 ; * ; 0.115490110396046 ; 0.626666666666667 ; 
