1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _
2;CS; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig
3;CyclomaticComplexity ; 0.149597146353755 ; * ; 0.732778807998165 ; * ; 0.624066674056502 ;  ; 0.397459470627633 ;  ; 0.212713539164223 ;  ; 0.212552425993657 ; * ; 0.179606265984618 ;  ; 0.167024468365269 ;  ; 0.420292235837037 ;  ; 0.247186802820417 ;  
4;NPathComplexity ; 0.132340260307387 ;  ; 0.732778807998165 ; * ; 0.479480652580019 ;  ; 0.397459470627633 ;  ; 0.145865222852884 ;  ; 0.131075089867815 ;  ; 0.255772220014583 ; * ; 0.145801643952353 ;  ; 0.385988196051196 ;  ; 0.179219567285344 ;  
5;ExcessiveMethodLength ; 0.130569984213053 ; * ; 0.609304600931011 ;  ; 0.265139232077474 ;  ; 0.397459470627633 ;  ; 0.21092361357954 ;  ; 0.239776812472199 ;  ; 0.256477296643257 ;  ; 0.134867573648516 ;  ; 0.398196123873078 ;  ; 0.177058300973353 ;  
6;ExcessiveClassLength ; 0.127611890558042 ;  ; 0.882463929929965 ; * ; 0.422170469485433 ;  ; 0.467980653107079 ;  ; 0.211020187433868 ;  ; 0.136121544285658 ;  ; 0.20333487416187 ;  ; 0.226490070357927 ;  ; 0.383862097605491 ;  ; 0 ; unique <=2 
7;ExcessiveParameterList ; 0.10818560408178 ; * ; 0 ; unique <=2 ; 0.340838508169717 ;  ; 0.384096674827174 ;  ; 0.352777713961726 ; * ; 0 ;  ; 0.255749054121456 ;  ; 0 ; unique <=2 ; 0.584402066259336 ;  ; 0.138781334309782 ;  
8;ExcessivePublicCount ; 0.1206294840835 ;  ; 0.518859612006206 ;  ; 0.821589067739798 ; * ; 0.45233630390125 ;  ; 0.291886895379911 ;  ; 0.124351297870684 ;  ; 0.101830452192138 ;  ; 0 ; unique <=2 ; 0.716054176865898 ;  ; 0 ;  
9;TooManyFields ; 0.0915008787939842 ;  ; 0.681704708270091 ; * ; 1 ;  ; 0.522131566928241 ;  ; 0.317784670264655 ;  ; 0.305685982353583 ;  ; 0.196741314895789 ;  ; 0.214264452836505 ;  ; 0.532810565838747 ;  ; 0 ; unique <=2 
10;TooManyMethods ; 0.185597167876173 ;  ; 0.449122407252367 ;  ; 0.821589067739798 ; * ; 0.440899581002542 ;  ; 0.253673257220195 ;  ; 0.140600123423695 ;  ; 0.143423306311861 ;  ; 0.214264452836505 ;  ; 0.494968192845507 ; * ; 0 ; unique <=2 
11;TooManyPublicMethods ; 0.102736950397087 ;  ; 0.35586647280402 ;  ; 0.493513755009757 ;  ; 0.519550426614611 ;  ; 0.223565989981063 ;  ; 0.178491269821672 ;  ; 0.125767282655051 ;  ; 0.214264452836505 ;  ; 0.632265814554828 ;  ; 0.171834029673012 ;  
