CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.247186802820417 ; 0.336666666666667 ;  ; 0.220592379018518 ; 0.266666666666667 ; 
NPathComplexity ; 0.179219567285344 ; 0.493333333333333 ;  ; 0.109355199698694 ; 0.67 ; 
ExcessiveMethodLength ; 0.177058300973353 ; 0.36 ;  ; 0.361324873617509 ; 0.00333333333333333 ; *
ExcessiveClassLength ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
ExcessiveParameterList ; 0.138781334309782 ; 0.2 ;  ; 0.0537077132588466 ; 0.88 ; 
ExcessivePublicCount ; 0 ; 0 ;  ; 0 ; 0 ; 
TooManyFields ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
TooManyMethods ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
TooManyPublicMethods ; 0.171834029673012 ; 0.113333333333333 ;  ; 0.149572083802891 ; 0.0866666666666667 ; 
ExcessiveClassComplexity ; 0.128451920271124 ; 0.42 ;  ; 0.189435906161379 ; 0.0466666666666667 ; *
NumberOfChildren ; 0.121486311772522 ; 0.323333333333333 ;  ; 0.0478465691680951 ; 0.833333333333333 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.126744669022496 ; 0.353333333333333 ;  ; 0.139330117698655 ; 0.253333333333333 ; 
DevelopmentCodeFragment ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.0766623219650993 ; 0.71 ;  ; 0.058543654144189 ; 0.74 ; 
UnusedPrivateMethod ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
UnusedFormalParameter ; 0.0778373159481807 ; 0.736666666666667 ;  ; 0.249249672989903 ; 0.0166666666666667 ; *
embed.JS ; 0.100128333479669 ; 0.616666666666667 ;  ; 0.133720799056256 ; 0 ; *
inline.JS ; 0 ; 0 ;  ; 0 ; 0 ; 
embed.CSS ; 0.148671895056337 ; 0.16 ;  ; 0.0632700888468284 ; 0.0133333333333333 ; *
inline.CSS ; 0.154410121569118 ; 0.216666666666667 ;  ; 0.0900563378306891 ; 0.0166666666666667 ; *
css.in.JS ; 0.167759875080705 ; 0.506666666666667 ;  ; 0.365318168883695 ; 0 ; *
css.in.JS..jquery ; 0.109541522236884 ; 0.263333333333333 ;  ; 0.0793703029437511 ; 0.0333333333333333 ; *
max.lines ; 0.0436013079760823 ; 0.866666666666667 ;  ; 0.083429198065527 ; 0.01 ; *
max.lines.per.function ; 0.112721036426722 ; 0.466666666666667 ;  ; 0.241637950801076 ; 0 ; *
max.params ; 0.278959612034757 ; 0.02 ; * ; 0.0966500614763208 ; 0.0233333333333333 ; *
complexity ; 0.112642857596552 ; 0.433333333333333 ;  ; 0.045797729091604 ; 0.0233333333333333 ; *
max.depth ; 0.112642857596552 ; 0.433333333333333 ;  ; 0.045797729091604 ; 0.0233333333333333 ; *
max.nested.callbacks ; 0.132188205396228 ; 0.69 ;  ; 0.0540702569085294 ; 0.03 ; *
