CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.624066674056502 ; 0.0666666666666667 ;  ; 0.496389550870554 ; 0.323333333333333 ; 
NPathComplexity ; 0.479480652580019 ; 0.843333333333333 ;  ; 0.584503859738802 ; 0.263333333333333 ; 
ExcessiveMethodLength ; 0.265139232077474 ; 0.91 ;  ; 0.295064245758389 ; 0.926666666666667 ; 
ExcessiveClassLength ; 0.422170469485433 ; 0.33 ;  ; 0.437013493994396 ; 0.603333333333333 ; 
ExcessiveParameterList ; 0.340838508169717 ; 0.66 ;  ; 0.31140326066645 ; 0.896666666666667 ; 
ExcessivePublicCount ; 0.821589067739798 ; 0.01 ; * ; 0.590717619092953 ; 0.173333333333333 ; 
TooManyFields ; 1 ;  all cs=1 ;  ; 0 ; 0 ; 
TooManyMethods ; 0.821589067739798 ; 0.01 ; * ; 0.590717619092953 ; 0.173333333333333 ; 
TooManyPublicMethods ; 0.493513755009757 ; 0.37 ;  ; 0.287854782476038 ; 0.896666666666667 ; 
ExcessiveClassComplexity ; 0.449143439322623 ; 0.256666666666667 ;  ; 0.189033683471446 ; 0.996666666666667 ; 
NumberOfChildren ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DevelopmentCodeFragment ; 0.264049000394985 ; 0.78 ;  ; 0.444984236216756 ; 0.57 ; 
UnusedPrivateField ; 0.579282779941129 ; 0.163333333333333 ;  ; 0.380792229609727 ; 0.58 ; 
UnusedLocalVariable ; 0.590844367153625 ; 0.166666666666667 ;  ; 0.333989248183651 ; 0.753333333333333 ; 
UnusedPrivateMethod ; 0.470193702901299 ; 0.00333333333333333 ; * ; 0.190730569051363 ; 0.97 ; 
UnusedFormalParameter ; 0.648757919318413 ; 0.12 ;  ; 0.366576102784986 ; 0.63 ; 
embed.JS ; 0.46365732617795 ; 0.106666666666667 ;  ; 0.154995112966798 ; 0.886666666666667 ; 
inline.JS ; 0.374623885505447 ; 0 ; * ; 0.28183480790124 ; 0.7 ; 
embed.CSS ; 0.253859640966434 ; 0.883333333333333 ;  ; 0.402983287056177 ; 0.533333333333333 ; 
inline.CSS ; 0.372035109848264 ; 0.55 ;  ; 0.269302413005076 ; 0.86 ; 
css.in.JS ; 0.321733930160792 ; 0.816666666666667 ;  ; 0.316284927221346 ; 0.83 ; 
css.in.JS..jquery ; 0.300969203378436 ; 0.576666666666667 ;  ; 0.158786815643091 ; 0.99 ; 
max.lines ; 0.374623885505447 ; 0 ; * ; 0.45680490108016 ; 0.323333333333333 ; 
max.lines.per.function ; 0.243664000379746 ; 0.816666666666667 ;  ; 0.285786055348973 ; 0.863333333333333 ; 
max.params ; 0.37714410082374 ; 0 ; * ; 0.463663469561183 ; 0.256666666666667 ; 
complexity ; 0.545460387593928 ; 0 ; * ; 0.37714410082374 ; 0.546666666666667 ; 
max.depth ; 0.245277667960547 ; 0.846666666666667 ;  ; 0.245277667960547 ; 0.866666666666667 ; 
max.nested.callbacks ; 0.43066131455424 ; 0.47 ;  ; 0.332052779535593 ; 0.7 ; 
