CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.397459470627633 ; 0.536666666666667 ;  ; 0.335471048636396 ; 0.67 ; 
NPathComplexity ; 0.397459470627633 ; 0.536666666666667 ;  ; 0.335471048636396 ; 0.67 ; 
ExcessiveMethodLength ; 0.397459470627633 ; 0.536666666666667 ;  ; 0.335471048636396 ; 0.67 ; 
ExcessiveClassLength ; 0.467980653107079 ; 0.0833333333333333 ;  ; 0.338543635367991 ; 0.646666666666667 ; 
ExcessiveParameterList ; 0.384096674827174 ; 0.666666666666667 ;  ; 0.356653035034777 ; 0.82 ; 
ExcessivePublicCount ; 0.45233630390125 ; 0.29 ;  ; 0.349405442042555 ; 0.726666666666667 ; 
TooManyFields ; 0.522131566928241 ; 0.536666666666667 ;  ; 0.44149035639938 ; 0.656666666666667 ; 
TooManyMethods ; 0.440899581002542 ; 0.296666666666667 ;  ; 0.424119495919395 ; 0.503333333333333 ; 
TooManyPublicMethods ; 0.519550426614611 ; 0.343333333333333 ;  ; 0.350004956646033 ; 0.753333333333333 ; 
ExcessiveClassComplexity ; 0.237914240665741 ; 0.696666666666667 ;  ; 0.359394002731364 ; 0.586666666666667 ; 
NumberOfChildren ; 0.290541171192251 ; 0.883333333333333 ;  ; 0.326915517561126 ; 0.696666666666667 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.354878901922971 ; 0.84 ;  ; 0.201532313440552 ; 0.906666666666667 ; 
DevelopmentCodeFragment ; 0.236225048580012 ; 0.806666666666667 ;  ; 0.261320200961251 ; 0.68 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.24280513394653 ; 0.91 ;  ; 0.338262851915415 ; 0.496666666666667 ; 
UnusedPrivateMethod ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
UnusedFormalParameter ; 0.238025736682688 ; 0.906666666666667 ;  ; 0.449898043523157 ; 0.27 ; 
embed.JS ; 0.264349756310911 ; 0.773333333333333 ;  ; 0.521537330905877 ; 0.136666666666667 ; 
inline.JS ; 0.341947885447503 ; 0.00666666666666667 ; * ; 0.458460702371364 ; 0 ; *
embed.CSS ; 0.117545833941571 ; 0 ; * ; 0.365364361100181 ; 0 ; *
inline.CSS ; 0.190275889998591 ; 0.00666666666666667 ; * ; 0.125974056240191 ; 0.00333333333333333 ; *
css.in.JS ; 0.264210217485959 ; 0.513333333333333 ;  ; 0.395106848443822 ; 0 ; *
css.in.JS..jquery ; 0.180358097605069 ; 0.946666666666667 ;  ; 0.272052736457788 ; 0 ; *
max.lines ; 0.294941661440789 ; 0.753333333333333 ;  ; 0.456291797089652 ; 0 ; *
max.lines.per.function ; 0.444053573458302 ; 0.186666666666667 ;  ; 0.297562193552 ; 0 ; *
max.params ; 0.36134092551413 ; 0.476666666666667 ;  ; 0.48502308940124 ; 0 ; *
complexity ; 0.28475593537811 ; 0.633333333333333 ;  ; 0.245930260147244 ; 0 ; *
max.depth ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
max.nested.callbacks ; 0.224899607597134 ; 0.593333333333333 ;  ; 0.124677014901315 ; 0 ; *
