CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.453778576982306 ; 0.64 ;  ; 0.289779532532587 ; 0.893333333333333 ; 
NPathComplexity ; 0.453778576982306 ; 0.64 ;  ; 0.289779532532587 ; 0.893333333333333 ; 
ExcessiveMethodLength ; 0.465844500051781 ; 0.533333333333333 ;  ; 0.337975437235917 ; 0.726666666666667 ; 
ExcessiveClassLength ; 0.407558301272709 ; 0.83 ;  ; 0.437084459948184 ; 0.403333333333333 ; 
ExcessiveParameterList ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
ExcessivePublicCount ; 0.453778576982306 ; 0.633333333333333 ;  ; 0.235350766465887 ; 0.916666666666667 ; 
TooManyFields ; 0.373217359188156 ; 0.813333333333333 ;  ; 0.403502159294725 ; 0.31 ; 
TooManyMethods ; 0.407759066221429 ; 0.803333333333333 ;  ; 0.245225161064573 ; 0.813333333333333 ; 
TooManyPublicMethods ; 0.548919439297649 ; 0.333333333333333 ;  ; 0.343853023761056 ; 0.703333333333333 ; 
ExcessiveClassComplexity ; 0.54827923133169 ; 0.223333333333333 ;  ; 0.420656541821808 ; 0.483333333333333 ; 
NumberOfChildren ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DevelopmentCodeFragment ; 0.474287347200652 ; 0.546666666666667 ;  ; 0.3196139555425 ; 0.693333333333333 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.339193739318034 ; 0.7 ;  ; 0.25932536336568 ; 0.856666666666667 ; 
UnusedPrivateMethod ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedFormalParameter ; 0.445762413845731 ; 0.503333333333333 ;  ; 0.264524342342995 ; 0.843333333333333 ; 
embed.JS ; 0.486723416464399 ; 0.403333333333333 ;  ; 0.264617654036031 ; 0.736666666666667 ; 
inline.JS ; 0.385153997783288 ; 0.496666666666667 ;  ; 0.31590975567975 ; 0.75 ; 
embed.CSS ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
inline.CSS ; 0.486723416464399 ; 0.183333333333333 ;  ; 0.311892887105186 ; 0.67 ; 
css.in.JS ; 0.45147780793921 ; 0.123333333333333 ;  ; 0.257506929144809 ; 0.62 ; 
css.in.JS..jquery ; 0.486723416464399 ; 0.0233333333333333 ; * ; 0.144466748731817 ; 0.963333333333333 ; 
max.lines ; 0.340102927698268 ; 0.646666666666667 ;  ; 0.25079691584676 ; 0.796666666666667 ; 
max.lines.per.function ; 0.17246966607929 ; 0 ; * ; 0.0641336872692726 ; 0.88 ; 
max.params ; 0.17246966607929 ; 0 ; * ; 0.0641336872692726 ; 0.88 ; 
complexity ; 0.17246966607929 ; 0 ; * ; 0.0641336872692726 ; 0.88 ; 
max.depth ; 0.339193739318034 ; 0 ; * ; 0.175683927683924 ; 0.856666666666667 ; 
max.nested.callbacks ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
