CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.196675464487368 ; 0.633333333333333 ;  ; 0.163915949562483 ; 0.95 ; 
NPathComplexity ; 0.200609796887145 ; 0.583333333333333 ;  ; 0.143908249352674 ; 0.966666666666667 ; 
ExcessiveMethodLength ; 0.223824955990244 ; 0.44 ;  ; 0.135038893492672 ; 0.983333333333333 ; 
ExcessiveClassLength ; 0.248852607850747 ; 0.563333333333333 ;  ; 0.175857182621957 ; 0.966666666666667 ; 
ExcessiveParameterList ; 0.34508173932868 ; 0.426666666666667 ;  ; 0.137968061944512 ; 0.92 ; 
ExcessivePublicCount ; 0.316276324704131 ; 0.143333333333333 ;  ; 0.170200668235837 ; 0.756666666666667 ; 
TooManyFields ; 0.275765062600171 ; 0.583333333333333 ;  ; 0.265414525180643 ; 0.373333333333333 ; 
TooManyMethods ; 0.181249767039373 ; 0.866666666666667 ;  ; 0.191850517969468 ; 0.8 ; 
TooManyPublicMethods ; 0.25870927609159 ; 0.17 ;  ; 0.222347595768926 ; 0.393333333333333 ; 
ExcessiveClassComplexity ; 0.177397653878889 ; 0.813333333333333 ;  ; 0.187833953726895 ; 0.646666666666667 ; 
NumberOfChildren ; 0.0966327912164242 ; 0.973333333333333 ;  ; 0.160298064988651 ; 0.646666666666667 ; 
DepthOfInheritance ; 0.0165339660420073 ; 0.843333333333333 ;  ; 0.0577646011946146 ; 0.233333333333333 ; 
CouplingBetweenObjects ; 0.222448073356986 ; 0.91 ;  ; 0.302697647391192 ; 0.28 ; 
DevelopmentCodeFragment ; 0.171232227109126 ; 0.943333333333333 ;  ; 0.33607121409826 ; 0.0933333333333333 ; 
UnusedPrivateField ; 0.112222699642145 ; 0.736666666666667 ;  ; 0.126521431316629 ; 0.803333333333333 ; 
UnusedLocalVariable ; 0.237820502222965 ; 0.72 ;  ; 0.337668536402708 ; 0.16 ; 
UnusedPrivateMethod ; 0.167506695153979 ; 0.886666666666667 ;  ; 0.27476215254927 ; 0.136666666666667 ; 
UnusedFormalParameter ; 0.0897636550078566 ; 0.996666666666667 ;  ; 0.225902950475171 ; 0.67 ; 
embed.JS ; 0.0852292296798617 ; 0.98 ;  ; 0.123746684818097 ; 0.926666666666667 ; 
inline.JS ; 0.0608164444463716 ; 0.996666666666667 ;  ; 0.0659617617135749 ; 0.993333333333333 ; 
embed.CSS ; 0.116161295395623 ; 0.883333333333333 ;  ; 0.310938402118249 ; 0.11 ; 
inline.CSS ; 0.091729037173437 ; 0.996666666666667 ;  ; 0.232092307947251 ; 0.34 ; 
css.in.JS ; 0.106840071294699 ; 0.913333333333333 ;  ; 0.133469658934523 ; 0.836666666666667 ; 
css.in.JS..jquery ; 0.0863726802176844 ; 1 ;  ; 0.242683175859514 ; 0.44 ; 
max.lines ; 0.0732750640479177 ; 0.993333333333333 ;  ; 0.224122645326447 ; 0.293333333333333 ; 
max.lines.per.function ; 0.0657977202424595 ; 0.986666666666667 ;  ; 0.161132995851151 ; 0.636666666666667 ; 
max.params ; 0.0379496524891108 ; 1 ;  ; 0.0521005580575349 ; 0.98 ; 
complexity ; 0.0260618443056772 ; 0.996666666666667 ;  ; 0.0555620409203234 ; 0.966666666666667 ; 
max.depth ; 0.0579801581342432 ; 1 ;  ; 0.0818172119737079 ; 0.93 ; 
max.nested.callbacks ; 0.039494231246106 ; 0.993333333333333 ;  ; 0.0651840317349867 ; 0.96 ; 
