CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.169972788903835 ; 0.0166666666666667 ; * ; 0.221387517217336 ; 0.46 ; 
NPathComplexity ; 0.203130665857337 ; 0.0133333333333333 ; * ; 0.292800423786299 ; 0.156666666666667 ; 
ExcessiveMethodLength ; 0.262370675429571 ; 0.463333333333333 ;  ; 0.143299441837632 ; 0.963333333333333 ; 
ExcessiveClassLength ; 0.194361338526259 ; 0.79 ;  ; 0.102668663688363 ; 0.983333333333333 ; 
ExcessiveParameterList ; 0 ; 0 ;  ; 0 ; 0 ; 
ExcessivePublicCount ; 0.207188405767519 ; 0.56 ;  ; 0.229027013769979 ; 0.633333333333333 ; 
TooManyFields ; 0.184191433039613 ; 0.916666666666667 ;  ; 0.205251604950351 ; 0.646666666666667 ; 
TooManyMethods ; 0.109165231697048 ; 0.983333333333333 ;  ; 0.11683293058002 ; 0.94 ; 
TooManyPublicMethods ; 0.195302373761394 ; 0.863333333333333 ;  ; 0.167073034326581 ; 0.726666666666667 ; 
ExcessiveClassComplexity ; 0.103902651255074 ; 0.0366666666666667 ; * ; 0.289976476214877 ; 0.0333333333333333 ; *
NumberOfChildren ; 0.1333655291869 ; 0.98 ;  ; 0.127521855165296 ; 0.76 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.217072492775112 ; 0.593333333333333 ;  ; 0.223350505457136 ; 0.16 ; 
DevelopmentCodeFragment ; 0.153943109669647 ; 0.81 ;  ; 0.109351256664335 ; 0.87 ; 
UnusedPrivateField ; 0.19004458659774 ; 0.99 ;  ; 0.126410928129121 ; 0.59 ; 
UnusedLocalVariable ; 0.14274911844207 ; 0.0133333333333333 ; * ; 0.184585410394961 ; 0.553333333333333 ; 
UnusedPrivateMethod ; 0.0923623030943337 ; 0.94 ;  ; 0.139212056566268 ; 0.496666666666667 ; 
UnusedFormalParameter ; 0.0958210166837592 ; 0.0666666666666667 ;  ; 0.185015737260973 ; 0.393333333333333 ; 
embed.JS ; 0.161779541093122 ; 0.97 ;  ; 0.435696227373298 ; 0 ; *
inline.JS ; 0.13369649880019 ; 0.85 ;  ; 0.255089000051318 ; 0.0666666666666667 ; 
embed.CSS ; 0.152629706650044 ; 0.743333333333333 ;  ; 0.137339072367934 ; 0.733333333333333 ; 
inline.CSS ; 0.100805897184923 ; 0.77 ;  ; 0.123308587106317 ; 0.643333333333333 ; 
css.in.JS ; 0.159993163287488 ; 0.833333333333333 ;  ; 0.140676129279701 ; 0.703333333333333 ; 
css.in.JS..jquery ; 0.0809519387895309 ; 1 ;  ; 0.100153385099992 ; 0.793333333333333 ; 
max.lines ; 0.0767663207089503 ; 0.993333333333333 ;  ; 0.20442114227407 ; 0.25 ; 
max.lines.per.function ; 0.093556575803201 ; 0.996666666666667 ;  ; 0.10239784967321 ; 0.856666666666667 ; 
max.params ; 0.219618420354481 ; 0.556666666666667 ;  ; 0.252972889270557 ; 0.106666666666667 ; 
complexity ; 0.159692803110228 ; 0.676666666666667 ;  ; 0.110885219745971 ; 0.636666666666667 ; 
max.depth ; 0.139713719167067 ; 0.88 ;  ; 0.141931949195637 ; 0.59 ; 
max.nested.callbacks ; 0.290118511310549 ; 0.176666666666667 ;  ; 0.208834636150357 ; 0.196666666666667 ; 
