CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.329874316859559 ; 0.11 ;  ; 0.101375431974321 ; 0.986666666666667 ; 
NPathComplexity ; 0.168275344666585 ; 0.72 ;  ; 0.123676697738949 ; 0.89 ; 
ExcessiveMethodLength ; 0.238197133023116 ; 0.733333333333333 ;  ; 0.129594298050644 ; 0.98 ; 
ExcessiveClassLength ; 0.0976103604381901 ; 1 ;  ; 0.145658945145871 ; 0.893333333333333 ; 
ExcessiveParameterList ; 0.171867625259586 ; 0.9 ;  ; 0.200467029940298 ; 0.826666666666667 ; 
ExcessivePublicCount ; 0.216598748133816 ; 0.766666666666667 ;  ; 0.160488891231123 ; 0.836666666666667 ; 
TooManyFields ; 0.157057905063882 ; 0.836666666666667 ;  ; 0.181131804258179 ; 0.726666666666667 ; 
TooManyMethods ; 0.0998994927197372 ; 0.97 ;  ; 0.108956245513579 ; 0.95 ; 
TooManyPublicMethods ; 0.123744205265387 ; 0.91 ;  ; 0.0940388196377747 ; 0.936666666666667 ; 
ExcessiveClassComplexity ; 0.171199793863517 ; 0.00333333333333333 ; * ; 0.16862962305061 ; 0.626666666666667 ; 
NumberOfChildren ; 0.0801714788217609 ; 0.98 ;  ; 0.149575969460925 ; 0.606666666666667 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.232402780891492 ; 0.00333333333333333 ; * ; 0.14942260230588 ; 0.683333333333333 ; 
DevelopmentCodeFragment ; 0.131366841444462 ; 0.906666666666667 ;  ; 0.108557381832251 ; 0.88 ; 
UnusedPrivateField ; 0.120245600271204 ; 0.936666666666667 ;  ; 0.148470262812273 ; 0.75 ; 
UnusedLocalVariable ; 0.134260207616843 ; 0.623333333333333 ;  ; 0.0997892322099584 ; 0.87 ; 
UnusedPrivateMethod ; 0.165929167659872 ; 0.676666666666667 ;  ; 0.140704251909889 ; 0 ; *
UnusedFormalParameter ; 0.0772781533542856 ; 0.976666666666667 ;  ; 0.101871136748789 ; 0 ; *
embed.JS ; 0.0644687140287234 ; 0.896666666666667 ;  ; 0.099650868720639 ; 0 ; *
inline.JS ; 0.0653332187229758 ; 0.943333333333333 ;  ; 0.0953656069663894 ; 0 ; *
embed.CSS ; 0.0773268164617919 ; 0.99 ;  ; 0.0930006188904699 ; 0 ; *
inline.CSS ; 0.0707199974477715 ; 0.95 ;  ; 0.084817881604543 ; 0 ; *
css.in.JS ; 0.165929167659872 ; 0.67 ;  ; 0.140704251909889 ; 0 ; *
css.in.JS..jquery ; 0.126931357415818 ; 0.896666666666667 ;  ; 0.0420025499341947 ; 0 ; *
max.lines ; 0.101563267788851 ; 0.76 ;  ; 0.161808807558668 ; 0 ; *
max.lines.per.function ; 0.072819869022128 ; 0.99 ;  ; 0.114144539289234 ; 0 ; *
max.params ; 0.047769494228251 ; 1 ;  ; 0.0676545728967497 ; 0 ; *
complexity ; 0.141051143749774 ; 0.633333333333333 ;  ; 0.0596661036253282 ; 0 ; *
max.depth ; 0.0491158433368162 ; 0 ; * ; 0.0356001979306453 ; 0 ; *
max.nested.callbacks ; 0.155526708075604 ; 0.346666666666667 ;  ; 0.023430032359628 ; 0.0166666666666667 ; *
