1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _
2;CS; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig
3;CyclomaticComplexity ; 0.0970844193757725 ; * ; 0.175843243845374 ;  ; 0.480904812024565 ; * ; 0.410075530954593 ; * ; 0.146735157201054 ;  ; 0.108914090388904 ;  ; 0.0756769449404964 ;  ; 0.125377924914208 ;  ; 0.366706860672898 ;  ; 0.170207640723561 ;  
4;NPathComplexity ; 0.11025691239532 ; * ; 0.175843243845374 ;  ; 0.226686311333637 ;  ; 0.410075530954593 ; * ; 0.100646489087166 ;  ; 0.0935724411195617 ;  ; 0.0945081723842839 ;  ; 0.125377924914208 ;  ; 0.290815995089774 ;  ; 0.200562194036243 ; * 
5;ExcessiveMethodLength ; 0.110388960911636 ; * ; 0.0977661782020504 ;  ; 0.479786884181406 ; * ; 0.410075530954593 ; * ; 0.100646489087166 ;  ; 0.169689625867898 ; * ; 0.114908106694689 ;  ; 0.125377924914208 ;  ; 0.374393059993542 ;  ; 0.135344785397291 ;  
6;ExcessiveClassLength ; 0.0966596300359539 ; * ; 0.361142335976265 ; * ; 0.512693681222993 ; * ; 0.243674358811319 ;  ; 0.100646489087166 ;  ; 0.238263234458091 ; * ; 0.104937610671491 ;  ; 0.125377924914208 ;  ; 0.194086101457009 ;  ; 0 ; unique <=2 
7;ExcessiveParameterList ; 0.118816781353021 ; * ; 0 ; unique <=2 ; 0.282091638038443 ;  ; 0.247893629288208 ;  ; 0.156494483573443 ;  ; 0 ;  ; 0.116672104777168 ;  ; 0 ; unique <=2 ; 0.332499372544011 ;  ; 0.189840964230986 ; * 
8;ExcessivePublicCount ; 0.0966596300359539 ; * ; 0.0869880891319586 ;  ; 0.389855387066571 ;  ; 0.236574460661656 ;  ; 0.0886097372593694 ;  ; 0.134441752918764 ;  ; 0.136113316353228 ;  ; 0 ; unique <=2 ; 0.0924328192633784 ;  ; 0 ;  
9;TooManyFields ; 0.0905813635283142 ; * ; 0.300343353547702 ;  ; 1 ;  ; 0.226024721987488 ;  ; 0.0881455222392718 ;  ; 0.148097288304226 ;  ; 0.181643324713134 ; * ; 0.125377924914208 ;  ; 0.252276567166279 ;  ; 0 ; unique <=2 
10;TooManyMethods ; 0.099458172613381 ; * ; 0.193172679344881 ;  ; 0.389855387066571 ;  ; 0.220579620979235 ;  ; 0.0952925481737251 ;  ; 0.137609543222373 ;  ; 0.159045808030054 ; * ; 0.125377924914208 ;  ; 0.253044877991719 ; * ; 0 ; unique <=2 
11;TooManyPublicMethods ; 0.142597525151807 ; * ; 0.151335642187609 ;  ; 0.497439451836142 ; * ; 0.24559495585474 ;  ; 0.100646489087166 ;  ; 0.122144945426986 ;  ; 0.0793841225995048 ;  ; 0.125377924914208 ;  ; 0.437048294361543 ; * ; 0.0867702905143442 ;  
