CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.0756769449404964 ; 0.333333333333333 ;  ; 0.0431606538456794 ; 0.963333333333333 ; 
NPathComplexity ; 0.0945081723842839 ; 0.136666666666667 ;  ; 0.0701196788072174 ; 0.863333333333333 ; 
ExcessiveMethodLength ; 0.114908106694689 ; 0.316666666666667 ;  ; 0.108299363671678 ; 0.543333333333333 ; 
ExcessiveClassLength ; 0.104937610671491 ; 0.35 ;  ; 0.088497498063216 ; 0.64 ; 
ExcessiveParameterList ; 0.116672104777168 ; 0.266666666666667 ;  ; 0.0701110573629654 ; 0.866666666666667 ; 
ExcessivePublicCount ; 0.136113316353228 ; 0.176666666666667 ;  ; 0.0851562074892857 ; 0.74 ; 
TooManyFields ; 0.181643324713134 ; 0.01 ; * ; 0.163222360264509 ; 0.15 ; 
TooManyMethods ; 0.159045808030054 ; 0.0266666666666667 ; * ; 0.128282073201238 ; 0.38 ; 
TooManyPublicMethods ; 0.0793841225995048 ; 0.483333333333333 ;  ; 0.0788486080752583 ; 0.75 ; 
ExcessiveClassComplexity ; 0.0669822599880467 ; 0.116666666666667 ;  ; 0.072842748429379 ; 0.8 ; 
NumberOfChildren ; 0.0673435812068996 ; 0.48 ;  ; 0.0603515372530502 ; 0.876666666666667 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.176629863244064 ; 0.0133333333333333 ; * ; 0.0860740840293165 ; 0.716666666666667 ; 
DevelopmentCodeFragment ; 0.235826042654375 ; 0.00333333333333333 ; * ; 0.244453850724987 ; 0.00666666666666667 ; *
UnusedPrivateField ; 0.0826876475419252 ; 0.453333333333333 ;  ; 0.062728154843389 ; 0.906666666666667 ; 
UnusedLocalVariable ; 0.0945081723842839 ; 0.136666666666667 ;  ; 0.0701196788072174 ; 0.833333333333333 ; 
UnusedPrivateMethod ; 0.0862846307152457 ; 0.383333333333333 ;  ; 0.0826769233605138 ; 0.723333333333333 ; 
UnusedFormalParameter ; 0.133203156907127 ; 0.113333333333333 ;  ; 0.136596466618047 ; 0.3 ; 
embed.JS ; 0.110487681295759 ; 0.0266666666666667 ; * ; 0.0459699687145414 ; 0.94 ; 
inline.JS ; 0.0598571913264212 ; 0.586666666666667 ;  ; 0.184648355644663 ; 0.103333333333333 ; 
embed.CSS ; 0.215148897207786 ; 0.00666666666666667 ; * ; 0.0994644519533104 ; 0.576666666666667 ; 
inline.CSS ; 0.131863374845717 ; 0.0333333333333333 ; * ; 0.0711892681262336 ; 0.86 ; 
css.in.JS ; 0.112426814026858 ; 0.18 ;  ; 0.0694105921445787 ; 0.813333333333333 ; 
css.in.JS..jquery ; 0.319906984129983 ; 0 ; * ; 0.269210737720627 ; 0.00666666666666667 ; *
max.lines ; 0.10020750155605 ; 0.0433333333333333 ; * ; 0.0497876839631245 ; 0.956666666666667 ; 
max.lines.per.function ; 0.155069225469274 ; 0.0666666666666667 ;  ; 0.124377880058315 ; 0.41 ; 
max.params ; 0.152377134256491 ; 0.0566666666666667 ;  ; 0.19100893408569 ; 0.0766666666666667 ; 
complexity ; 0.184371229486165 ; 0.0233333333333333 ; * ; 0.137890449444124 ; 0.263333333333333 ; 
max.depth ; 0.193640513861371 ; 0 ; * ; 0.142526482253617 ; 0.363333333333333 ; 
max.nested.callbacks ; 0.126301800570211 ; 0.28 ;  ; 0.0743221376380917 ; 0.77 ; 
