CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.410075530954593 ; 0.0166666666666667 ; * ; 0.231477581096524 ; 0.343333333333333 ; 
NPathComplexity ; 0.410075530954593 ; 0.0166666666666667 ; * ; 0.231477581096524 ; 0.343333333333333 ; 
ExcessiveMethodLength ; 0.410075530954593 ; 0.0166666666666667 ; * ; 0.231477581096524 ; 0.343333333333333 ; 
ExcessiveClassLength ; 0.243674358811319 ; 0.06 ;  ; 0.231033673169439 ; 0.296666666666667 ; 
ExcessiveParameterList ; 0.247893629288208 ; 0.333333333333333 ;  ; 0.177184643239365 ; 0.52 ; 
ExcessivePublicCount ; 0.236574460661656 ; 0.0733333333333333 ;  ; 0.210420700429195 ; 0.486666666666667 ; 
TooManyFields ; 0.226024721987488 ; 0.423333333333333 ;  ; 0.199229778677444 ; 0.523333333333333 ; 
TooManyMethods ; 0.220579620979235 ; 0.133333333333333 ;  ; 0.216710416890978 ; 0.46 ; 
TooManyPublicMethods ; 0.24559495585474 ; 0.286666666666667 ;  ; 0.547624194350143 ; 0.00333333333333333 ; *
ExcessiveClassComplexity ; 0.243674358811319 ; 0.06 ;  ; 0.173383471909876 ; 0.563333333333333 ; 
NumberOfChildren ; 0.325150951503041 ; 0.02 ; * ; 0.154853882669155 ; 0.65 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.286957896578196 ; 0.06 ;  ; 0.283847640099349 ; 0.17 ; 
DevelopmentCodeFragment ; 0.410075530954593 ; 0.0166666666666667 ; * ; 0.231477581096524 ; 0.343333333333333 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.410075530954593 ; 0.0233333333333333 ; * ; 0.192411350368927 ; 0.513333333333333 ; 
UnusedPrivateMethod ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
UnusedFormalParameter ; 0.403446309578532 ; 0.0633333333333333 ;  ; 0.256274657542143 ; 0.266666666666667 ; 
embed.JS ; 0.295001857385248 ; 0.183333333333333 ;  ; 0.203796831639853 ; 0.446666666666667 ; 
inline.JS ; 0.347546956768922 ; 0 ; * ; 0.194505800658056 ; 0.443333333333333 ; 
embed.CSS ; 0.237081918094184 ; 0 ; * ; 0.168870206418335 ; 0.566666666666667 ; 
inline.CSS ; 0.291134990352253 ; 0.193333333333333 ;  ; 0.181337211504401 ; 0.533333333333333 ; 
css.in.JS ; 0.401096194942761 ; 0.00333333333333333 ; * ; 0.146749081849272 ; 0.676666666666667 ; 
css.in.JS..jquery ; 0.221747816254401 ; 0.163333333333333 ;  ; 0.172607184668587 ; 0.593333333333333 ; 
max.lines ; 0.27735032080467 ; 0.316666666666667 ;  ; 0.259439395965013 ; 0.306666666666667 ; 
max.lines.per.function ; 0.180908882347219 ; 0.6 ;  ; 0.268373451091325 ; 0.26 ; 
max.params ; 0.334141475204137 ; 0.09 ;  ; 0.157160274822028 ; 0.643333333333333 ; 
complexity ; 0.283597696428565 ; 0.136666666666667 ;  ; 0.238731432301442 ; 0.333333333333333 ; 
max.depth ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
max.nested.callbacks ; 0.18825405352186 ; 0.27 ;  ; 0.144140225919613 ; 0.703333333333333 ; 
