1;CS;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _
2;CS; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p
3;CyclomaticComplexity ; 0.149597146353755 ; 0.0366666666666667 ; 0.732778807998165 ; 0.00333333333333333 ; 0.624066674056502 ; 0.0666666666666667 ; 0.397459470627633 ; 0.536666666666667 ; 0.212713539164223 ; 0.256666666666667 ; 0.212552425993657 ; 0.0166666666666667 ; 0.179606265984618 ; 0.2 ; 0.167024468365269 ; 0.773333333333333 ; 0.420292235837037 ; 0.85 ; 0.247186802820417 ; 0.336666666666667 
4;NPathComplexity ; 0.120164983645995 ; 0.186666666666667 ; 0.732778807998165 ; 0.00333333333333333 ; 0.411270984348546 ; 0.93 ; 0.397459470627633 ; 0.536666666666667 ; 0.145826934043178 ; 0.51 ; 0.189626820889663 ; 0.02 ; 0.181475506074906 ; 0.106666666666667 ; 0.167024468365269 ; 0.773333333333333 ; 0.461334217444373 ; 0.646666666666667 ; 0.330860199362047 ; 0.04 
5;ExcessiveMethodLength ; 0.112673853950456 ; 0 ; 0.609304600931011 ; 0.09 ; 0.45020536391651 ; 0.653333333333333 ; 0.397459470627633 ; 0.536666666666667 ; 0.210938838330983 ; 0.19 ; 0.264206933447554 ; 0.306666666666667 ; 0.268098629496597 ; 0.146666666666667 ; 0.167024468365269 ; 0.773333333333333 ; 0.53461625732925 ; 0.263333333333333 ; 0.302490766370961 ; 0.0733333333333333 
6;ExcessiveClassLength ; 0.162348265126632 ; 0.0133333333333333 ; 0.882463929929965 ; 0 ; 0.498549650016034 ; 0.256666666666667 ; 0.431151133272401 ; 0.173333333333333 ; 0.198112385056259 ; 0.48 ; 0.243369388743908 ; 0.386666666666667 ; 0.145158763438474 ; 0.866666666666667 ; 0.188878316414517 ; 0.63 ; 0.420292235837037 ; 0.71 ; 0 ; 0 
7;ExcessiveParameterList ; 0.122182412756998 ; 0.01 ; 0 ; 0 ; 0.338604782656837 ; 0.72 ; 0.42502493447185 ; 0.53 ; 0.396547569823175 ; 0.02 ; 0 ; 0 ; 0.166681989707703 ; 0.8 ; 0 ; 0 ; 0.496731578392926 ; 0.533333333333333 ; 0.22830120191336 ; 0.0666666666666667 
8;ExcessivePublicCount ; 0.162348265126632 ; 0.0133333333333333 ; 0.518859612006206 ; 0.0933333333333333 ; 0.537659813389889 ; 0.553333333333333 ; 0.523770495784649 ; 0.09 ; 0.171999116202137 ; 0.45 ; 0.167616295229339 ; 0.713333333333333 ; 0.236232420937439 ; 0.366666666666667 ; 0 ; 0 ; 0.514326875049497 ; 0.48 ; 0 ; 0 
9;TooManyFields ; 0.112830887695724 ; 0.0866666666666667 ; 0.763831501082378 ; 0 ; 1 ;  all cs=1 ; 0.645064525361833 ; 0.146666666666667 ; 0.163470794478147 ; 0.706666666666667 ; 0.228848836111276 ; 0.453333333333333 ; 0.300989904569261 ; 0.0866666666666667 ; 0.165202434735256 ; 0.723333333333333 ; 0.398846665412274 ; 0.69 ; 0 ; 0 
10;TooManyMethods ; 0.222656607349057 ; 0.0133333333333333 ; 0.623851095179511 ; 0.0833333333333333 ; 0.537659813389889 ; 0.553333333333333 ; 0.515083914482921 ; 0.0933333333333333 ; 0.169169869595609 ; 0.496666666666667 ; 0.207806612787993 ; 0.573333333333333 ; 0.162736564025796 ; 0.673333333333333 ; 0.165202434735256 ; 0.723333333333333 ; 0.400397174426732 ; 0 ; 0 ; 0 
11;TooManyPublicMethods ; 0.183742159687197 ; 0 ; 0.686850491201321 ; 0.0166666666666667 ; 0.45020536391651 ; 0.59 ; 0.374071093464488 ; 0.726666666666667 ; 0.128694638527826 ; 0.35 ; 0.212016217507518 ; 0.573333333333333 ; 0.124124576554325 ; 0.87 ; 0.165202434735256 ; 0.733333333333333 ; 0.577979742870215 ; 0.333333333333333 ; 0.305546872935391 ; 0.03 
