CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.732778807998165 ; 0.00333333333333333 ; * ; 0.504652708123551 ; 0.463333333333333 ; 
NPathComplexity ; 0.732778807998165 ; 0.00333333333333333 ; * ; 0.504652708123551 ; 0.463333333333333 ; 
ExcessiveMethodLength ; 0.609304600931011 ; 0.09 ;  ; 0.391330564540499 ; 0.683333333333333 ; 
ExcessiveClassLength ; 0.882463929929965 ; 0 ; * ; 0.470813919713017 ; 0.45 ; 
ExcessiveParameterList ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
ExcessivePublicCount ; 0.518859612006206 ; 0.0933333333333333 ;  ; 0.349530813210351 ; 0.75 ; 
TooManyFields ; 0.763831501082378 ; 0 ; * ; 0.399414493048717 ; 0.6 ; 
TooManyMethods ; 0.623851095179511 ; 0.0833333333333333 ;  ; 0.350910254948829 ; 0.68 ; 
TooManyPublicMethods ; 0.686850491201321 ; 0.0166666666666667 ; * ; 0.504652708123551 ; 0.466666666666667 ; 
ExcessiveClassComplexity ; 0.711991066138641 ; 0.01 ; * ; 0.51532830504039 ; 0.43 ; 
NumberOfChildren ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DevelopmentCodeFragment ; 0.499590930147073 ; 0.276666666666667 ;  ; 0.392724687343846 ; 0.586666666666667 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.420978651992567 ; 0.316666666666667 ;  ; 0.229183097580909 ; 0.95 ; 
UnusedPrivateMethod ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedFormalParameter ; 0.697484614043119 ; 0.02 ; * ; 0.267485338469691 ; 0.9 ; 
embed.JS ; 0.548259430690275 ; 0.05 ; * ; 0.4265943377232 ; 0.386666666666667 ; 
inline.JS ; 0.469714606428188 ; 0.12 ;  ; 0.491170705128072 ; 0.376666666666667 ; 
embed.CSS ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
inline.CSS ; 0.526670229882314 ; 0.0133333333333333 ; * ; 0.444616994322571 ; 0.406666666666667 ; 
css.in.JS ; 0.399563406667769 ; 0.196666666666667 ;  ; 0.461278907642381 ; 0.176666666666667 ; 
css.in.JS..jquery ; 0.309794442362512 ; 0.156666666666667 ;  ; 0.258183900431156 ; 0.88 ; 
max.lines ; 0.405712703445408 ; 0.103333333333333 ;  ; 0.358018481854639 ; 0.626666666666667 ; 
max.lines.per.function ; 0.106239310710144 ; 0 ; * ; 0.160543770249617 ; 0.496666666666667 ; 
max.params ; 0.106239310710144 ; 0 ; * ; 0.160543770249617 ; 0.496666666666667 ; 
complexity ; 0.106239310710144 ; 0 ; * ; 0.160543770249617 ; 0.496666666666667 ; 
max.depth ; 0.208833930772271 ; 0 ; * ; 0.286387617977773 ; 0.62 ; 
max.nested.callbacks ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
