CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.149597146353755 ; 0.0366666666666667 ; * ; 0.0595956856751394 ; 0.99 ; 
NPathComplexity ; 0.120164983645995 ; 0.186666666666667 ;  ; 0.0670207018512716 ; 0.986666666666667 ; 
ExcessiveMethodLength ; 0.112673853950456 ; 0 ; * ; 0.0264641240190937 ; 1 ; 
ExcessiveClassLength ; 0.162348265126632 ; 0.0133333333333333 ; * ; 0.0672737943588748 ; 0.973333333333333 ; 
ExcessiveParameterList ; 0.122182412756998 ; 0.01 ; * ; 0.0778380609509769 ; 0.883333333333333 ; 
ExcessivePublicCount ; 0.162348265126632 ; 0.0133333333333333 ; * ; 0.0796204108214192 ; 0.933333333333333 ; 
TooManyFields ; 0.112830887695724 ; 0.0866666666666667 ;  ; 0.0763431396991476 ; 0.946666666666667 ; 
TooManyMethods ; 0.222656607349057 ; 0.0133333333333333 ; * ; 0.15995238156134 ; 0.35 ; 
TooManyPublicMethods ; 0.183742159687197 ; 0 ; * ; 0.0447416624197273 ; 1 ; 
ExcessiveClassComplexity ; 0.184316262293821 ; 0 ; * ; 0.13699611137512 ; 0.39 ; 
NumberOfChildren ; 0.193751584872789 ; 0.0433333333333333 ; * ; 0.0879986129607523 ; 0.946666666666667 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.175441776293161 ; 0.263333333333333 ;  ; 0.133076829775033 ; 0.633333333333333 ; 
DevelopmentCodeFragment ; 0.120583531609369 ; 0 ; * ; 0.0575876955222685 ; 0.99 ; 
UnusedPrivateField ; 0.14639724541037 ; 0.113333333333333 ;  ; 0.0993900181370919 ; 0.866666666666667 ; 
UnusedLocalVariable ; 0.117678929655134 ; 0.446666666666667 ;  ; 0.0842690430247571 ; 0.903333333333333 ; 
UnusedPrivateMethod ; 0.13808451490159 ; 0.07 ;  ; 0.0620674921702215 ; 0.983333333333333 ; 
UnusedFormalParameter ; 0.229828044868411 ; 0.00333333333333333 ; * ; 0.132715786036141 ; 0.58 ; 
embed.JS ; 0.155701631177149 ; 0.313333333333333 ;  ; 0.0897779114753367 ; 0.95 ; 
inline.JS ; 0.152269698379836 ; 0.316666666666667 ;  ; 0.10189843861835 ; 0.893333333333333 ; 
embed.CSS ; 0.17484606698485 ; 0.163333333333333 ;  ; 0.141844296112677 ; 0.43 ; 
inline.CSS ; 0.209210210781202 ; 0.03 ; * ; 0.121689921414552 ; 0.696666666666667 ; 
css.in.JS ; 0.133708604341679 ; 0.616666666666667 ;  ; 0.106934022908965 ; 0.86 ; 
css.in.JS..jquery ; 0.147039172544131 ; 0.0133333333333333 ; * ; 0.0554421683937007 ; 1 ; 
max.lines ; 0.132207983209002 ; 0.293333333333333 ;  ; 0.0718241445826995 ; 0.99 ; 
max.lines.per.function ; 0.179616565023186 ; 0.193333333333333 ;  ; 0.132162242480487 ; 0.67 ; 
max.params ; 0.247542612110973 ; 0 ; * ; 0.147709996983535 ; 0.29 ; 
complexity ; 0.220859294233334 ; 0 ; * ; 0.110389193938064 ; 0.716666666666667 ; 
max.depth ; 0.158200108717196 ; 0 ; * ; 0.0955861389252276 ; 0.783333333333333 ; 
max.nested.callbacks ; 0.105816530102306 ; 0.04 ; * ; 0.0648264471569494 ; 0.98 ; 
