CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.212552425993657 ; 0.0166666666666667 ; * ; 0.124438793192125 ; 0.8 ; 
NPathComplexity ; 0.189626820889663 ; 0.02 ; * ; 0.153663596385994 ; 0.59 ; 
ExcessiveMethodLength ; 0.264206933447554 ; 0.306666666666667 ;  ; 0.155329423287825 ; 0.786666666666667 ; 
ExcessiveClassLength ; 0.243369388743908 ; 0.386666666666667 ;  ; 0.139974905186064 ; 0.816666666666667 ; 
ExcessiveParameterList ; 0 ; 0 ;  ; 0 ; 0 ; 
ExcessivePublicCount ; 0.167616295229339 ; 0.713333333333333 ;  ; 0.13015090052465 ; 0.926666666666667 ; 
TooManyFields ; 0.228848836111276 ; 0.453333333333333 ;  ; 0.288364973435534 ; 0.226666666666667 ; 
TooManyMethods ; 0.207806612787993 ; 0.573333333333333 ;  ; 0.174135014817272 ; 0.69 ; 
TooManyPublicMethods ; 0.212016217507518 ; 0.573333333333333 ;  ; 0.230520272139871 ; 0.386666666666667 ; 
ExcessiveClassComplexity ; 0.141507851850973 ; 0.0566666666666667 ;  ; 0.189475342245626 ; 0.42 ; 
NumberOfChildren ; 0.259906142126662 ; 0.313333333333333 ;  ; 0.198854858842884 ; 0.483333333333333 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.203837626517389 ; 0.54 ;  ; 0.156294544185609 ; 0.59 ; 
DevelopmentCodeFragment ; 0.179895838347758 ; 0.553333333333333 ;  ; 0.117765475435187 ; 0.943333333333333 ; 
UnusedPrivateField ; 0.327125566780154 ; 0.11 ;  ; 0.151873816277422 ; 0.593333333333333 ; 
UnusedLocalVariable ; 0.274146338990563 ; 0.363333333333333 ;  ; 0.354652690731052 ; 0.0566666666666667 ; 
UnusedPrivateMethod ; 0.224543388655117 ; 0.156666666666667 ;  ; 0.0923564241254576 ; 0.95 ; 
UnusedFormalParameter ; 0.219596996082913 ; 0.0166666666666667 ; * ; 0.16601338639131 ; 0.496666666666667 ; 
embed.JS ; 0.372708460433873 ; 0.0666666666666667 ;  ; 0.301316414298152 ; 0.183333333333333 ; 
inline.JS ; 0.345025022265252 ; 0.00666666666666667 ; * ; 0.128500391777199 ; 0.836666666666667 ; 
embed.CSS ; 0.216600302765564 ; 0.26 ;  ; 0.147950808503915 ; 0.766666666666667 ; 
inline.CSS ; 0.227937227149211 ; 0.08 ;  ; 0.134614836510415 ; 0.703333333333333 ; 
css.in.JS ; 0.185488696673494 ; 0.55 ;  ; 0.140889245192303 ; 0.84 ; 
css.in.JS..jquery ; 0.26574392516459 ; 0.28 ;  ; 0.202414637755388 ; 0.48 ; 
max.lines ; 0.255060607246348 ; 0.286666666666667 ;  ; 0.206937862629776 ; 0.45 ; 
max.lines.per.function ; 0.238940502527407 ; 0.573333333333333 ;  ; 0.201817625964592 ; 0.613333333333333 ; 
max.params ; 0.231865369292991 ; 0.496666666666667 ;  ; 0.180353051164249 ; 0.62 ; 
complexity ; 0.138576172510582 ; 0.76 ;  ; 0.139615150217763 ; 0.69 ; 
max.depth ; 0.231514747557392 ; 0.39 ;  ; 0.26943893787603 ; 0.223333333333333 ; 
max.nested.callbacks ; 0.195758499628433 ; 0.646666666666667 ;  ; 0.182353203716326 ; 0.566666666666667 ; 
