1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _
2;CS; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig
3;CyclomaticComplexity ; 0.175468382882876 ;  ; 0.328923775821422 ;  ; 0.091126404576238 ;  ; 0.220516381659997 ;  ; 0.263344258807064 ;  ; 0.204057361920914 ; * ; 0.329874316859559 ;  ; 0.3718783414812 ;  ; 0.148298451856793 ;  ; 0.169595293502885 ; * 
4;NPathComplexity ; 0.123994203090428 ;  ; 0.328923775821422 ;  ; 0.120977695391587 ;  ; 0.220516381659997 ;  ; 0.21206704759474 ;  ; 0.189670412540763 ; * ; 0.326347329199363 ;  ; 0.3718783414812 ;  ; 0.245171237985249 ;  ; 0.192377416529111 ; * 
5;ExcessiveMethodLength ; 0.110958210515437 ; * ; 0.328923775821422 ;  ; 0.091126404576238 ; * ; 0.220516381659997 ;  ; 0.220694100594504 ;  ; 0.188620806419245 ;  ; 0.308696182728751 ;  ; 0.3718783414812 ;  ; 0.245171237985249 ;  ; 0.108638014509194 ;  
6;ExcessiveClassLength ; 0.174753241638638 ;  ; 0.255691445579422 ;  ; 0.232276935733149 ;  ; 0.1759870648231 ;  ; 0.294819338092016 ;  ; 0.193815075660684 ;  ; 0.244060091206819 ;  ; 0.369736757032393 ;  ; 0.148298451856793 ;  ; 0 ; unique <=2 
7;ExcessiveParameterList ; 0.0870148488290879 ;  ; 0 ; unique <=2 ; 0.232276935733149 ;  ; 0.220516381659997 ;  ; 0.341477451181122 ;  ; 0 ;  ; 0.313877386075135 ;  ; 0 ; unique <=2 ; 0.100176051120485 ;  ; 0.21159523561332 ;  
8;ExcessivePublicCount ; 0.148844838489284 ;  ; 0.258744917477419 ;  ; 0.091126404576238 ;  ; 0.29439563056532 ;  ; 0.239484588761159 ;  ; 0.210888069176119 ;  ; 0.284266785985298 ;  ; 0 ; unique <=2 ; 0.367842766769744 ;  ; 0 ;  
9;TooManyFields ; 0.15574952013508 ;  ; 0.256427445934578 ;  ; 1 ;  ; 0.294395630565318 ;  ; 0.239024132197254 ;  ; 0.295486367364554 ;  ; 0.172193816323301 ;  ; 0.369736757032393 ;  ; 0.367842766769744 ;  ; 0 ; unique <=2 
10;TooManyMethods ; 0.28616898532072 ;  ; 0.328923775821422 ;  ; 0.091126404576238 ;  ; 0.221476611923894 ;  ; 0.243094598347055 ;  ; 0.175020883979223 ;  ; 0.205652971840241 ;  ; 0.369736757032393 ;  ; 0.367842766769744 ; * ; 0 ; unique <=2 
11;TooManyPublicMethods ; 0.199664996474658 ;  ; 0.258744917477419 ;  ; 0.091126404576238 ; * ; 0.126625413685676 ;  ; 0.194344689883552 ;  ; 0.176146262073587 ;  ; 0.239987222451368 ;  ; 0.274192802287839 ;  ; 0.245171237985249 ;  ; 0.188421412012548 ;  
