CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.091126404576238 ; 1 ;  ; 0.293225396145097 ; 0.323333333333333 ; 
NPathComplexity ; 0.120977695391587 ; 0.996666666666667 ;  ; 0.412648524497897 ; 0.14 ; 
ExcessiveMethodLength ; 0.091126404576238 ; 0 ; * ; 0.199762672991705 ; 0.57 ; 
ExcessiveClassLength ; 0.232276935733149 ; 0.596666666666667 ;  ; 0 ; 0.993333333333333 ; 
ExcessiveParameterList ; 0.232276935733149 ; 0.883333333333333 ;  ; 0.124301838577031 ; 0.923333333333333 ; 
ExcessivePublicCount ; 0.091126404576238 ; 1 ;  ; 0.212167430917797 ; 0.633333333333333 ; 
TooManyFields ; 1 ;  all cs=1 ;  ; 0 ; 0 ; 
TooManyMethods ; 0.091126404576238 ; 1 ;  ; 0.212167430917797 ; 0.633333333333333 ; 
TooManyPublicMethods ; 0.091126404576238 ; 0 ; * ; 0.199762672991705 ; 0.57 ; 
ExcessiveClassComplexity ; 0.232276935733149 ; 0.586666666666667 ;  ; 0 ; 0.993333333333333 ; 
NumberOfChildren ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DevelopmentCodeFragment ; 0.232276935733149 ; 0.983333333333333 ;  ; 0.283198874188215 ; 0.506666666666667 ; 
UnusedPrivateField ; 0.091126404576238 ; 0 ; * ; 0.293225396145097 ; 0.396666666666667 ; 
UnusedLocalVariable ; 0.14688437061375 ; 0.993333333333333 ;  ; 0.338921949154132 ; 0.29 ; 
UnusedPrivateMethod ; 0.091126404576238 ; 0 ; * ; 0.305395615209531 ; 0.3 ; 
UnusedFormalParameter ; 0.232276935733149 ; 0 ; * ; 0.33892194915413 ; 0.296666666666667 ; 
embed.JS ; 0.091126404576238 ; 0.996666666666667 ;  ; 0.36912864946742 ; 0.0566666666666667 ; 
inline.JS ; 0.091126404576238 ; 0 ; * ; 0.317977926320358 ; 0.176666666666667 ; 
embed.CSS ; 0.14688437061375 ; 0.976666666666667 ;  ; 0.267925396955308 ; 0.466666666666667 ; 
inline.CSS ; 0.091126404576238 ; 0 ; * ; 0.305395615209531 ; 0.223333333333333 ; 
css.in.JS ; 0.232276935733149 ; 0.76 ;  ; 0.0943006090800747 ; 0.943333333333333 ; 
css.in.JS..jquery ; 0.232276935733149 ; 0.743333333333333 ;  ; 0 ; 0.993333333333333 ; 
max.lines ; 0.091126404576238 ; 0 ; * ; 0.202668473986918 ; 0.58 ; 
max.lines.per.function ; 0.091126404576238 ; 1 ;  ; 0.197771417997219 ; 0.7 ; 
max.params ; 0.091126404576238 ; 0 ; * ; 0.209212892429889 ; 0.476666666666667 ; 
complexity ; 0.091126404576238 ; 0 ; * ; 0.293225396145097 ; 0.316666666666667 ; 
max.depth ; 0.091126404576238 ; 0 ; * ; 0.199762672991705 ; 0.57 ; 
max.nested.callbacks ; 0.232276935733151 ; 0.816666666666667 ;  ; 0.279499263465685 ; 0.53 ; 
