CS; r^2; p; issig
CyclomaticComplexity ; 0.0838631295836184 ; 0.0150314900167193 ; *
NPathComplexity ; 0.195058682237875 ; 0.000129509479000613 ; *
ExcessiveMethodLength ; 0.14177114007967 ; 0.00131527935805524 ; *
ExcessiveClassLength ; 1.41273342679397e-05 ; 0.975364548317915 ; 
ExcessiveParameterList ; 0.194191487871776 ; 0.000134603344672667 ; *
ExcessivePublicCount ; 0.161345569855985 ; 0.000567801181416701 ; *
TooManyFields ; 0.0777681541691902 ; 0.019399607682496 ; *
TooManyMethods ; 0.0861944072996724 ; 0.0136351202639107 ; *
TooManyPublicMethods ; 0.0314639086387534 ; 0.141825019926357 ; 
ExcessiveClassComplexity ; 0.0950371499642345 ; 0.00942089167183646 ; *
NumberOfChildren ; 0.00130791065752585 ; 0.766292749110214 ; 
DepthOfInheritance ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.0102238416152518 ; 0.404913880679839 ; 
DevelopmentCodeFragment ; 0.00573358569214401 ; 0.533277235550078 ; 
UnusedPrivateField ; 0.057801893589054 ; 0.0449853353678062 ; *
UnusedLocalVariable ; 0.16058338230979 ; 0.000586813491515928 ; *
UnusedPrivateMethod ; 0.0480041195248579 ; 0.0684074729457056 ; 
UnusedFormalParameter ; 0.0529211722436004 ; 0.0553869583005104 ; 
embed.JS ; 0.121217474510865 ; 0.00314196821180028 ; *
inline.JS ; 0.13132646995814 ; 0.0020499428460988 ; *
embed.CSS ; 0.00218620517052857 ; 0.700709681551687 ; 
inline.CSS ; 0.152105789923169 ; 0.000845360488688335 ; *
css.in.JS ; 0.0552438925187928 ; 0.050158223289588 ; 
css.in.JS..jquery ; 0.00179533616474845 ; 0.727631412025502 ; 
max.lines ; 0.118575600965958 ; 0.00351171800234858 ; *
max.lines.per.function ; 0.0196965185103352 ; 0.246534410348475 ; 
max.params ; 0.000986039545133188 ; 0.796364476332557 ; 
complexity ; 0.000143153175866634 ; 0.921690414992914 ; 
max.depth ; 0.0221449360738631 ; 0.218888251655497 ; 
max.nested.callbacks ; 0.0165762292085769 ; 0.288134959532196 ; 
