CS; r^2; p; issig
CyclomaticComplexity ; 0.0138937889376203 ; 0.116077294711888 ; 
NPathComplexity ; 0.00571395198017586 ; 0.314565218901147 ; 
ExcessiveMethodLength ; 0.0422924253293252 ; 0.005749556328728 ; *
ExcessiveClassLength ; 0.100558442621219 ; 1.52483890618188e-05 ; *
ExcessiveParameterList ; 0.0034694045099718 ; 0.433503929267901 ; 
ExcessivePublicCount ; 0.0282961552192627 ; 0.0243947363259098 ; *
TooManyFields ; 8.71399379712007e-06 ; 0.968716773268621 ; 
TooManyMethods ; 0.0178256309685816 ; 0.0747901697378787 ; 
TooManyPublicMethods ; 0.108950142218321 ; 6.41309455226512e-06 ; *
ExcessiveClassComplexity ; 0.10963225138385 ; 5.97576315701426e-06 ; *
NumberOfChildren ; 0.122846943049663 ; 1.50990712227644e-06 ; *
DepthOfInheritance ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.0897324886966132 ; 4.62876901061415e-05 ; *
DevelopmentCodeFragment ; 0.147983926217434 ; 1.05647627606315e-07 ; *
UnusedPrivateField ; 7.10118709277718e-06 ; 0.971758430912881 ; 
UnusedLocalVariable ; 0.00226326615951103 ; 0.527130043875519 ; 
UnusedPrivateMethod ; 0.0176206992292403 ; 0.0764966446672009 ; 
UnusedFormalParameter ; 0.00279905416596052 ; 0.481825763612785 ; 
embed.JS ; 0.018421673585173 ; 0.0700531589500084 ; 
inline.JS ; 0.020422160705148 ; 0.0563440028992007 ; 
embed.CSS ; 0.00500240422955663 ; 0.346796445665205 ; 
inline.CSS ; 0.000638485507852579 ; 0.737058172839569 ; 
css.in.JS ; 0.00266361940289629 ; 0.492638546574037 ; 
css.in.JS..jquery ; 0.00606089012063326 ; 0.300267014986498 ; 
max.lines ; 0.015130657931083 ; 0.100917005732553 ; 
max.lines.per.function ; 0.0108986373419213 ; 0.164301703074997 ; 
max.params ; 0.000277415669557892 ; 0.824863831331664 ; 
complexity ; 0.000274080843169457 ; 0.825902846993463 ; 
max.depth ; 0.000203854201634885 ; 0.849548371382694 ; 
max.nested.callbacks ; 0.00102927120207235 ; 0.669864471567315 ; 
