CS; r^2; p; issig
CyclomaticComplexity ; 0.00101689312980641 ; 0.805647454807473 ; 
NPathComplexity ; 3.90860002708068e-05 ; 0.961536149477502 ; 
ExcessiveMethodLength ; 0.00115131932645859 ; 0.793466509810779 ; 
ExcessiveClassLength ; 0.0276593398570193 ; 0.196391066812867 ; 
ExcessiveParameterList ; 0.128565950198486 ; 0.0042141065985902 ; *
ExcessivePublicCount ; 0.0138042553270276 ; 0.363108885626613 ; 
TooManyFields ; 0.0200764042631427 ; 0.271974779693372 ; 
TooManyMethods ; 0.0138407442853641 ; 0.362471000972769 ; 
TooManyPublicMethods ; 0.0042617614131035 ; 0.614184414203542 ; 
ExcessiveClassComplexity ; 0.000349912377030467 ; 0.88525898169809 ; 
NumberOfChildren ; 0.273655329814138 ; 1.28753729844918e-05 ; *
DepthOfInheritance ; 0.015446459287956 ; 0.335831637928619 ; 
CouplingBetweenObjects ; 0.124892245123091 ; 0.0048385576776157 ; *
DevelopmentCodeFragment ; 0.0400866141712239 ; 0.118696817628438 ; 
UnusedPrivateField ; 0.131284719694713 ; 0.0038038792985673 ; *
UnusedLocalVariable ; 0.0437477525454465 ; 0.102782862118766 ; 
UnusedPrivateMethod ; 0.13104598034015 ; 0.00383826429100922 ; *
UnusedFormalParameter ; 8.15127377572317e-05 ; 0.944476498753923 ; 
embed.JS ; 0.018972944564192 ; 0.285696215007973 ; 
inline.JS ; 0.0282167819040605 ; 0.191878555824095 ; 
embed.CSS ; 0.211037569338525 ; 0.000172744585013935 ; *
inline.CSS ; 0.0141528285819185 ; 0.357076919930212 ; 
css.in.JS ; 0.0273457417429257 ; 0.198983062381604 ; 
css.in.JS..jquery ; 0.0021085560163892 ; 0.723042520386995 ; 
max.lines ; 0.0101691019477432 ; 0.435472057823939 ; 
max.lines.per.function ; 0.000280617508194055 ; 0.897177848275087 ; 
max.params ; 0.282150860112183 ; 8.92241994092637e-06 ; *
complexity ; 0.22236510133895 ; 0.000109390412385709 ; *
max.depth ; 0.0851810171841589 ; 0.0213530312807968 ; *
max.nested.callbacks ; 0.136384199857601 ; 0.00313785383085147 ; *
