CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.569784217623301 ; 0.263333333333333 ;  ; 0.661023291544905 ; 0.08 ; 
NPathComplexity ; 0.366843897881661 ; 0.796666666666667 ;  ; 0.394876566956011 ; 0.546666666666667 ; 
ExcessiveMethodLength ; 0.345050441903999 ; 0.563333333333333 ;  ; 0.0798622684239075 ; 0.996666666666667 ; 
ExcessiveClassLength ; 0.529931379306215 ; 0.43 ;  ; 0.634340128871693 ; 0.106666666666667 ; 
ExcessiveParameterList ; 0.529931379306215 ; 0 ; * ; 0.608123357723005 ; 0.183333333333333 ; 
ExcessivePublicCount ; 0.410302563351178 ; 0.726666666666667 ;  ; 0.513241653605354 ; 0.356666666666667 ; 
TooManyFields ; 0.410302563351178 ; 0.726666666666667 ;  ; 0.513241653605354 ; 0.356666666666667 ; 
TooManyMethods ; 0.534644921406712 ; 0 ; * ; 0.440391438093836 ; 0.413333333333333 ; 
TooManyPublicMethods ; 0.569784217623301 ; 0.276666666666667 ;  ; 0.631446058187079 ; 0.18 ; 
ExcessiveClassComplexity ; 0.569784217623301 ; 0.326666666666667 ;  ; 0.511789254188715 ; 0.563333333333333 ; 
NumberOfChildren ; 0.446051312757398 ; 0.516666666666667 ;  ; 0.389427361928386 ; 0.65 ; 
DepthOfInheritance ; 0.261248189379289 ; 0 ; * ; 0.167187998742061 ; 0.753333333333333 ; 
CouplingBetweenObjects ; 0.416967717068599 ; 0.693333333333333 ;  ; 0.594770942445924 ; 0.233333333333333 ; 
DevelopmentCodeFragment ; 0.529931379306215 ; 0.113333333333333 ;  ; 0.252892010974985 ; 0.866666666666667 ; 
UnusedPrivateField ; 0.573753266887116 ; 0.0533333333333333 ;  ; 0.462757470009266 ; 0.37 ; 
UnusedLocalVariable ; 0.569784217623301 ; 0.346666666666667 ;  ; 0.513160266794288 ; 0.356666666666667 ; 
UnusedPrivateMethod ; 0.534644921406712 ; 0.27 ;  ; 0.506255179373277 ; 0.38 ; 
UnusedFormalParameter ; 0.534644921406712 ; 0 ; * ; 0.413120771289864 ; 0.586666666666667 ; 
embed.JS ; 0.50714278051214 ; 0.15 ;  ; 0.307870322897475 ; 0.636666666666667 ; 
inline.JS ; 0.50714278051214 ; 0.15 ;  ; 0.307870322897475 ; 0.636666666666667 ; 
embed.CSS ; 0.656880196280634 ; 0.113333333333333 ;  ; 0.43466775241279 ; 0.553333333333333 ; 
inline.CSS ; 0.534644921406712 ; 0.483333333333333 ;  ; 0.477093738107813 ; 0.446666666666667 ; 
css.in.JS ; 0.345050441903999 ; 0.653333333333333 ;  ; 0.31620826493143 ; 0.783333333333333 ; 
css.in.JS..jquery ; 0.529931379306215 ; 0.143333333333333 ;  ; 0.287805057421469 ; 0.85 ; 
max.lines ; 0.478289795105873 ; 0.48 ;  ; 0.460724181160227 ; 0.37 ; 
max.lines.per.function ; 0.656880196280634 ; 0.136666666666667 ;  ; 0.43466775241279 ; 0.516666666666667 ; 
max.params ; 0.466696695505926 ; 0.04 ; * ; 0.102608583819077 ; 0.99 ; 
complexity ; 0.656880196280634 ; 0.193333333333333 ;  ; 0.519928777688498 ; 0.526666666666667 ; 
max.depth ; 0.565680128712438 ; 0.286666666666667 ;  ; 0.350810845863358 ; 0.836666666666667 ; 
max.nested.callbacks ; 0.523629447700177 ; 0.206666666666667 ;  ; 0.370932437424481 ; 0.613333333333333 ; 
