CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.0958115483201556 ; 0.913333333333333 ;  ; 0.153112908641106 ; 0.77 ; 
NPathComplexity ; 0.10305228630109 ; 0.82 ;  ; 0.0888572269342069 ; 0.973333333333333 ; 
ExcessiveMethodLength ; 0.264082863903869 ; 0.443333333333333 ;  ; 0.227610926353662 ; 0.586666666666667 ; 
ExcessiveClassLength ; 0.183799792136492 ; 0.876666666666667 ;  ; 0.163875206538364 ; 0.82 ; 
ExcessiveParameterList ; 0.197313537931068 ; 0.91 ;  ; 0.368046391621515 ; 0.0533333333333333 ; 
ExcessivePublicCount ; 0.319495974772803 ; 0.37 ;  ; 0.128261353900938 ; 0.936666666666667 ; 
TooManyFields ; 0.200105980442041 ; 0.78 ;  ; 0.348235746578973 ; 0.0966666666666667 ; 
TooManyMethods ; 0.234865637653657 ; 0.626666666666667 ;  ; 0.255410458116616 ; 0.356666666666667 ; 
TooManyPublicMethods ; 0.218645569303424 ; 0.726666666666667 ;  ; 0.160178105337056 ; 0.73 ; 
ExcessiveClassComplexity ; 0.242897928365616 ; 0 ; * ; 0.302612457601735 ; 0.0833333333333333 ; 
NumberOfChildren ; 0.130388768630193 ; 0.946666666666667 ;  ; 0.180031205971703 ; 0.486666666666667 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.189053529306162 ; 0.9 ;  ; 0.175534607558063 ; 0.59 ; 
DevelopmentCodeFragment ; 0.19621854738707 ; 0.773333333333333 ;  ; 0.241151779753863 ; 0.286666666666667 ; 
UnusedPrivateField ; 0.126925420271394 ; 0.993333333333333 ;  ; 0.181349078242016 ; 0.63 ; 
UnusedLocalVariable ; 0.0879689389538528 ; 0.916666666666667 ;  ; 0.138523982738197 ; 0.726666666666667 ; 
UnusedPrivateMethod ; 0.127196048151191 ; 0.973333333333333 ;  ; 0.133755013461866 ; 0.826666666666667 ; 
UnusedFormalParameter ; 0.301485695805524 ; 0.416666666666667 ;  ; 0.463038287968222 ; 0.00666666666666667 ; *
embed.JS ; 0.133702681831181 ; 0.676666666666667 ;  ; 0.151581175938355 ; 0.593333333333333 ; 
inline.JS ; 0.171422169835883 ; 0.703333333333333 ;  ; 0.179024537391537 ; 0.486666666666667 ; 
embed.CSS ; 0.204548982291876 ; 0.903333333333333 ;  ; 0.313691500046799 ; 0.163333333333333 ; 
inline.CSS ; 0.148548267558483 ; 0.66 ;  ; 0.26967309676055 ; 0.173333333333333 ; 
css.in.JS ; 0.192454140319155 ; 0.83 ;  ; 0.155476505533935 ; 0.77 ; 
css.in.JS..jquery ; 0.235957790681639 ; 0.813333333333333 ;  ; 0.115180508158029 ; 0.963333333333333 ; 
max.lines ; 0.0846339053714893 ; 0.91 ;  ; 0.134261953440048 ; 0.713333333333333 ; 
max.lines.per.function ; 0.271409441562421 ; 0.493333333333333 ;  ; 0.273610507833675 ; 0.31 ; 
max.params ; 0.262571979743751 ; 0.523333333333333 ;  ; 0.271314068221293 ; 0.306666666666667 ; 
complexity ; 0.221301016256047 ; 0.82 ;  ; 0.182090705345649 ; 0.656666666666667 ; 
max.depth ; 0.246622688988252 ; 0 ; * ; 0.101015080302564 ; 0.97 ; 
max.nested.callbacks ; 0.180692522842104 ; 0.86 ;  ; 0.305728579295733 ; 0.1 ; 
