CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.153714739263343 ; 0 ; * ; 0.217016019844127 ; 0.336666666666667 ; 
NPathComplexity ; 0.105767692016814 ; 0 ; * ; 0.261362999328143 ; 0.0766666666666667 ; 
ExcessiveMethodLength ; 0.137973375622245 ; 0.48 ;  ; 0.0622904267284629 ; 1 ; 
ExcessiveClassLength ; 0.0339015223254242 ; 0.613333333333333 ;  ; 0.112787481787069 ; 0.0666666666666667 ; 
ExcessiveParameterList ; 0.209250981954875 ; 0.52 ;  ; 0.16245426961862 ; 0.566666666666667 ; 
ExcessivePublicCount ; 0 ; 0 ;  ; 0 ; 0 ; 
TooManyFields ; 0.0483384610087552 ; 0.603333333333333 ;  ; 0.1561020938077 ; 0.00666666666666667 ; *
TooManyMethods ; 0.184432506098672 ; 0.98 ;  ; 0.204344456683446 ; 0.64 ; 
TooManyPublicMethods ; 0.106542238701598 ; 0.956666666666667 ;  ; 0.149691887051087 ; 0.593333333333333 ; 
ExcessiveClassComplexity ; 0.204951228033872 ; 0.446666666666667 ;  ; 0.111856201427677 ; 0.913333333333333 ; 
NumberOfChildren ; 0.163094481513514 ; 0.733333333333333 ;  ; 0.123607057320693 ; 0.906666666666667 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.199318416725465 ; 0.606666666666667 ;  ; 0.0746274319224223 ; 0.996666666666667 ; 
DevelopmentCodeFragment ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.166072718721969 ; 0.846666666666667 ;  ; 0.149014174569059 ; 0.72 ; 
UnusedPrivateMethod ; 0.0641084736763998 ; 0.746666666666667 ;  ; 0.0964970925993866 ; 0.153333333333333 ; 
UnusedFormalParameter ; 0.164032345063185 ; 0.723333333333333 ;  ; 0.13718944681101 ; 0.853333333333333 ; 
embed.JS ; 0.0941195320317083 ; 0.99 ;  ; 0.174463782377929 ; 0.31 ; 
inline.JS ; 0 ; 0 ;  ; 0 ; 0 ; 
embed.CSS ; 0.0993080295979853 ; 0.93 ;  ; 0.119847579949537 ; 0.7 ; 
inline.CSS ; 0.133242390751773 ; 0.926666666666667 ;  ; 0.0875424892329196 ; 0.96 ; 
css.in.JS ; 0.17283712202164 ; 0.876666666666667 ;  ; 0.23082803226273 ; 0.42 ; 
css.in.JS..jquery ; 0.105831298373297 ; 0.883333333333333 ;  ; 0.14609331333276 ; 0.636666666666667 ; 
max.lines ; 0.136608320750535 ; 0.793333333333333 ;  ; 0.130901057162556 ; 0.836666666666667 ; 
max.lines.per.function ; 0.0926781827625737 ; 0.973333333333333 ;  ; 0.252575909442264 ; 0.07 ; 
max.params ; 0.102564341763992 ; 0.94 ;  ; 0.111421912882127 ; 0.853333333333333 ; 
complexity ; 0.144853945673464 ; 0.83 ;  ; 0.116930396471404 ; 0.883333333333333 ; 
max.depth ; 0.144853945673464 ; 0.83 ;  ; 0.116930396471404 ; 0.883333333333333 ; 
max.nested.callbacks ; 0.24533907929908 ; 0.95 ;  ; 0.0962427165386753 ; 0.986666666666667 ; 
