CS; r^2; p; issig
CyclomaticComplexity ; 0.0166720764345625 ; 0.488764443709265 ; 
NPathComplexity ; 0.0131651783139595 ; 0.538801959002092 ; 
ExcessiveMethodLength ; 0.017165639239041 ; 0.482345033602973 ; 
ExcessiveClassLength ; 0.0189551356678837 ; 0.460159730230889 ; 
ExcessiveParameterList ; 0.0164737208381773 ; 0.491383429214779 ; 
ExcessivePublicCount ; 0.034983364768379 ; 0.313686001186087 ; 
TooManyFields ; 0.0239371030195334 ; 0.40594820945162 ; 
TooManyMethods ; 0.0216126171324155 ; 0.429997961276239 ; 
TooManyPublicMethods ; 0.017240903471359 ; 0.481378071745201 ; 
ExcessiveClassComplexity ; 0.0184332505338544 ; 0.466461485007329 ; 
NumberOfChildren ; 1 ;  all cs=1 ; 
DepthOfInheritance ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.00638090062595134 ; 0.669260707661084 ; 
DevelopmentCodeFragment ; 0.0332456187237056 ; 0.326230303730642 ; 
UnusedPrivateField ; 0.00813762694419354 ; 0.629374628342732 ; 
UnusedLocalVariable ; 0.00570692723505095 ; 0.686282117098489 ; 
UnusedPrivateMethod ; 0.0164737208381773 ; 0.491383429214779 ; 
UnusedFormalParameter ; 0.027987939989804 ; 0.368360016580946 ; 
embed.JS ; 0.0210806293578717 ; 0.435793658967709 ; 
inline.JS ; 0.00575863127804338 ; 0.684936253174185 ; 
embed.CSS ; 0.0123742124664493 ; 0.551337670325837 ; 
inline.CSS ; 0.008497127896459 ; 0.621873375423 ; 
css.in.JS ; 0.00927503524812723 ; 0.606287556109248 ; 
css.in.JS..jquery ; 0.0126365060356961 ; 0.547122335459086 ; 
max.lines ; 0.00317637509530084 ; 0.76330794959563 ; 
max.lines.per.function ; 0.00252270531413742 ; 0.788447769213252 ; 
max.params ; 0.00395892819896483 ; 0.736674092587987 ; 
complexity ; 0.00309468641799346 ; 0.76628625721124 ; 
max.depth ; 0.0138176332014664 ; 0.528841245253889 ; 
max.nested.callbacks ; 0.0122742943266783 ; 0.552959201483412 ; 
