CS; r^2; p; issig
CyclomaticComplexity ; 0.0413550442161217 ; 0.109921568500405 ; 
NPathComplexity ; 0.00113035545520834 ; 0.793640139016305 ; 
ExcessiveMethodLength ; 0.139524450391687 ; 0.0025664708546451 ; *
ExcessiveClassLength ; 0.168537482444736 ; 0.000832100658346994 ; *
ExcessiveParameterList ; 0 ; 0 ; 
ExcessivePublicCount ; 0.0198212619385951 ; 0.271077084756339 ; 
TooManyFields ; 0.0740492983329978 ; 0.0309645012824633 ; *
TooManyMethods ; 0.154272351824177 ; 0.00145183139629072 ; *
TooManyPublicMethods ; 0.0241680691819126 ; 0.223742842753588 ; 
ExcessiveClassComplexity ; 0.12788822146274 ; 0.00400898248938123 ; *
NumberOfChildren ; 0.0330044531049699 ; 0.154161738337083 ; 
DepthOfInheritance ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.0592862809123717 ; 0.0544834448208159 ; 
DevelopmentCodeFragment ; 0.0194430579544821 ; 0.275743954211681 ; 
UnusedPrivateField ; 0.0341122519103215 ; 0.147305403521452 ; 
UnusedLocalVariable ; 0.155453799656412 ; 0.00138672543593063 ; *
UnusedPrivateMethod ; 0.106328395010732 ; 0.00910567718148014 ; *
UnusedFormalParameter ; 0.0785013188527933 ; 0.0261426326336738 ; *
embed.JS ; 0.201554025223763 ; 0.000223741401519192 ; *
inline.JS ; 0.173442269366368 ; 0.000686192579257364 ; *
embed.CSS ; 0.00116850022248622 ; 0.790265165660374 ; 
inline.CSS ; 0.171583433883533 ; 0.000738272912581006 ; *
css.in.JS ; 0.0450408567924299 ; 0.0949471895707549 ; 
css.in.JS..jquery ; 0.0723568949227826 ; 0.033025889494926 ; *
max.lines ; 0.2657412667574 ; 1.53570521152097e-05 ; *
max.lines.per.function ; 0.0711690347575888 ; 0.0345555235927982 ; *
max.params ; 0.0509664320228578 ; 0.0752304013549299 ; 
complexity ; 0.0721363495300489 ; 0.0333045951696009 ; *
max.depth ; 0.00113127405081571 ; 0.793558155231101 ; 
max.nested.callbacks ; 0.220866148984093 ; 0.000101842361558609 ; *
