CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.22161811381436 ; 0.273333333333333 ;  ; 0.349557714608379 ; 0.293333333333333 ; 
NPathComplexity ; 0.22605835742069 ; 0.48 ;  ; 0.238607805993678 ; 0.626666666666667 ; 
ExcessiveMethodLength ; 0.367689347179996 ; 0.0833333333333333 ;  ; 0.21352319720802 ; 0.71 ; 
ExcessiveClassLength ; 0.401674942464303 ; 0.0433333333333333 ; * ; 0.250270289952433 ; 0.573333333333333 ; 
ExcessiveParameterList ; 0.14236562470053 ; 0.523333333333333 ;  ; 0.172415234346028 ; 0.816666666666667 ; 
ExcessivePublicCount ; 0.41444666498799 ; 0.03 ; * ; 0.281339037934238 ; 0.473333333333333 ; 
TooManyFields ; 1 ;  all cs=1 ;  ; 0 ; 0 ; 
TooManyMethods ; 0.41444666498799 ; 0.03 ; * ; 0.281339037934238 ; 0.473333333333333 ; 
TooManyPublicMethods ; 0.292734358788899 ; 0.233333333333333 ;  ; 0.21352319720802 ; 0.696666666666667 ; 
ExcessiveClassComplexity ; 0.308830692058017 ; 0.196666666666667 ;  ; 0.271566123005631 ; 0.536666666666667 ; 
NumberOfChildren ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DevelopmentCodeFragment ; 0.463515017118522 ; 0.0233333333333333 ; * ; 0.370859906863094 ; 0.276666666666667 ; 
UnusedPrivateField ; 0.360050276664549 ; 0.1 ;  ; 0.207525683301983 ; 0.693333333333333 ; 
UnusedLocalVariable ; 0.263930951842054 ; 0.24 ;  ; 0.399222313581032 ; 0.18 ; 
UnusedPrivateMethod ; 0.360050276664549 ; 0.1 ;  ; 0.246990752215142 ; 0.596666666666667 ; 
UnusedFormalParameter ; 0.209632100281893 ; 0.496666666666667 ;  ; 0.194734554178998 ; 0.73 ; 
embed.JS ; 0.325758035934286 ; 0.02 ; * ; 0.179485038710815 ; 0.77 ; 
inline.JS ; 0.528068797548605 ; 0 ; * ; 0.153369345867193 ; 0.853333333333333 ; 
embed.CSS ; 0.148706831018117 ; 0.746666666666667 ;  ; 0.245882388992 ; 0.57 ; 
inline.CSS ; 0.367689347179996 ; 0.0866666666666667 ;  ; 0.166337579708512 ; 0.83 ; 
css.in.JS ; 0.224530068100573 ; 0.476666666666667 ;  ; 0.33576170453473 ; 0.373333333333333 ; 
css.in.JS..jquery ; 0.308830692058017 ; 0.233333333333333 ;  ; 0.297288425090455 ; 0.433333333333333 ; 
max.lines ; 0.423759725929303 ; 0 ; * ; 0.203432813366746 ; 0.716666666666667 ; 
max.lines.per.function ; 0.220431260665198 ; 0.423333333333333 ;  ; 0.313514625458253 ; 0.406666666666667 ; 
max.params ; 0.528068797548605 ; 0 ; * ; 0.202299306310514 ; 0.716666666666667 ; 
complexity ; 0.367689347179996 ; 0.1 ;  ; 0.290058576539306 ; 0.45 ; 
max.depth ; 0.367689347179996 ; 0.0833333333333333 ;  ; 0.21352319720802 ; 0.71 ; 
max.nested.callbacks ; 0.16524976834698 ; 0.7 ;  ; 0.680960790050072 ; 0.00666666666666667 ; *
