CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.418614480333727 ; 0.06 ;  ; 0.35886696439061 ; 0.44 ; 
NPathComplexity ; 0.461719971837288 ; 0.0966666666666667 ;  ; 0.379849574586013 ; 0.343333333333333 ; 
ExcessiveMethodLength ; 0.320689437950357 ; 0.41 ;  ; 0.542563070343579 ; 0.106666666666667 ; 
ExcessiveClassLength ; 0.799580560156276 ; 0 ; * ; 0.537417891751743 ; 0.106666666666667 ; 
ExcessiveParameterList ; 0.522463428030115 ; 0.0666666666666667 ;  ; 0.538207311488726 ; 0.0866666666666667 ; 
ExcessivePublicCount ; 0.321608469432168 ; 0.38 ;  ; 0.166330905123319 ; 0.806666666666667 ; 
TooManyFields ; 0.321608469432168 ; 0.38 ;  ; 0.166330905123319 ; 0.806666666666667 ; 
TooManyMethods ; 0.364192491509024 ; 0.113333333333333 ;  ; 0.303670066240671 ; 0.46 ; 
TooManyPublicMethods ; 0.418614480333727 ; 0.06 ;  ; 0.35886696439061 ; 0.456666666666667 ; 
ExcessiveClassComplexity ; 0.573886043065803 ; 0.0466666666666667 ; * ; 0.550729158856913 ; 0.11 ; 
NumberOfChildren ; 0.675497891321188 ; 0.01 ; * ; 0.576157457497308 ; 0.0666666666666667 ; 
DepthOfInheritance ; 0.324909140992426 ; 0 ; * ; 0.0709843438404442 ; 0.963333333333333 ; 
CouplingBetweenObjects ; 0.522463428030115 ; 0.05 ; * ; 0.440186355149942 ; 0.246666666666667 ; 
DevelopmentCodeFragment ; 0.553026339824573 ; 0.01 ; * ; 0.393742869419977 ; 0.293333333333333 ; 
UnusedPrivateField ; 0.36076643512369 ; 0.11 ;  ; 0.105494832216578 ; 0.926666666666667 ; 
UnusedLocalVariable ; 0.357726490972797 ; 0.286666666666667 ;  ; 0.358474640943926 ; 0.436666666666667 ; 
UnusedPrivateMethod ; 0.575364206609571 ; 0.03 ; * ; 0.2437264112226 ; 0.613333333333333 ; 
UnusedFormalParameter ; 0.456851882573694 ; 0.103333333333333 ;  ; 0.378044239709138 ; 0.293333333333333 ; 
embed.JS ; 0.57883618627355 ; 0.00666666666666667 ; * ; 0.311246569882138 ; 0.443333333333333 ; 
inline.JS ; 0.57883618627355 ; 0.00666666666666667 ; * ; 0.311246569882138 ; 0.443333333333333 ; 
embed.CSS ; 0.348973289590594 ; 0.0966666666666667 ;  ; 0.224974552807419 ; 0.693333333333333 ; 
inline.CSS ; 0.614399293453933 ; 0.0133333333333333 ; * ; 0.282761498066963 ; 0.526666666666667 ; 
css.in.JS ; 0.41342870264713 ; 0.196666666666667 ;  ; 0.354755259579077 ; 0.393333333333333 ; 
css.in.JS..jquery ; 0.504161462107096 ; 0.113333333333333 ;  ; 0.422121347101357 ; 0.193333333333333 ; 
max.lines ; 0.302983356196617 ; 0.216666666666667 ;  ; 0.369355903143075 ; 0.363333333333333 ; 
max.lines.per.function ; 0.285245718491573 ; 0.183333333333333 ;  ; 0.224974552807419 ; 0.706666666666667 ; 
max.params ; 0.493567212710888 ; 0.0566666666666667 ;  ; 0.191516409617291 ; 0.763333333333333 ; 
complexity ; 0.658004532114508 ; 0.0133333333333333 ; * ; 0.384710910464787 ; 0.35 ; 
max.depth ; 0.464377865988822 ; 0.136666666666667 ;  ; 0.38234924557587 ; 0.36 ; 
max.nested.callbacks ; 0.763976543852264 ; 0 ; * ; 0.363177037004193 ; 0.4 ; 
