1;CS;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _
2;CS; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p
3;CyclomaticComplexity ; 0.150406094203395 ; 0.06 ; 0.469297287475303 ; 0.42 ; 0.540244060532039 ; 0.11 ; 0.430609501133598 ; 0.57 ; 0.22861937389856 ; 0.146666666666667 ; 0.189979797125214 ; 0.02 ; 0.126232470630562 ; 0.54 ; 0.167024468365269 ; 0.773333333333333 ; 0.569784217623301 ; 0.263333333333333 ; 0.171846698795037 ; 0.646666666666667 
4;NPathComplexity ; 0.154149697198843 ; 0.04 ; 0.469297287475303 ; 0.42 ; 0.197577173979881 ; 0.993333333333333 ; 0.430609501133598 ; 0.57 ; 0.182965198465757 ; 0.31 ; 0.208514307860349 ; 0.0166666666666667 ; 0.132860459274497 ; 0.366666666666667 ; 0.167024468365269 ; 0.773333333333333 ; 0.366843897881661 ; 0.796666666666667 ; 0.115812280604782 ; 0.83 
5;ExcessiveMethodLength ; 0.112620417014338 ; 0 ; 0.446306436821719 ; 0.506666666666667 ; 0.624889783540765 ; 0.1 ; 0.430609501133598 ; 0.57 ; 0.184290160753548 ; 0.27 ; 0.192662088168181 ; 0.536666666666667 ; 0.189679441593909 ; 0.586666666666667 ; 0.167024468365269 ; 0.773333333333333 ; 0.345050441903999 ; 0.563333333333333 ; 0.166733063277624 ; 0.413333333333333 
6;ExcessiveClassLength ; 0.150269346141353 ; 0.06 ; 0.450850391039224 ; 0.66 ; 0.516021157313569 ; 0.183333333333333 ; 0.457369632392541 ; 0.166666666666667 ; 0.171282793666227 ; 0.603333333333333 ; 0.190114595157098 ; 0.583333333333333 ; 0.113548802249013 ; 0.96 ; 0.188878316414517 ; 0.63 ; 0.529931379306215 ; 0.43 ; 0.024514085752801 ; 0.62 
7;ExcessiveParameterList ; 0.109665970200004 ; 0.03 ; 0.451638213764147 ; 0 ; 0.392621257510862 ; 0.53 ; 0.462719619119417 ; 0.546666666666667 ; 0.229050867340595 ; 0.276666666666667 ; 0 ; 0 ; 0.230287528892836 ; 0.51 ; 0.201126613566486 ; 0.323333333333333 ; 0.529931379306215 ; 0 ; 0.222770025620512 ; 0.0466666666666667 
8;ExcessivePublicCount ; 0.159843533417686 ; 0.04 ; 0.367515821396774 ; 0.6 ; 0.450283886728324 ; 0.62 ; 0.472219637515592 ; 0.256666666666667 ; 0.167064288097626 ; 0.43 ; 0.163819602424275 ; 0.666666666666667 ; 0.180267839999454 ; 0.69 ; 0.1561266101366 ; 0.383333333333333 ; 0.410302563351178 ; 0.726666666666667 ; 0 ; 0 
9;TooManyFields ; 0.121462760096914 ; 0.113333333333333 ; 0.467952049203382 ; 0.356666666666667 ; 1 ;  all cs=1 ; 0.653163351998496 ; 0.27 ; 0.170784760108134 ; 0.566666666666667 ; 0.241985466830244 ; 0.323333333333333 ; 0.328381555416419 ; 0.0633333333333333 ; 0.165202434735256 ; 0.723333333333333 ; 0.410302563351178 ; 0.726666666666667 ; 0.0809432061049862 ; 0.106666666666667 
10;TooManyMethods ; 0.220398513050238 ; 0.04 ; 0.401034611032583 ; 0.62 ; 0.450283886728324 ; 0.62 ; 0.461010755973795 ; 0.253333333333333 ; 0.141265182207051 ; 0.616666666666667 ; 0.200199136534893 ; 0.503333333333333 ; 0.123981391480962 ; 0.876666666666667 ; 0.165202434735256 ; 0.723333333333333 ; 0.534644921406712 ; 0 ; 0.0976267393823728 ; 0.98 
11;TooManyPublicMethods ; 0.21170107271396 ; 0.00333333333333333 ; 0.410871000396622 ; 0.57 ; 0.624889783540765 ; 0.0966666666666667 ; 0.507759690068337 ; 0.506666666666667 ; 0.172670935499932 ; 0.163333333333333 ; 0.146904216547452 ; 0.816666666666667 ; 0.166221711573515 ; 0.626666666666667 ; 0.165202434735256 ; 0.733333333333333 ; 0.569784217623301 ; 0.276666666666667 ; 0.084757254340116 ; 0.803333333333333 
