1;CS;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _;;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _;;;;;;;phpmyadmin;dokuwiki;opencart;phpbb;prestashop;vanilla;dolibarr;roundcubemail;openemr;kanboard;;min;max;avg;dp
2;CS; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p;;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;;;;;;;;;;;;;;;;;;;;;
3;CyclomaticComplexity ;0.146305198;0.94;0.28546999;0.883333333;0.187557587;0.96;0.248951106;0.923333333;0.226161779;0.406666667;0.190764291;0.003333333;0.164591606;0.836666667;0.371878341;0.38;0.134646049;0.973333333;0.153714739;0;;;;;;;;;;;;*;;;;;;;;*;;;**;••;;••;;;;;;;0.190764291;;;;0.153714739;;0.153714739;0.190764291;0.172239515;0.02619799
4;NPathComplexity ;0.111950815;0.99;0.28546999;0.883333333;0.127208508;0.996666667;0.248951106;0.923333333;0.214231739;0.543333333;0.195350817;0.003333333;0.159656156;0.783333333;0.371878341;0.38;0.134646049;0.973333333;0.105767692;0;;;;;;;;;;;;*;;;;;;;;*;;;**;••;;••;;;;;;;0.195350817;;;;0.105767692;;0.105767692;0.195350817;0.150559254;0.063344835
5;ExcessiveMethodLength ;0.101849812;0;0.28546999;0.823333333;0.187557587;0;0.248951106;0.923333333;0.155857734;0.686666667;0.189727065;0.913333333;0.201551837;0.886666667;0.371878341;0.38;0.134646049;0.813333333;0.137973376;0.48;;*;;;;*;;;;;;;;;;;;;;;;;**;••;;••;;0.101849812;;0.187557587;;;;;;;;;0.101849812;0.187557587;0.144703699;0.060604549
6;ExcessiveClassLength ;0.161865888;0.893333333;0.070741436;1;0.24229256;0.483333333;0.248951106;0.98;0.273115041;0.433333333;0.147023494;0.96;0.165488138;0.983333333;0.369736757;0.47;0.134646049;0.826666667;0.033901522;0.613333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
7;ExcessiveParameterList ;0.07762379;0.936666667;0.210178453;0;0.328708118;0.656666667;0.248951106;0.956666667;0.174582235;0.96;0;0;0.198553453;0.953333333;0.099238534;0.953333333;0;0;0.209250982;0.52;;;;*;;;;;;;;;;;;;;;;;;;*;•;;•;;;0.210178453;;;;;;;;;;0.210178453;0.210178453;0.210178453;#DIV/0!
8;ExcessivePublicCount ;0.156164436;0.92;0.28546999;0.91;0.187557587;0.96;0.321140377;0.93;0.172926419;0.716666667;0.248977716;0.716666667;0.278444241;0.8;0.024820645;0.99;0.134646049;0.783333333;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
9;TooManyFields ;0.118185562;0.97;0.210956206;0.953333333;1;  all cs=1 ;0.321140377;0.753333333;0.219467644;0.79;0.332765402;0.576666667;0.070008195;1;0.369736757;0.436666667;0.134646049;0.783333333;0.048338461;0.603333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
10;TooManyMethods ;0.204834566;0.946666667;0.28546999;0.92;0.187557587;0.96;0.248951106;0.983333333;0.232405596;0.32;0.204428668;0.853333333;0.19055058;0.93;0.369736757;0.436666667;0.134646049;0;0.184432506;0.98;;;;;;;;;;;;;;;;;;*;;;;;*;•;;•;;;;;;;;;;0.134646049;;;0.134646049;0.134646049;0.134646049;#DIV/0!
11;TooManyPublicMethods ;0.140461928;0.923333333;0.28546999;0.883333333;0.187557587;0;0.176032087;0.996666667;0.203982768;0.42;0.136431575;0.976666667;0.194433718;0.923333333;0.274192802;0.81;0.134646049;0.973333333;0.106542239;0.956666667;;;;;;*;;;;;;;;;;;;;;;;;*;•;;•;;;;0.187557587;;;;;;;;;0.187557587;0.187557587;0.187557587;#DIV/0!
12;ExcessiveClassComplexity ;0.149628404;0.95;0.210956206;0.99;0.24229256;0.476666667;0.248951106;0.986666667;0.206162329;0.74;0.152640341;0.006666667;0.179419359;0.003333333;0.2192693;0.913333333;0.134646049;0.82;0.204951228;0.446666667;;;;;;;;;;;;*;;*;;;;;;;;;**;••;;••;;;;;;;0.152640341;0.179419359;;;;;0.152640341;0.179419359;0.16602985;0.018935625
13;NumberOfChildren ;0.21882763;0.973333333;0.214601659;0.976666667;0;0;0.151645434;0.996666667;0.115479208;0.96;0.229015075;0.933333333;0.085694157;1;1;  all cs=1 ;0.134646049;0.92;0.163094482;0.733333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
14;DepthOfInheritance ;0;0;0;0;0;0;0;0;0.010247038;0.846666667;0;0;0;0;0;0;0.134646049;0;0;0;;;;;;;;;;;;;;;;;;*;;;;;*;•;;•;;;;;;;;;;0.134646049;;;0.134646049;0.134646049;0.134646049;#DIV/0!
15;CouplingBetweenObjects ;0.218503943;0.97;0.077505657;1;0;0;0.076221206;1;0.28806145;0;0.129447196;0.966666667;0.11083734;0.013333333;0.274192802;0.81;0.134646049;0.776666667;0.199318417;0.606666667;;;;;;;;;;*;;;;*;;;;;;;;;**;••;;••;;;;;;0.28806145;;0.11083734;;;;;0.11083734;0.28806145;0.199449395;0.125316369
16;DevelopmentCodeFragment ;0.118774105;0.013333333;0.195112217;0.976666667;0.328708118;0.876666667;0.248951106;0.923333333;0.199407566;0.926666667;0.204962726;0.64;0.081826513;1;0.024820645;0.99;0.134646049;0.96;0;0;;*;;;;;;;;;;;;;;;;;;;;;*;•;;•;;0.118774105;;;;;;;;;;;0.118774105;0.118774105;0.118774105;#DIV/0!
17;UnusedPrivateField ;0.16390552;0.89;0;0;0.187557587;0;0;0;0.139581026;0.72;0.111885834;1;0.153776075;0.983333333;0.204958276;0;0.134646049;0.99;0;0;;;;;;*;;;;;;;;;;*;;;;;;;**;••;;••;;;;0.187557587;;;;;0.204958276;;;;0.187557587;0.204958276;0.196257931;0.012304146
18;UnusedLocalVariable ;0.165147629;0.976666667;0.215291132;0.943333333;0.243315553;0.856666667;0.248951106;0.943333333;0.255183723;0.666666667;0.246023455;0;0.158502238;0.77;0.2192693;0.913333333;0.134646049;0.96;0.166072719;0.846666667;;;;;;;;;;;;*;;;;;;;;;;;*;•;;•;;;;;;;0.246023455;;;;;;0.246023455;0.246023455;0.246023455;#DIV/0!
19;UnusedPrivateMethod ;0.085839475;1;0;0;0.187557587;0;0.076221206;0.86;0.182384618;0.913333333;0.056373988;1;0.094264659;1;0.099238534;0.953333333;0.134646049;0.983333333;0.064108474;0.746666667;;;;;;*;;;;;;;;;;;;;;;;;*;•;;•;;;;0.187557587;;;;;;;;;0.187557587;0.187557587;0.187557587;#DIV/0!
20;UnusedFormalParameter ;0.294269736;0.486666667;0.214601659;0.96;0.328708118;0;0.321140377;0.843333333;0.268132516;0.446666667;0.19503417;0;0.305042399;0.356666667;0.024820645;0.99;0.134646049;0;0.164032345;0.723333333;;;;;;*;;;;;;*;;;;;;*;;;;;***;•••;;•••;;;;0.328708118;;;0.19503417;;;0.134646049;;;0.134646049;0.328708118;0.219462779;0.09931057
21;embed.JS ;0.159930362;0.986666667;0.210956206;0.986666667;0.187557587;0.963333333;0.321140377;0.506666667;0.172926419;0.726666667;0.216954151;0.936666667;0.187508666;0.59;0.284260917;0.716666667;0.134646049;0.97;0.094119532;0.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
22;inline.JS ;0.195353761;0.873333333;0.124044381;0.993333333;0.187557587;0;0.176032087;0;0.224306289;0.706666667;0.088809903;0.993333333;0.149588195;0.916666667;0.339668363;0.406666667;0.134646049;0.97;0;0;;;;;;*;;*;;;;;;;;;;;;;;;**;••;;••;;;;0.187557587;0.176032087;;;;;;;;0.176032087;0.187557587;0.181794837;0.008149759
23;embed.CSS ;0.154874793;1;0.124044381;0.993333333;0.328708118;0.536666667;0.176032087;0;0.159300794;0.73;0.147578406;0.903333333;0.230909374;0.893333333;0.414182147;0.226666667;0.134646049;0.976666667;0.09930803;0.93;;;;;;;;*;;;;;;;;;;;;;;;*;•;;•;;;;;0.176032087;;;;;;;;0.176032087;0.176032087;0.176032087;#DIV/0!
24;inline.CSS ;0.206158295;0.936666667;0.28546999;0.88;0.187557587;0;0.321140377;0;0.171366596;0.89;0.160161623;0.746666667;0.188464378;0.713333333;0.414182147;0.19;0.134646049;0.72;0.133242391;0.926666667;;;;;;*;;*;;;;;;;;;;;;;;;**;••;;••;;;;0.187557587;0.321140377;;;;;;;;0.187557587;0.321140377;0.254348982;0.094457297
25;css.in.JS ;0.154536821;0.99;0.07967361;0.996666667;0.328708118;0.516666667;0.176032087;0.96;0.241362628;0.243333333;0.22608579;0.63;0.142051588;0.993333333;0.337631072;0.363333333;0.134646049;0.98;0.172837122;0.876666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
26;css.in.JS..jquery ;0.157324165;0.78;0.07967361;0.98;0.24229256;0.696666667;0.151645434;1;0.244073463;0.883333333;0.191887265;0.963333333;0.134831923;0.996666667;0.414182147;0.226666667;0.134646049;0.913333333;0.105831298;0.883333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
27;max.lines ;0.154744346;0.99;0.124044381;1;0.187557587;0;0.248951106;0.87;0.203061575;0.783333333;0.11813649;0.983333333;0.157230307;0.84;0.467025396;0.136666667;0.134646049;0.973333333;0.136608321;0.793333333;;;;;;*;;;;;;;;;;;;;;;;;*;•;;•;;;;0.187557587;;;;;;;;;0.187557587;0.187557587;0.187557587;#DIV/0!
28;max.lines.per.function ;0.214876261;0.983333333;0.07967361;0;0.187557587;0.953333333;0.321140377;0.806666667;0.13323101;0.76;0.168282559;0.97;0.143296662;0.996666667;0.228757831;0.853333333;0.134646049;0.97;0.092678183;0.973333333;;;;*;;;;;;;;;;;;;;;;;;;*;•;;•;;;0.07967361;;;;;;;;;;0.07967361;0.07967361;0.07967361;#DIV/0!
29;max.params ;0.175418301;0.966666667;0.07967361;0;0.187557587;0;0.248221359;0.946666667;0.208020402;0.563333333;0.306382734;0.556666667;0.134656368;0.996666667;0.192344408;0.886666667;0.134646049;0.956666667;0.102564342;0.94;;;;*;;*;;;;;;;;;;;;;;;;;**;••;;••;;;0.07967361;0.187557587;;;;;;;;;0.07967361;0.187557587;0.133615598;0.076285491
30;complexity ;0.191655628;0.933333333;0.07967361;0;0.187557587;0;0.248951106;0.776666667;0.11747176;0.926666667;0.147023494;0.906666667;0.132308827;0.993333333;0.395480877;0.376666667;0.134646049;0.946666667;0.144853946;0.83;;;;*;;*;;;;;;;;;;;;;;;;;**;••;;••;;;0.07967361;0.187557587;;;;;;;;;0.07967361;0.187557587;0.133615598;0.076285491
31;max.depth ;0.099294141;0.853333333;0.16312407;0;0.187557587;0;0.151645434;0;0.151052176;0.9;0.24445916;0.776666667;0.146153088;0;0.204958276;0;0.134646049;0.993333333;0.144853946;0.83;;;;*;;*;;*;;;;;;*;;*;;;;;;;*****;•••••;;•••••;;;0.16312407;0.187557587;0.151645434;;;0.146153088;0.204958276;;;;0.146153088;0.204958276;0.170687691;0.024903961
