CS; r^2; p; issig
CyclomaticComplexity ; 0.0151636728637464 ; 0.100543049702177 ; 
NPathComplexity ; 0.00976344581742565 ; 0.188190528764585 ; 
ExcessiveMethodLength ; 0.0217730185410689 ; 0.0487068728208744 ; *
ExcessiveClassLength ; 0.0705252620684326 ; 0.000327055411872468 ; *
ExcessiveParameterList ; 1.50149542223753e-05 ; 0.95894319659867 ; 
ExcessivePublicCount ; 0.0187876949866742 ; 0.0673029679608282 ; 
TooManyFields ; 0.032738184291761 ; 0.015356840566914 ; *
TooManyMethods ; 0.000774291768246955 ; 0.7115678221303 ; 
TooManyPublicMethods ; 0.022301970895259 ; 0.0460191773259106 ; *
ExcessiveClassComplexity ; 0.0999850140394793 ; 1.61751759089803e-05 ; *
NumberOfChildren ; 0.0325477149220257 ; 0.0156630837582548 ; *
DepthOfInheritance ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.148076566950865 ; 1.04605244791768e-07 ; *
DevelopmentCodeFragment ; 0.127631197360008 ; 9.14263974939112e-07 ; *
UnusedPrivateField ; 0.0330920922424162 ; 0.0148039322689689 ; *
UnusedLocalVariable ; 0.010947305313723 ; 0.163357659162818 ; 
UnusedPrivateMethod ; 0.0026892504461753 ; 0.490561577512531 ; 
UnusedFormalParameter ; 0.0483756780813396 ; 0.00309283083125794 ; *
embed.JS ; 0.00138095230100256 ; 0.621397983567401 ; 
inline.JS ; 0.00162841704664758 ; 0.591729678930988 ; 
embed.CSS ; 0.016653335405987 ; 0.0851324938975376 ; 
inline.CSS ; 0.0395336739990921 ; 0.00762515327944131 ; *
css.in.JS ; 0.00161789314885361 ; 0.592930696458087 ; 
css.in.JS..jquery ; 0.0377966805848895 ; 0.00911300063338642 ; *
max.lines ; 0.115473976293397 ; 3.25872922271306e-06 ; *
max.lines.per.function ; 0.0124095563026851 ; 0.137652618520603 ; 
max.params ; 0.0113516358634577 ; 0.155747585460745 ; 
complexity ; 0.0118085793973766 ; 0.147623993996659 ; 
max.depth ; 0.00585181489002622 ; 0.308780500505828 ; 
max.nested.callbacks ; 0.013065663515961 ; 0.127613011419769 ; 
