CS; r^2; p; issig
CyclomaticComplexity ; 0.000162912463629647 ; 0.945668119987382 ; 
NPathComplexity ; 0.00084889691607697 ; 0.876357877136442 ; 
ExcessiveMethodLength ; 9.50242464925768e-05 ; 0.958492419501859 ; 
ExcessiveClassLength ; 0.00310487666784264 ; 0.765912419454441 ; 
ExcessiveParameterList ; 0 ; 0 ; unique <=2
ExcessivePublicCount ; 0 ; 0 ; unique <=2
TooManyFields ; 0.000722952740067443 ; 0.88583329031236 ; 
TooManyMethods ; 0.003323903335206 ; 0.758032818912383 ; 
TooManyPublicMethods ; 3.95998872497798e-05 ; 0.973198106840775 ; 
ExcessiveClassComplexity ; 6.30908577668462e-06 ; 0.989300419033649 ; 
NumberOfChildren ; 1 ;  all cs=1 ; 
DepthOfInheritance ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.00188971611550926 ; 0.816383580922531 ; 
DevelopmentCodeFragment ; 0 ; 0 ; unique <=2
UnusedPrivateField ; 0 ; 0 ; unique <=2
UnusedLocalVariable ; 0.01039804425508 ; 0.585172913254974 ; 
UnusedPrivateMethod ; 0 ; 0 ; unique <=2
UnusedFormalParameter ; 0.00171523160187011 ; 0.82492917796982 ; 
embed.JS ; 0.0692161140224298 ; 0.15272894671231 ; 
inline.JS ; 0.0509482221829521 ; 0.2221136491294 ; 
embed.CSS ; 0.0573591705114683 ; 0.194407337329637 ; 
inline.CSS ; 0.0553857649548953 ; 0.202496521749779 ; 
css.in.JS ; 0.0377200967607434 ; 0.295134040431166 ; 
css.in.JS..jquery ; 0.0585869431557529 ; 0.189557316134929 ; 
max.lines ; 0.00557880002455145 ; 0.689647911441891 ; 
max.lines.per.function ; 0.00900600442836226 ; 0.611582475348566 ; 
max.params ; 0.0228022264648258 ; 0.417440220296402 ; 
complexity ; 0.0170145185177841 ; 0.484296021340272 ; 
max.depth ; 0.059057528537545 ; 0.187734245270402 ; 
max.nested.callbacks ; 0.0457312620126943 ; 0.248027501099164 ; 
