CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.123843224290249 ; 0.69 ;  ; 0.183346642649364 ; 0.236666666666667 ; 
NPathComplexity ; 0.214487796373655 ; 0.173333333333333 ;  ; 0.192198059267798 ; 0.173333333333333 ; 
ExcessiveMethodLength ; 0.290811458605983 ; 0 ; * ; 0.142156855885547 ; 0.48 ; 
ExcessiveClassLength ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
ExcessiveParameterList ; 0.254137997446378 ; 0 ; * ; 0.0857088367407916 ; 0.866666666666667 ; 
ExcessivePublicCount ; 0 ; 0 ;  ; 0 ; 0 ; 
TooManyFields ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
TooManyMethods ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
TooManyPublicMethods ; 0.235417655343723 ; 0.02 ; * ; 0.0871663442254218 ; 0.833333333333333 ; 
ExcessiveClassComplexity ; 0.238957658739785 ; 0.0266666666666667 ; * ; 0.199759308198609 ; 0.17 ; 
NumberOfChildren ; 0.231057670342582 ; 0.0466666666666667 ; * ; 0.233483127390094 ; 0.0766666666666667 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.162334585666644 ; 0.703333333333333 ;  ; 0.19124853578364 ; 0.176666666666667 ; 
DevelopmentCodeFragment ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.316812178731215 ; 0 ; * ; 0.192319076147247 ; 0.16 ; 
UnusedPrivateMethod ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
UnusedFormalParameter ; 0.141133096374869 ; 0.533333333333333 ;  ; 0.276772443084634 ; 0.0166666666666667 ; *
embed.JS ; 0.0922073494649516 ; 0.256666666666667 ;  ; 0.0850776084760941 ; 0.37 ; 
inline.JS ; 0 ; 0 ;  ; 0 ; 0 ; 
embed.CSS ; 0.243018555124094 ; 0 ; * ; 0.096416709300014 ; 0.8 ; 
inline.CSS ; 0.291100561892797 ; 0 ; * ; 0.104579942235742 ; 0.746666666666667 ; 
css.in.JS ; 0.22486058801333 ; 0.1 ;  ; 0.196697569364178 ; 0.166666666666667 ; 
css.in.JS..jquery ; 0.171327408165434 ; 0.126666666666667 ;  ; 0.109986989975706 ; 0.686666666666667 ; 
max.lines ; 0.165742759472831 ; 0.433333333333333 ;  ; 0.169492319050575 ; 0.266666666666667 ; 
max.lines.per.function ; 0.225208451861379 ; 0.0366666666666667 ; * ; 0.109877200440758 ; 0.713333333333333 ; 
max.params ; 0.292861383676624 ; 0.0133333333333333 ; * ; 0.196574074900526 ; 0.203333333333333 ; 
complexity ; 0.329615856518415 ; 0.00333333333333333 ; * ; 0.139491327109852 ; 0.51 ; 
max.depth ; 0.342693972185535 ; 0 ; * ; 0.187217497454843 ; 0.21 ; 
max.nested.callbacks ; 0.278524329378664 ; 0.00666666666666667 ; * ; 0.227759995842894 ; 0.06 ; 
