CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.0774992820385257 ; 0.18 ;  ; 0.0986163113879025 ; 0.123333333333333 ; 
NPathComplexity ; 0.0796508962937717 ; 0.283333333333333 ;  ; 0.0710858354222123 ; 0.326666666666667 ; 
ExcessiveMethodLength ; 0.0958451094234072 ; 0.0233333333333333 ; * ; 0.0787772275582619 ; 0.26 ; 
ExcessiveClassLength ; 0.0939845178142643 ; 0.03 ; * ; 0.0781647696765849 ; 0.226666666666667 ; 
ExcessiveParameterList ; 0.0865132483539224 ; 0.0633333333333333 ;  ; 0.0755018016770337 ; 0.293333333333333 ; 
ExcessivePublicCount ; 0.0809408833183848 ; 0.266666666666667 ;  ; 0.11879851802805 ; 0.0366666666666667 ; *
TooManyFields ; 0.0930357646239034 ; 0.0433333333333333 ; * ; 0.0774225021563499 ; 0.24 ; 
TooManyMethods ; 0.132312253865608 ; 0.00333333333333333 ; * ; 0.0695258314706639 ; 0.383333333333333 ; 
TooManyPublicMethods ; 0.0970377072208191 ; 0.173333333333333 ;  ; 0.121740321580199 ; 0.0166666666666667 ; *
ExcessiveClassComplexity ; 0.0790837875769327 ; 0.256666666666667 ;  ; 0.122446496697798 ; 0.02 ; *
NumberOfChildren ; 0.118116114191787 ; 0.00333333333333333 ; * ; 0.0631215673760327 ; 0.506666666666667 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.0809405383759408 ; 0.0666666666666667 ;  ; 0.0554978342280145 ; 0.65 ; 
DevelopmentCodeFragment ; 0.104678586155528 ; 0.0133333333333333 ; * ; 0.0750643928158679 ; 0.263333333333333 ; 
UnusedPrivateField ; 0.106582218921359 ; 0 ; * ; 0.0484281594218585 ; 0.693333333333333 ; 
UnusedLocalVariable ; 0.052873165591903 ; 0.64 ;  ; 0.0817311520990431 ; 0.27 ; 
UnusedPrivateMethod ; 0.0972319173286613 ; 0.07 ;  ; 0.109926844387154 ; 0.0333333333333333 ; *
UnusedFormalParameter ; 0.0980876780178634 ; 0.0366666666666667 ; * ; 0.0720746933201351 ; 0.356666666666667 ; 
embed.JS ; 0.0803319292983091 ; 0.12 ;  ; 0.0932555549496118 ; 0.136666666666667 ; 
inline.JS ; 0.0553909022555865 ; 0.57 ;  ; 0.0828798920582155 ; 0.203333333333333 ; 
embed.CSS ; 0.0601914661088993 ; 0.466666666666667 ;  ; 0.0532933294957673 ; 0.606666666666667 ; 
inline.CSS ; 0.0687304725758238 ; 0.32 ;  ; 0.0635555322121692 ; 0.466666666666667 ; 
css.in.JS ; 0.110999511950596 ; 0.1 ;  ; 0.104053732824145 ; 0.0733333333333333 ; 
css.in.JS..jquery ; 0.08093733050879 ; 0.166666666666667 ;  ; 0.0873591560773783 ; 0.183333333333333 ; 
max.lines ; 0.123269987703852 ; 0.00333333333333333 ; * ; 0.0611515310523114 ; 0.486666666666667 ; 
max.lines.per.function ; 0.121498160712612 ; 0.00666666666666667 ; * ; 0.0893799064214564 ; 0.17 ; 
max.params ; 0.118634190262245 ; 0.00333333333333333 ; * ; 0.0609737322188764 ; 0.493333333333333 ; 
complexity ; 0.135139638420746 ; 0 ; * ; 0.0641959445519703 ; 0.51 ; 
max.depth ; 0.0941661101017055 ; 0.00333333333333333 ; * ; 0.0798200377646848 ; 0.313333333333333 ; 
max.nested.callbacks ; 0.09071431176674 ; 0.01 ; * ; 0.0654720103851697 ; 0.483333333333333 ; 
