CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.517742892552398 ; 0.226666666666667 ;  ; 0.390956869571118 ; 0.52 ; 
NPathComplexity ; 0.517742892552398 ; 0.226666666666667 ;  ; 0.390956869571118 ; 0.52 ; 
ExcessiveMethodLength ; 0.637952540655343 ; 0.0966666666666667 ;  ; 0.386782093944107 ; 0.436666666666667 ; 
ExcessiveClassLength ; 0.541356742151745 ; 0.336666666666667 ;  ; 0.43663449797598 ; 0.323333333333333 ; 
ExcessiveParameterList ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
ExcessivePublicCount ; 0.502705267485347 ; 0.223333333333333 ;  ; 0.231196311202373 ; 0.853333333333333 ; 
TooManyFields ; 0.602090850060155 ; 0.05 ; * ; 0.211283318143121 ; 0.873333333333333 ; 
TooManyMethods ; 0.53955845130112 ; 0.21 ;  ; 0.359136267440137 ; 0.436666666666667 ; 
TooManyPublicMethods ; 0.453995288079554 ; 0.38 ;  ; 0.322515399769228 ; 0.726666666666667 ; 
ExcessiveClassComplexity ; 0.632153367043905 ; 0.0633333333333333 ;  ; 0.455676816632578 ; 0.29 ; 
NumberOfChildren ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DevelopmentCodeFragment ; 0.307141132031389 ; 0.746666666666667 ;  ; 0.479322947375484 ; 0.2 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.471457248841452 ; 0.296666666666667 ;  ; 0.316570281989604 ; 0.526666666666667 ; 
UnusedPrivateMethod ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedFormalParameter ; 0.418972211620873 ; 0.4 ;  ; 0.205864084012741 ; 0.88 ; 
embed.JS ; 0.418528465839073 ; 0.313333333333333 ;  ; 0.225153336853986 ; 0.846666666666667 ; 
inline.JS ; 0.400157244612866 ; 0.293333333333333 ;  ; 0.365277638380025 ; 0.45 ; 
embed.CSS ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
inline.CSS ; 0.628962130287517 ; 0.00333333333333333 ; * ; 0.329169570145857 ; 0.466666666666667 ; 
css.in.JS ; 0.279832504875095 ; 0.573333333333333 ;  ; 0.374450269143314 ; 0.216666666666667 ; 
css.in.JS..jquery ; 0.477701168349443 ; 0.0133333333333333 ; * ; 0.299049728527955 ; 0.533333333333333 ; 
max.lines ; 0.295046121184131 ; 0.44 ;  ; 0.278304675940221 ; 0.623333333333333 ; 
max.lines.per.function ; 0.138857806656863 ; 0 ; * ; 0.0751794975065238 ; 0.84 ; 
max.params ; 0.138857806656863 ; 0 ; * ; 0.0751794975065238 ; 0.84 ; 
complexity ; 0.138857806656863 ; 0 ; * ; 0.0751794975065238 ; 0.84 ; 
max.depth ; 0.268702489589779 ; 0 ; * ; 0.122912520370647 ; 0.956666666666667 ; 
max.nested.callbacks ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
