CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.287218495486736 ; 0.55 ;  ; 0.250930851727526 ; 0.906666666666667 ; 
NPathComplexity ; 0.275361172509108 ; 0.466666666666667 ;  ; 0.383985523703428 ; 0.366666666666667 ; 
ExcessiveMethodLength ; 0.232481224986252 ; 0.603333333333333 ;  ; 0.259587826953249 ; 0.876666666666667 ; 
ExcessiveClassLength ; 0.328549248441924 ; 0.493333333333333 ;  ; 0.203919498493725 ; 0.966666666666667 ; 
ExcessiveParameterList ; 0.370905490290314 ; 0.283333333333333 ;  ; 0.310336626569025 ; 0.626666666666667 ; 
ExcessivePublicCount ; 0.278192004569005 ; 0.543333333333333 ;  ; 0.194283106601618 ; 0.95 ; 
TooManyFields ; 0.310941535099028 ; 0.66 ;  ; 0.399035723902033 ; 0.52 ; 
TooManyMethods ; 0.193102876357855 ; 0.89 ;  ; 0.165433510313575 ; 0.973333333333333 ; 
TooManyPublicMethods ; 0.284167707314111 ; 0.13 ;  ; 0.219839064518509 ; 0.823333333333333 ; 
ExcessiveClassComplexity ; 0.3186657860943 ; 0.593333333333333 ;  ; 0.232553455065775 ; 0.91 ; 
NumberOfChildren ; 0.332766160759462 ; 0.233333333333333 ;  ; 0.213515621714811 ; 0.893333333333333 ; 
DepthOfInheritance ; 0.0345470165666037 ; 0.843333333333333 ;  ; 0.0802490250665009 ; 0.126666666666667 ; 
CouplingBetweenObjects ; 0.304334566410222 ; 0.616666666666667 ;  ; 0.363917717064542 ; 0.543333333333333 ; 
DevelopmentCodeFragment ; 0.32404756214667 ; 0.736666666666667 ;  ; 0.270730915734289 ; 0.896666666666667 ; 
UnusedPrivateField ; 0.204009356133548 ; 0.816666666666667 ;  ; 0.206777931268908 ; 0.896666666666667 ; 
UnusedLocalVariable ; 0.331530137830285 ; 0.376666666666667 ;  ; 0.253625756249723 ; 0.78 ; 
UnusedPrivateMethod ; 0.30673107144402 ; 0.656666666666667 ;  ; 0.374619725717293 ; 0.47 ; 
UnusedFormalParameter ; 0.281014939701288 ; 0.57 ;  ; 0.318588351019964 ; 0.71 ; 
embed.JS ; 0.317395622073873 ; 0.533333333333333 ;  ; 0.231208116892681 ; 0.933333333333333 ; 
inline.JS ; 0.4380573388477 ; 0.143333333333333 ;  ; 0.357474426048261 ; 0.613333333333333 ; 
embed.CSS ; 0.284025820129508 ; 0.526666666666667 ;  ; 0.328366916010987 ; 0.663333333333333 ; 
inline.CSS ; 0.35537766068278 ; 0.563333333333333 ;  ; 0.254219100173536 ; 0.913333333333333 ; 
css.in.JS ; 0.387951715671956 ; 0.163333333333333 ;  ; 0.303761028370114 ; 0.703333333333333 ; 
css.in.JS..jquery ; 0.394466254258687 ; 0.476666666666667 ;  ; 0.278015025003333 ; 0.87 ; 
max.lines ; 0.358070853607361 ; 0.173333333333333 ;  ; 0.21417066289768 ; 0.93 ; 
max.lines.per.function ; 0.276049265317375 ; 0.613333333333333 ;  ; 0.239557905640628 ; 0.87 ; 
max.params ; 0.283781108584639 ; 0.903333333333333 ;  ; 0.373774426081676 ; 0.586666666666667 ; 
complexity ; 0.30702092524299 ; 0.71 ;  ; 0.274149194139338 ; 0.87 ; 
max.depth ; 0.29091559201639 ; 0.61 ;  ; 0.45083359486293 ; 0.276666666666667 ; 
max.nested.callbacks ; 0.252535793061673 ; 0.923333333333333 ;  ; 0.290944552029143 ; 0.86 ; 
