CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.241791873116537 ; 0.92 ;  ; 0.27513613216013 ; 0.743333333333333 ; 
NPathComplexity ; 0.341079297751115 ; 0.963333333333333 ;  ; 0.253718587467363 ; 0.87 ; 
ExcessiveMethodLength ; 0.192030595760973 ; 0.953333333333333 ;  ; 0.194217110423379 ; 0.906666666666667 ; 
ExcessiveClassLength ; 0.323093271429098 ; 0.993333333333333 ;  ; 0.341016244173895 ; 0.663333333333333 ; 
ExcessiveParameterList ; 0.353348672110362 ; 0.966666666666667 ;  ; 0.318865390060991 ; 0.853333333333333 ; 
ExcessivePublicCount ; 0.268365173811212 ; 1 ;  ; 0.38601993162228 ; 0.54 ; 
TooManyFields ; 0.333117177239224 ; 0.966666666666667 ;  ; 0.460860806045896 ; 0.193333333333333 ; 
TooManyMethods ; 0.332496469807454 ; 0.986666666666667 ;  ; 0.426426115577332 ; 0.293333333333333 ; 
TooManyPublicMethods ; 0.304385770023866 ; 1 ;  ; 0.498621636738144 ; 0.0666666666666667 ; 
ExcessiveClassComplexity ; 0.336980216231983 ; 0.71 ;  ; 0.448485021879569 ; 0.14 ; 
NumberOfChildren ; 0.204280975464036 ; 0.996666666666667 ;  ; 0.228008139268107 ; 0.88 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.208700062459909 ; 1 ;  ; 0.245295886860873 ; 0.873333333333333 ; 
DevelopmentCodeFragment ; 0.291960247270199 ; 0.986666666666667 ;  ; 0.359195168183598 ; 0.36 ; 
UnusedPrivateField ; 0.240757565635498 ; 0.94 ;  ; 0.350024601950984 ; 0.503333333333333 ; 
UnusedLocalVariable ; 0.258630176326459 ; 1 ;  ; 0.293614038187145 ; 0.84 ; 
UnusedPrivateMethod ; 0.287126636337508 ; 1 ;  ; 0.360350055629861 ; 0.65 ; 
UnusedFormalParameter ; 0.244708077408196 ; 1 ;  ; 0.344060631267329 ; 0.746666666666667 ; 
embed.JS ; 0.33620459482711 ; 0.986666666666667 ;  ; 0.294571517915621 ; 0.77 ; 
inline.JS ; 0.312443765897341 ; 1 ;  ; 0.394256738250142 ; 0.406666666666667 ; 
embed.CSS ; 0.324837453176033 ; 0.99 ;  ; 0.456680991622365 ; 0.236666666666667 ; 
inline.CSS ; 0.259572571236978 ; 0.95 ;  ; 0.228847286379994 ; 0.9 ; 
css.in.JS ; 0.271457422716227 ; 0.89 ;  ; 0.271940086014795 ; 0.78 ; 
css.in.JS..jquery ; 0.191402695254222 ; 0.996666666666667 ;  ; 0.220695553990296 ; 0.786666666666667 ; 
max.lines ; 0.383937959474061 ; 0.91 ;  ; 0.264667838057764 ; 0.92 ; 
max.lines.per.function ; 0.349492809164557 ; 0.99 ;  ; 0.302371517063861 ; 0.913333333333333 ; 
max.params ; 0.281779380233335 ; 1 ;  ; 0.381537415182955 ; 0.703333333333333 ; 
complexity ; 0.233317284002449 ; 1 ;  ; 0.266886981872835 ; 0.856666666666667 ; 
max.depth ; 0.225918491820639 ; 0 ; * ; 0.260699175158747 ; 0.823333333333333 ; 
max.nested.callbacks ; 0.370393115232366 ; 0.893333333333333 ;  ; 0.32698576525469 ; 0.73 ; 
