CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.360990792972997 ; 0.493333333333333 ;  ; 0.216480299565461 ; 1 ; 
NPathComplexity ; 0.379829688908981 ; 0.646666666666667 ;  ; 0.240508659132968 ; 1 ; 
ExcessiveMethodLength ; 0.344684467121282 ; 0.966666666666667 ;  ; 0.204068416942345 ; 1 ; 
ExcessiveClassLength ; 0.38391102349392 ; 0.573333333333333 ;  ; 0.232503555214373 ; 1 ; 
ExcessiveParameterList ; 0.380528332965451 ; 0.0266666666666667 ; * ; 0.156043453796393 ; 1 ; 
ExcessivePublicCount ; 0.402204801691506 ; 0.933333333333333 ;  ; 0.275393754476762 ; 1 ; 
TooManyFields ; 0.373882544759173 ; 0.91 ;  ; 0.238896713616461 ; 1 ; 
TooManyMethods ; 0.367560945089234 ; 0.936666666666667 ;  ; 0.253246698687904 ; 0.996666666666667 ; 
TooManyPublicMethods ; 0.382131689600674 ; 0.976666666666667 ;  ; 0.30971198161459 ; 0.99 ; 
ExcessiveClassComplexity ; 0.353152741609184 ; 0.986666666666667 ;  ; 0.271285510647371 ; 0.996666666666667 ; 
NumberOfChildren ; 0.320218054381285 ; 0.876666666666667 ;  ; 0.167033486734744 ; 1 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.388193631238994 ; 0.376666666666667 ;  ; 0.196144419817844 ; 1 ; 
DevelopmentCodeFragment ; 0.336946361017932 ; 0.953333333333333 ;  ; 0.194605968650404 ; 1 ; 
UnusedPrivateField ; 0.303464922842725 ; 0.76 ;  ; 0.180250938071685 ; 1 ; 
UnusedLocalVariable ; 0.399616564351365 ; 0.973333333333333 ;  ; 0.350506969492323 ; 0.97 ; 
UnusedPrivateMethod ; 0.425508325128401 ; 0.923333333333333 ;  ; 0.298527143580843 ; 0.996666666666667 ; 
UnusedFormalParameter ; 0.450427661517668 ; 0.243333333333333 ;  ; 0.267093707692567 ; 0.996666666666667 ; 
embed.JS ; 0.403038140766956 ; 0.73 ;  ; 0.248755148157195 ; 1 ; 
inline.JS ; 0.414494759456368 ; 0.913333333333333 ;  ; 0.311323457162645 ; 0.986666666666667 ; 
embed.CSS ; 0.429544461072603 ; 0.98 ;  ; 0.330343138386568 ; 0.996666666666667 ; 
inline.CSS ; 0.38055624628835 ; 0.99 ;  ; 0.283397049941382 ; 1 ; 
css.in.JS ; 0.415286300054589 ; 0.783333333333333 ;  ; 0.295008010708892 ; 0.993333333333333 ; 
css.in.JS..jquery ; 0.375691446525598 ; 0.34 ;  ; 0.227956782647792 ; 1 ; 
max.lines ; 0.340149884522132 ; 0.436666666666667 ;  ; 0.226996391236748 ; 1 ; 
max.lines.per.function ; 0.298508515456751 ; 0.993333333333333 ;  ; 0.260393506252378 ; 1 ; 
max.params ; 0.322962661607864 ; 0.543333333333333 ;  ; 0.221872990624456 ; 0.993333333333333 ; 
complexity ; 0.357163392676897 ; 0.81 ;  ; 0.26372166022636 ; 0.996666666666667 ; 
max.depth ; 0.273147949061636 ; 0.41 ;  ; 0.201021609775129 ; 0.996666666666667 ; 
max.nested.callbacks ; 0.291800909421751 ; 0.136666666666667 ;  ; 0.126775404152829 ; 1 ; 
