1;CS;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _
2;CS; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p
3;CyclomaticComplexity ; 0.128522421575364 ; 0 ; 0.287526743623135 ; 0.186666666666667 ; 0.480904812024565 ; 0.0133333333333333 ; 0.483042003409118 ; 0 ; 0.095351247691636 ; 0.526666666666667 ; 0.0964799915825779 ; 0.0566666666666667 ; 0.118469519108362 ; 0.0366666666666667 ; 0.125377924914208 ; 0.5 ; 0.372062309423825 ; 0.113333333333333 ; 0.109162088802521 ; 0.36 
4;NPathComplexity ; 0.116493038199794 ; 0 ; 0.287526743623135 ; 0.186666666666667 ; 0.226686311333637 ; 0.546666666666667 ; 0.483042003409118 ; 0 ; 0.0555399807143862 ; 0.646666666666667 ; 0.0917986682579102 ; 0.0566666666666667 ; 0.118469519108362 ; 0.0366666666666667 ; 0.125377924914208 ; 0.5 ; 0.310931816554789 ; 0.29 ; 0.123509635668703 ; 0.233333333333333 
5;ExcessiveMethodLength ; 0.13001822620159 ; 0 ; 0.287526743623135 ; 0.116666666666667 ; 0.479786884181406 ; 0.0233333333333333 ; 0.483042003409118 ; 0 ; 0.0943539484756221 ; 0.413333333333333 ; 0.157336915597611 ; 0.07 ; 0.118469519108362 ; 0.233333333333333 ; 0.125377924914208 ; 0.5 ; 0.379521115445076 ; 0.273333333333333 ; 0.131510587910962 ; 0.21 
6;ExcessiveClassLength ; 0.143619454191064 ; 0 ; 0.491551024279137 ; 0.00666666666666667 ; 0.512693681222993 ; 0.01 ; 0.301750016164974 ; 0.0233333333333333 ; 0.0943539484756221 ; 0.533333333333333 ; 0.238477350637816 ; 0.00666666666666667 ; 0.0994419949058155 ; 0.31 ; 0.125377924914208 ; 0.486666666666667 ; 0.522139410564595 ; 0.06 ; 0 ; 0 
7;ExcessiveParameterList ; 0.0970352648807154 ; 0 ; 0 ; 0 ; 0.282091638038443 ; 0.0766666666666667 ; 0.393837212812264 ; 0.05 ; 0.127134228128881 ; 0.246666666666667 ; 0 ; 0 ; 0.17366517063595 ; 0.0466666666666667 ; 0 ; 0 ; 0.366055811552957 ; 0.263333333333333 ; 0.187703138054377 ; 0 
8;ExcessivePublicCount ; 0.143619454191064 ; 0 ; 0.287526743623135 ; 0.12 ; 0.389855387066571 ; 0.0633333333333333 ; 0.254281233475542 ; 0.0833333333333333 ; 0.0555399807143862 ; 0.813333333333333 ; 0.146486835040674 ; 0.146666666666667 ; 0.118469519108362 ; 0.223333333333333 ; 0 ; 0 ; 0.180773144165818 ; 0.726666666666667 ; 0 ; 0 
9;TooManyFields ; 0.0674838494935884 ; 0.00666666666666667 ; 0.553794672491003 ; 0 ; 1 ;  all cs=1 ; 0.309027256974571 ; 0.176666666666667 ; 0.0559487877954166 ; 0.753333333333333 ; 0.0873438032785618 ; 0.55 ; 0.153961329047715 ; 0.06 ; 0.125377924914208 ; 0.43 ; 0.180773144165818 ; 0.726666666666667 ; 0 ; 0 
10;TooManyMethods ; 0.0691777092414599 ; 0.2 ; 0.364216966237614 ; 0.03 ; 0.389855387066571 ; 0.0633333333333333 ; 0.247909113578818 ; 0.0766666666666667 ; 0.0885550556397194 ; 0.613333333333333 ; 0.183020756560164 ; 0.0133333333333333 ; 0.160050281302145 ; 0.03 ; 0.125377924914208 ; 0.43 ; 0.283693205464547 ; 0.256666666666667 ; 0 ; 0 
11;TooManyPublicMethods ; 0.12812008216032 ; 0 ; 0.250444415937083 ; 0.32 ; 0.497439451836142 ; 0.0166666666666667 ; 0.295037229900795 ; 0.18 ; 0.0555399807143862 ; 0.386666666666667 ; 0.0984585866253568 ; 0.403333333333333 ; 0.086368279874548 ; 0.366666666666667 ; 0.125377924914208 ; 0.496666666666667 ; 0.494583038775206 ; 0.01 ; 0.147967336364766 ; 0.06 
