CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.480904812024565 ; 0.0133333333333333 ; * ; 0.495951454458548 ; 0.0866666666666667 ; 
NPathComplexity ; 0.226686311333637 ; 0.546666666666667 ;  ; 0.289077851641486 ; 0.61 ; 
ExcessiveMethodLength ; 0.479786884181406 ; 0.0233333333333333 ; * ; 0.251334646272248 ; 0.696666666666667 ; 
ExcessiveClassLength ; 0.512693681222993 ; 0.01 ; * ; 0.361395602413726 ; 0.31 ; 
ExcessiveParameterList ; 0.282091638038443 ; 0.0766666666666667 ;  ; 0.331436987966414 ; 0.45 ; 
ExcessivePublicCount ; 0.389855387066571 ; 0.0633333333333333 ;  ; 0.267676189702998 ; 0.66 ; 
TooManyFields ; 1 ;  all cs=1 ;  ; 0 ; 0 ; 
TooManyMethods ; 0.389855387066571 ; 0.0633333333333333 ;  ; 0.267676189702998 ; 0.66 ; 
TooManyPublicMethods ; 0.497439451836142 ; 0.0166666666666667 ; * ; 0.251334646272248 ; 0.693333333333333 ; 
ExcessiveClassComplexity ; 0.424231359185446 ; 0.0566666666666667 ;  ; 0.383380842620651 ; 0.293333333333333 ; 
NumberOfChildren ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DevelopmentCodeFragment ; 0.600116009458678 ; 0 ; * ; 0.436559822717871 ; 0.22 ; 
UnusedPrivateField ; 0.507670388701454 ; 0 ; * ; 0.343938025368872 ; 0.373333333333333 ; 
UnusedLocalVariable ; 0.42613993681578 ; 0.0166666666666667 ; * ; 0.460696728240153 ; 0.12 ; 
UnusedPrivateMethod ; 0.531159518612307 ; 0 ; * ; 0.371282807902676 ; 0.326666666666667 ; 
UnusedFormalParameter ; 0.252208216065192 ; 0.433333333333333 ;  ; 0.193397914935843 ; 0.8 ; 
embed.JS ; 0.343745804983356 ; 0.0166666666666667 ; * ; 0.181877127051963 ; 0.883333333333333 ; 
inline.JS ; 0.422352463053335 ; 0 ; * ; 0.341126574084534 ; 0.35 ; 
embed.CSS ; 0.25334896557353 ; 0.433333333333333 ;  ; 0.249256434791508 ; 0.64 ; 
inline.CSS ; 0.479786884181406 ; 0.00333333333333333 ; * ; 0.319910173471774 ; 0.493333333333333 ; 
css.in.JS ; 0.361069782242825 ; 0.116666666666667 ;  ; 0.367095610661749 ; 0.37 ; 
css.in.JS..jquery ; 0.424231359185446 ; 0.06 ;  ; 0.40901308125375 ; 0.223333333333333 ; 
max.lines ; 0.5353022590918 ; 0 ; * ; 0.211385498309137 ; 0.86 ; 
max.lines.per.function ; 0.596952896299368 ; 0.00333333333333333 ; * ; 0.423948775489085 ; 0.19 ; 
max.params ; 0.422352463053335 ; 0 ; * ; 0.271561933742891 ; 0.586666666666667 ; 
complexity ; 0.424980978145825 ; 0.0533333333333333 ;  ; 0.359722064859713 ; 0.336666666666667 ; 
max.depth ; 0.479786884181406 ; 0.0233333333333333 ; * ; 0.251334646272248 ; 0.696666666666667 ; 
max.nested.callbacks ; 0.393447763986963 ; 0.0533333333333333 ;  ; 0.673335940309381 ; 0.00333333333333333 ; *
