CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.114774002951355 ; 0.61 ;  ; 0.0972325080113844 ; 0.956666666666667 ; 
NPathComplexity ; 0.10804315789708 ; 0.496666666666667 ;  ; 0.0924271198154033 ; 0.956666666666667 ; 
ExcessiveMethodLength ; 0.168834174695169 ; 0.633333333333333 ;  ; 0.239332870236863 ; 0.41 ; 
ExcessiveClassLength ; 0.102954056959543 ; 0.96 ;  ; 0.145007272309316 ; 0.81 ; 
ExcessiveParameterList ; 0.204292682452424 ; 0.576666666666667 ;  ; 0.190523650888434 ; 0.606666666666667 ; 
ExcessivePublicCount ; 0.139420284828614 ; 0.85 ;  ; 0.155416772690991 ; 0.81 ; 
TooManyFields ; 0.287402213774472 ; 0.143333333333333 ;  ; 0.366155169532974 ; 0.0466666666666667 ; *
TooManyMethods ; 0.166549734732871 ; 0.566666666666667 ;  ; 0.189918483378478 ; 0.553333333333333 ; 
TooManyPublicMethods ; 0.139703795707784 ; 0.7 ;  ; 0.127485156397948 ; 0.846666666666667 ; 
ExcessiveClassComplexity ; 0.0994107639040477 ; 0.0633333333333333 ;  ; 0.285672157831336 ; 0.1 ; 
NumberOfChildren ; 0.159566976284925 ; 0.54 ;  ; 0.133007159520462 ; 0.77 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.221529501652275 ; 0.27 ;  ; 0.120787514441498 ; 0.856666666666667 ; 
DevelopmentCodeFragment ; 0.229108511408782 ; 0.18 ;  ; 0.255442998296785 ; 0.213333333333333 ; 
UnusedPrivateField ; 0.102117932120094 ; 0.953333333333333 ;  ; 0.113507260375045 ; 0.93 ; 
UnusedLocalVariable ; 0.10804315789708 ; 0.64 ;  ; 0.0875672790512142 ; 0.95 ; 
UnusedPrivateMethod ; 0.106970394171424 ; 0.89 ;  ; 0.113914046646189 ; 0.926666666666667 ; 
UnusedFormalParameter ; 0.163020616524556 ; 0.67 ;  ; 0.299162137182736 ; 0.163333333333333 ; 
embed.JS ; 0.134786146345157 ; 0.31 ;  ; 0.0893479592825326 ; 0.92 ; 
inline.JS ; 0.101068492181853 ; 0.756666666666667 ;  ; 0.111014047394646 ; 0.876666666666667 ; 
embed.CSS ; 0.201865880832163 ; 0.586666666666667 ;  ; 0.2548922795697 ; 0.336666666666667 ; 
inline.CSS ; 0.235969597236841 ; 0.0633333333333333 ;  ; 0.233146749303401 ; 0.326666666666667 ; 
css.in.JS ; 0.231017312439022 ; 0.213333333333333 ;  ; 0.140301615663551 ; 0.8 ; 
css.in.JS..jquery ; 0.303018942900245 ; 0.16 ;  ; 0.299705030011609 ; 0.146666666666667 ; 
max.lines ; 0.107379679536894 ; 0.483333333333333 ;  ; 0.0770081890908528 ; 0.956666666666667 ; 
max.lines.per.function ; 0.349308121039096 ; 0.0233333333333333 ; * ; 0.267053055233298 ; 0.24 ; 
max.params ; 0.341781771243251 ; 0.06 ;  ; 0.361491845051513 ; 0.06 ; 
complexity ; 0.341226086682169 ; 0.04 ; * ; 0.19005185094719 ; 0.486666666666667 ; 
max.depth ; 0.334421959361085 ; 0 ; * ; 0.23765618855014 ; 0.303333333333333 ; 
max.nested.callbacks ; 0.196592810741618 ; 0.53 ;  ; 0.187960097810243 ; 0.603333333333333 ; 
