CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.245488370327488 ; 0.643333333333333 ;  ; 0.226239771368671 ; 0.446666666666667 ; 
NPathComplexity ; 0.291861990966953 ; 0.343333333333333 ;  ; 0.24896249937807 ; 0.316666666666667 ; 
ExcessiveMethodLength ; 0.321453467679367 ; 0.04 ; * ; 0.170339054648792 ; 0.833333333333333 ; 
ExcessiveClassLength ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
ExcessiveParameterList ; 0.22876233577609 ; 0.353333333333333 ;  ; 0.154808581737332 ; 0.746666666666667 ; 
ExcessivePublicCount ; 0 ; 0 ;  ; 0 ; 0 ; 
TooManyFields ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
TooManyMethods ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
TooManyPublicMethods ; 0.290675969962205 ; 0.163333333333333 ;  ; 0.117802016798199 ; 0.893333333333333 ; 
ExcessiveClassComplexity ; 0.323018295471078 ; 0.12 ;  ; 0.232857238903356 ; 0.47 ; 
NumberOfChildren ; 0.266691931445221 ; 0.22 ;  ; 0.295576841024093 ; 0.173333333333333 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.287191898547868 ; 0.153333333333333 ;  ; 0.166856233676555 ; 0.863333333333333 ; 
DevelopmentCodeFragment ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.224424004375816 ; 0.52 ;  ; 0.243129958908239 ; 0.336666666666667 ; 
UnusedPrivateMethod ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
UnusedFormalParameter ; 0.282609393193545 ; 0.22 ;  ; 0.138829870729405 ; 0.946666666666667 ; 
embed.JS ; 0.242476718626378 ; 0.433333333333333 ;  ; 0.0957959938006126 ; 0.956666666666667 ; 
inline.JS ; 0 ; 0 ;  ; 0 ; 0 ; 
embed.CSS ; 0.243271011068373 ; 0.296666666666667 ;  ; 0.211406550951478 ; 0.303333333333333 ; 
inline.CSS ; 0.271177835031962 ; 0.146666666666667 ;  ; 0.145421969809138 ; 0.833333333333333 ; 
css.in.JS ; 0.354453253256869 ; 0.19 ;  ; 0.238576634932139 ; 0.636666666666667 ; 
css.in.JS..jquery ; 0.281295718885867 ; 0.103333333333333 ;  ; 0.208606250710886 ; 0.436666666666667 ; 
max.lines ; 0.260857577853391 ; 0.203333333333333 ;  ; 0.177793764232255 ; 0.71 ; 
max.lines.per.function ; 0.252955658627259 ; 0.46 ;  ; 0.177558617108897 ; 0.603333333333333 ; 
max.params ; 0.244669740475719 ; 0.226666666666667 ;  ; 0.150414242094689 ; 0.746666666666667 ; 
complexity ; 0.224931387595322 ; 0.426666666666667 ;  ; 0.187641251104056 ; 0.613333333333333 ; 
max.depth ; 0.224931387595322 ; 0.426666666666667 ;  ; 0.187641251104056 ; 0.613333333333333 ; 
max.nested.callbacks ; 0.226152076524799 ; 0.976666666666667 ;  ; 0.238294991973889 ; 0.623333333333333 ; 
