CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.152933159681778 ; 0.63 ;  ; 0.0981011687495406 ; 0.98 ; 
NPathComplexity ; 0.133803621765674 ; 0.813333333333333 ;  ; 0.0746212019646778 ; 1 ; 
ExcessiveMethodLength ; 0.113480478458036 ; 0 ; * ; 0.0356766833624327 ; 1 ; 
ExcessiveClassLength ; 0.152546754971733 ; 0.63 ;  ; 0.0927039921603895 ; 0.993333333333333 ; 
ExcessiveParameterList ; 0.0936822548145799 ; 0.62 ;  ; 0.0679763181768136 ; 0.993333333333333 ; 
ExcessivePublicCount ; 0.136283405632201 ; 0.783333333333333 ;  ; 0.097864052747819 ; 0.976666666666667 ; 
TooManyFields ; 0.11225555711419 ; 0.846666666666667 ;  ; 0.0959115102621466 ; 0.973333333333333 ; 
TooManyMethods ; 0.205040243261605 ; 0.68 ;  ; 0.222963640423449 ; 0.506666666666667 ; 
TooManyPublicMethods ; 0.134679046755654 ; 0.646666666666667 ;  ; 0.060736947800679 ; 1 ; 
ExcessiveClassComplexity ; 0.157703849852871 ; 0.596666666666667 ;  ; 0.118622933984836 ; 0.946666666666667 ; 
NumberOfChildren ; 0.144201971786546 ; 0.973333333333333 ;  ; 0.0936690208939489 ; 1 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.164453884885384 ; 0.953333333333333 ;  ; 0.142093530368406 ; 0.953333333333333 ; 
DevelopmentCodeFragment ; 0.110113767909438 ; 0.03 ; * ; 0.0570896211271659 ; 1 ; 
UnusedPrivateField ; 0.21335078676782 ; 0.11 ;  ; 0.162353557553824 ; 0.81 ; 
UnusedLocalVariable ; 0.166335974618476 ; 0.753333333333333 ;  ; 0.127927152150949 ; 0.92 ; 
UnusedPrivateMethod ; 0.165438796863528 ; 0.52 ;  ; 0.0727635167948454 ; 0.996666666666667 ; 
UnusedFormalParameter ; 0.272570561061677 ; 0.123333333333333 ;  ; 0.115556471105972 ; 0.99 ; 
embed.JS ; 0.167875806696879 ; 0.893333333333333 ;  ; 0.105079464080023 ; 1 ; 
inline.JS ; 0.15868785332506 ; 0.833333333333333 ;  ; 0.222300009084854 ; 0.39 ; 
embed.CSS ; 0.153228833854529 ; 0.943333333333333 ;  ; 0.160322149076378 ; 0.903333333333333 ; 
inline.CSS ; 0.181040609587562 ; 0.843333333333333 ;  ; 0.152658948126276 ; 0.943333333333333 ; 
css.in.JS ; 0.182949504869152 ; 0.856666666666667 ;  ; 0.165161954689328 ; 0.846666666666667 ; 
css.in.JS..jquery ; 0.182554803538998 ; 0.266666666666667 ;  ; 0.130542377462462 ; 0.83 ; 
max.lines ; 0.195166006511916 ; 0.58 ;  ; 0.119542684183883 ; 0.96 ; 
max.lines.per.function ; 0.213676808505299 ; 0.806666666666667 ;  ; 0.218620984544327 ; 0.436666666666667 ; 
max.params ; 0.157081844797336 ; 0.856666666666667 ;  ; 0.17481420467304 ; 0.666666666666667 ; 
complexity ; 0.19734683068319 ; 0.546666666666667 ;  ; 0.141967234304129 ; 0.843333333333333 ; 
max.depth ; 0.141969970406491 ; 0.15 ;  ; 0.0667640999415138 ; 1 ; 
max.nested.callbacks ; 0.160829079688778 ; 0.0833333333333333 ;  ; 0.11406961594456 ; 0.903333333333333 ; 
