CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.372439811509187 ; 0.52 ;  ; 0.372086267860968 ; 0.0766666666666667 ; 
NPathComplexity ; 0.372439811509187 ; 0.52 ;  ; 0.372086267860968 ; 0.0766666666666667 ; 
ExcessiveMethodLength ; 0.372439811509187 ; 0.52 ;  ; 0.372086267860968 ; 0.0766666666666667 ; 
ExcessiveClassLength ; 0.199784152091939 ; 0.816666666666667 ;  ; 0.313589262681338 ; 0.116666666666667 ; 
ExcessiveParameterList ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
ExcessivePublicCount ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
TooManyFields ; 0.164134370659662 ; 0.926666666666667 ;  ; 0.298577614892466 ; 0.14 ; 
TooManyMethods ; 0.164134370659662 ; 0.926666666666667 ;  ; 0.298577614892466 ; 0.14 ; 
TooManyPublicMethods ; 0.269576621864739 ; 0.746666666666667 ;  ; 0.298577614892466 ; 0.0766666666666667 ; 
ExcessiveClassComplexity ; 0.21586578670275 ; 0.86 ;  ; 0.326379470347692 ; 0.0766666666666667 ; 
NumberOfChildren ; 1 ;  all cs=1 ;  ; 0 ; 0 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.269576621864739 ; 0.746666666666667 ;  ; 0.298577614892466 ; 0.0766666666666667 ; 
DevelopmentCodeFragment ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
UnusedPrivateField ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
UnusedLocalVariable ; 0.21586578670275 ; 0.86 ;  ; 0.326379470347692 ; 0.0766666666666667 ; 
UnusedPrivateMethod ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
UnusedFormalParameter ; 0.117589681156702 ; 0.843333333333333 ;  ; 0.126196120628289 ; 0.58 ; 
embed.JS ; 0.412266347517691 ; 0.166666666666667 ;  ; 0.187373612368472 ; 0.81 ; 
inline.JS ; 0.410214937704895 ; 0.133333333333333 ;  ; 0.386512136565293 ; 0.11 ; 
embed.CSS ; 0.484632175252017 ; 0.06 ;  ; 0.113716261634518 ; 0.926666666666667 ; 
inline.CSS ; 0.403611733016073 ; 0.146666666666667 ;  ; 0.252228629571811 ; 0.506666666666667 ; 
css.in.JS ; 0.38576535201249 ; 0.0666666666666667 ;  ; 0.157323217839877 ; 0.85 ; 
css.in.JS..jquery ; 0.484632175252017 ; 0.06 ;  ; 0.113716261634518 ; 0.926666666666667 ; 
max.lines ; 0.3264244217667 ; 0.6 ;  ; 0.277223145047733 ; 0.54 ; 
max.lines.per.function ; 0.361281175042047 ; 0.5 ;  ; 0.235382931174637 ; 0.62 ; 
max.params ; 0.31772918451083 ; 0.74 ;  ; 0.26593827112718 ; 0.533333333333333 ; 
complexity ; 0.209613551498219 ; 0.91 ;  ; 0.351070329387802 ; 0.14 ; 
max.depth ; 0.257862915064471 ; 0 ; * ; 0.174992865523851 ; 0.646666666666667 ; 
max.nested.callbacks ; 0.362521497920848 ; 0 ; * ; 0.34651876203002 ; 0.28 ; 
