1;CS;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _
2;CS; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p
3;CyclomaticComplexity ; 0.151520014842056 ; 0.896666666666667 ; 0.351585083143442 ; 0.656666666666667 ; 0.091126404576238 ; 0.996666666666667 ; 0.214756990509544 ; 0.96 ; 0.236983718745632 ; 0.503333333333333 ; 0.179785556681184 ; 0.00333333333333333 ; 0.190382043085912 ; 0.656666666666667 ; 0.3718783414812 ; 0.39 ; 0 ; 0.98 ; 0.155932811083178 ; 0.01 
4;NPathComplexity ; 0.120933168617597 ; 0.98 ; 0.351585083143442 ; 0.656666666666667 ; 0.120977695391587 ; 1 ; 0.214756990509544 ; 0.96 ; 0.21674724202781 ; 0.556666666666667 ; 0.158805401425599 ; 0.00333333333333333 ; 0.183315431315075 ; 0.61 ; 0.3718783414812 ; 0.39 ; 0 ; 0.99 ; 0.186088658385568 ; 0 
5;ExcessiveMethodLength ; 0.112933115604293 ; 0 ; 0.229239162432092 ; 0.92 ; 0.091126404576238 ; 0 ; 0.214756990509544 ; 0.96 ; 0.166683066732155 ; 0.653333333333333 ; 0.203568901126432 ; 0.923333333333333 ; 0.265038019616928 ; 0.55 ; 0.3718783414812 ; 0.39 ; 0 ; 0.846666666666667 ; 0.175801773228811 ; 0.376666666666667 
6;ExcessiveClassLength ; 0.154229732987574 ; 0.876666666666667 ; 0.113703027045111 ; 0.99 ; 0.232276935733149 ; 0.576666666666667 ; 0.265974312360848 ; 0.95 ; 0.29485332346116 ; 0.506666666666667 ; 0.166956399476577 ; 0.946666666666667 ; 0.227650850709758 ; 0.816666666666667 ; 0.369736757032393 ; 0.48 ; 0 ; 0.933333333333333 ; 0 ; 0 
7;ExcessiveParameterList ; 0.0894180217109708 ; 0.89 ; 0 ; 0 ; 0.232276935733149 ; 0.886666666666667 ; 0.287676009150968 ; 0.886666666666667 ; 0.296271450519132 ; 0.66 ; 0 ; 0 ; 0.224462055778196 ; 0.91 ; 0 ; 0 ; 0 ; 0 ; 0.273818444224267 ; 0.376666666666667 
8;ExcessivePublicCount ; 0.138255605927082 ; 0.943333333333333 ; 0.237761274681634 ; 0.976666666666667 ; 0.091126404576238 ; 0.996666666666667 ; 0.287676009150968 ; 0.983333333333333 ; 0.19560497541758 ; 0.676666666666667 ; 0.186164016619185 ; 0.943333333333333 ; 0.303051952015217 ; 0.616666666666667 ; 0 ; 0 ; 0 ; 0.933333333333333 ; 0 ; 0 
9;TooManyFields ; 0.122156221872484 ; 0.93 ; 0.221663853311013 ; 0.923333333333333 ; 1 ;  all cs=1 ; 0.359865280335167 ; 0.576666666666667 ; 0.240058792316928 ; 0.833333333333333 ; 0.261913094154074 ; 0.883333333333333 ; 0.151049059948338 ; 0.96 ; 0.369736757032393 ; 0.443333333333333 ; 0 ; 0.933333333333333 ; 0 ; 0 
10;TooManyMethods ; 0.258144443607645 ; 0.656666666666667 ; 0.229239162432092 ; 0.963333333333333 ; 0.091126404576238 ; 0.996666666666667 ; 0.265974312360848 ; 0.986666666666667 ; 0.254806138162381 ; 0.386666666666667 ; 0.236761858002313 ; 0.763333333333333 ; 0.213165987578314 ; 0.896666666666667 ; 0.369736757032393 ; 0.443333333333333 ; 0 ; 0 ; 0 ; 0 
11;TooManyPublicMethods ; 0.176939397332617 ; 0.7 ; 0.351585083143443 ; 0.656666666666667 ; 0.091126404576238 ; 0 ; 0.192095063455525 ; 1 ; 0.204930563837563 ; 0.493333333333333 ; 0.160631165590981 ; 0.976666666666667 ; 0.294033207959189 ; 0.533333333333333 ; 0.274192802287839 ; 0.866666666666667 ; 0 ; 0.98 ; 0.153521508142764 ; 0.876666666666667 
12;ExcessiveClassComplexity ; 0.155287347556402 ; 0.9 ; 0.221663853311013 ; 0.983333333333333 ; 0.232276935733149 ; 0.603333333333333 ; 0.265974312360848 ; 0.97 ; 0.213985904853398 ; 0.806666666666667 ; 0.154771302442458 ; 0.00333333333333333 ; 0.234359909766998 ; 0 ; 0.219269299574626 ; 0.913333333333333 ; 0 ; 0.81 ; 0.313552253676098 ; 0.17 
13;NumberOfChildren ; 0.257714221164589 ; 0.886666666666667 ; 0 ; 0 ; 0 ; 0 ; 0.154001387409717 ; 1 ; 0.169466762962832 ; 0.87 ; 0.225872165595779 ; 0.966666666666667 ; 0.186958418247333 ; 0.906666666666667 ; 1 ;  all cs=1 ; 0 ; 0.93 ; 0.193092487893835 ; 0.74 
14;DepthOfInheritance ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0111352124598254 ; 0.82 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 
15;CouplingBetweenObjects ; 0.181428892345818 ; 0.993333333333333 ; 0 ; 0 ; 0 ; 0 ; 0.077411660268578 ; 1 ; 0.323165851470701 ; 0 ; 0.179441804128248 ; 0.873333333333333 ; 0.157394426592402 ; 0.01 ; 0.274192802287839 ; 0.866666666666667 ; 0 ; 0.91 ; 0.181549427449489 ; 0.833333333333333 
16;DevelopmentCodeFragment ; 0.151330882590534 ; 0.00666666666666667 ; 0.261227310366681 ; 0.896666666666667 ; 0.232276935733149 ; 0.976666666666667 ; 0.214756990509544 ; 0.96 ; 0.280201864409797 ; 0.753333333333333 ; 0.209778426056911 ; 0.71 ; 0.101027423485469 ; 0.99 ; 0 ; 0 ; 0 ; 0.97 ; 0 ; 0 
17;UnusedPrivateField ; 0.188799995046888 ; 0.73 ; 0 ; 0 ; 0.091126404576238 ; 0 ; 0 ; 0 ; 0.187420887019381 ; 0.593333333333333 ; 0.158714793051235 ; 1 ; 0.182596934108136 ; 0.956666666666667 ; 0 ; 0 ; 0 ; 0.996666666666667 ; 0 ; 0 
18;UnusedLocalVariable ; 0.155289898742135 ; 0.99 ; 0.28140622479944 ; 0.836666666666667 ; 0.14688437061375 ; 0.97 ; 0.287676009150968 ; 0.82 ; 0.293679687527704 ; 0.596666666666667 ; 0.219109434653811 ; 0.01 ; 0.183674854864143 ; 0.563333333333333 ; 0.219269299574626 ; 0.913333333333333 ; 0 ; 0.976666666666667 ; 0.140665373280679 ; 0.956666666666667 
19;UnusedPrivateMethod ; 0.174195317279593 ; 0.79 ; 0 ; 0 ; 0.091126404576238 ; 0 ; 0 ; 0 ; 0.189676204921985 ; 0.956666666666667 ; 0.0816089363673009 ; 0.993333333333333 ; 0.151216048605046 ; 0.99 ; 0 ; 0 ; 0 ; 0.993333333333333 ; 0 ; 0 
20;UnusedFormalParameter ; 0.30333526281162 ; 0.3 ; 0.280716751545947 ; 0.8 ; 0.232276935733149 ; 0 ; 0.359865280335167 ; 0.756666666666667 ; 0.305670853518222 ; 0.423333333333333 ; 0.161404228278224 ; 0 ; 0.364512257301004 ; 0.123333333333333 ; 0.0248206451321085 ; 0.976666666666667 ; 0 ; 0 ; 0.142301831853432 ; 0.906666666666667 
21;embed.JS ; 0.219035301330223 ; 0.776666666666667 ; 0.221663853311013 ; 0.99 ; 0.091126404576238 ; 0.996666666666667 ; 0.359865280335167 ; 0.39 ; 0.19560497541758 ; 0.706666666666667 ; 0.179494088186404 ; 0.986666666666667 ; 0.240640698658335 ; 0.25 ; 0.284260916793752 ; 0.696666666666667 ; 0 ; 0.976666666666667 ; 0.197565734888978 ; 0.746666666666667 
22;inline.JS ; 0.217509971622046 ; 0.716666666666667 ; 0.190159473599825 ; 0.98 ; 0.091126404576238 ; 0 ; 0.192095063455525 ; 0 ; 0.235206232553085 ; 0.786666666666667 ; 0.148596666722404 ; 0.926666666666667 ; 0.169610496453358 ; 0.82 ; 0.339668362797217 ; 0.446666666666667 ; 0 ; 0.976666666666667 ; 0 ; 0 
