CS; cor_ts; p; sig
CyclomaticComplexity ; 0.06 ; 0.83781 ; 
NPathComplexity ; 0.02 ; 0.95783 ; 
ExcessiveMethodLength ; 0.01 ; 0.96366 ; 
ExcessiveClassLength ; -0.46 ; 0.09724 ; 
ExcessiveParameterList ; 0.26 ; 0.36467 ; 
ExcessivePublicCount ; -0.36 ; 0.20973 ; 
TooManyFields ; 1 ;  all cs=1 ; 
TooManyMethods ; -0.4 ; 0.15866 ; 
TooManyPublicMethods ; 0.28 ; 0.33951 ; 
ExcessiveClassComplexity ; 0.52 ; 0.05589 ; 
NumberOfChildren ; -0.32 ; 0.27203 ; 
DepthOfInheritance ; 0 ;  ; 
CouplingBetweenObjects ; -0.2 ; 0.50257 ; 
DevelopmentCodeFragment ; 0.39 ; 0.1695 ; 
UnusedPrivateField ; 0.06 ; 0.83818 ; 
UnusedLocalVariable ; -0.25 ; 0.39215 ; 
UnusedPrivateMethod ; -0.08 ; 0.79782 ; 
UnusedFormalParameter ; -0.23 ; 0.43223 ; 
embed.JS ; -0.16 ; 0.58822 ; 
inline.JS ; -0.28 ; 0.32547 ; 
embed.CSS ; -0.42 ; 0.13208 ; 
inline.CSS ; -0.21 ; 0.46932 ; 
css.in.JS ; -0.47 ; 0.08778 ; 
css.in.JS..jquery ; -0.47 ; 0.08986 ; 
max.lines ; 0.08 ; 0.79731 ; 
max.lines.per.function ; -0.22 ; 0.45306 ; 
max.params ; -0.11 ; 0.71363 ; 
complexity ; -0.13 ; 0.64543 ; 
max.depth ; -0.24 ; 0.41021 ; 
max.nested.callbacks ; -0.28 ; 0.33465 ; 
